id,nprs_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
1,8bd5206b84c968eda0af8bc86d6ab1d1,0.0268,0.641,0.787,0.0,0.0,0.11,0.8932,0.0375,0.4228,0.912
2,23ced06ca57d37fa749b1595bc7ed1a4,0.0216,0.554,0.878,0.0,3.0,0.362,0.8932,0.134,0.5729,0.677
3,10d05d5594f44ea984a943acf6163280,0.124,0.46,0.799,0.0006,9.0,0.288,0.9124,0.0573,0.6194,0.266
4,05dcc1a8cd49fbe2e7d7fb105d697e96,0.452,0.39,0.557,0.0,3.0,0.125,0.8414,0.0521,0.3606,0.33
5,b013295b38799b8c537c850ff891170e,0.0102,0.37,0.66,0.0,0.0,0.322,0.8513,0.0544,0.6848,0.446
6,f3fd4d57594ad6b04a358bb3d7e30e4c,0.0587,0.358,0.737,0.0,2.0,0.105,0.8644,0.0346,0.6651,0.236
7,f28bc4ea0bd0165f5af5e53aaee574ed,0.0522,0.449,0.585,0.0001,5.0,0.0833,0.8309,0.0268,0.6347,0.204
8,cd15ccc7c692868532f83206bfe0f022,0.0263,0.551,0.913,0.0,0.0,0.347,0.8984,0.0466,0.5454,0.525
9,29197a9c615a6de09b344051438f1c6d,0.166,0.51,0.683,0.0,0.0,0.0795,0.8915,0.0302,0.7269,0.222
10,466c6e1681765cfdf84b11277b717a4b,0.0264,0.822,0.739,0.0,1.0,0.181,0.8865,0.0311,0.5409,0.739
11,8f4bdd146b73df4b77b9640b87487ca3,0.984,0.525,0.141,0.0001,5.0,0.139,0.5894,0.0471,0.4001,0.328
12,5cbf25f0f194b8710a1ac9844a832d24,0.136,0.666,0.627,0.0,2.0,0.118,0.877,0.156,0.7725,0.415
13,d3610e3c3c513160c5b27a216d09f2e4,0.737,0.633,0.42,0.0,4.0,0.0727,0.7054,0.0352,0.6259,0.486
14,7cb1d732774911f119ffb443e5665e6c,0.73,0.522,0.429,0.0,9.0,0.238,0.8759,0.0278,0.455,0.548
15,be3f0bf71caafec9c12520e99bfa2792,0.0349,0.806,0.88,0.223,9.0,0.0788,0.872,0.151,0.4817,0.636
16,d0b310f910fd41ef96dd91e1a79c114d,0.597,0.644,0.579,0.0,7.0,0.149,0.7703,0.0278,0.6143,0.939
17,7d3977207187fcba0b0c60dc0334fb2a,0.0613,0.689,0.62,0.0022,7.0,0.103,0.7128,0.0491,0.6104,0.599
18,7f45b33b7e54e9d01c7713951bc3b1d9,0.004,0.749,0.689,0.877,11.0,0.227,0.7362,0.048,0.5818,0.803
19,cc1a46ee0446538ecf6b65db01c30cd8,0.077,0.489,0.846,0.0,4.0,0.0931,0.8951,0.0345,0.4206,0.27
20,940e520eac743e609afffc52e989a1a0,0.0854,0.535,0.868,0.0,2.0,0.128,0.8717,0.0442,0.6406,0.606
21,a129fae6d317014b27588eb2e485fd99,0.131,0.538,0.716,0.0002,0.0,0.182,0.8515,0.034,0.5378,0.533
22,8a7d7445dd733b303b445530d0453553,0.781,0.742,0.557,0.0,2.0,0.0734,0.7693,0.0403,0.4433,0.756
23,8d1fe54b734b479c0529d6291dfec936,0.0136,0.672,0.875,0.0,0.0,0.279,0.9068,0.0378,0.5364,0.669
24,19acf9a5cbed34743ce0ee42ef3cae3e,0.226,0.627,0.713,0.0,11.0,0.107,0.8586,0.0612,0.5451,0.509
25,fc535843b0beccbcb8708b3609fdfd48,0.198,0.781,0.745,0.0,4.0,0.36,0.8547,0.0332,0.5909,0.324
26,e1399dbee3bb9d55dbcd2b02503ac1d9,0.0838,0.806,0.875,0.0019,7.0,0.065,0.9046,0.088,0.5685,0.916
27,d41a6e97725794051a1e412d5651c52b,0.125,0.77,0.813,0.0002,11.0,0.889,0.8347,0.0737,0.5382,0.778
28,7411604bd4679004d20a9d31fbaba1af,0.428,0.543,0.984,0.0,4.0,0.0565,0.926,0.0446,0.574,0.917
29,b6bbacac14bd4493384e97fc0ce059d2,0.0012,0.355,0.918,0.0,1.0,0.0971,0.891,0.0746,0.6732,0.221
30,9e7fdbf2045c9f814f6c0bed5da9bed7,0.309,0.421,0.407,0.001,10.0,0.11,0.8139,0.0267,0.6319,0.168
31,66c2327beb4c7d114fe5fc20fbad7537,0.344,0.625,0.753,0.0005,9.0,0.0709,0.8486,0.0362,0.7273,0.851
32,b129f3e0a0bdc1e61c57ce994f9d2932,0.341,0.549,0.408,0.0,8.0,0.0764,0.8075,0.024,0.3642,0.32
33,3441b1031267fbb6009221bf47f9c5e8,0.0246,0.748,0.735,0.0,5.0,0.22,0.8966,0.134,0.591,0.382
34,46638650e32035a97fbb8ec2106041af,0.1,0.466,0.704,0.0,1.0,0.0744,0.8208,0.0353,0.8002,0.484
35,e7bcbab1d9d749cbb9108edc97fbc40b,0.0313,0.593,0.752,0.0,1.0,0.0541,0.8796,0.0329,0.4408,0.414
36,206c8b79bd02beeea200879afc414879,0.015,0.61,0.768,0.0,8.0,0.0811,0.8336,0.0881,0.6135,0.482
37,1a7a95e3845a6815060628e847d14362,0.175,0.398,0.804,0.0,11.0,0.181,0.861,0.0451,0.8489,0.705
38,f3b434d15747984415c37dbe236007fa,,,,,,,-0.5,,0.0,
39,dd161ebd7de169a40be7a2440655eed9,0.0043,0.713,0.877,0.0001,2.0,0.0962,0.9039,0.0502,0.4228,0.766
40,0fc1136e32ea77a75aa2cbc211552618,0.228,0.641,0.861,0.0,4.0,0.868,0.8275,0.0697,0.4787,0.474
41,7f285382c867e8ac0d70cbc0154573df,0.544,0.491,0.526,0.839,8.0,0.153,0.8125,0.0292,0.4955,0.349
42,4c38479d6c4eb1d0b9986abee9a5f616,0.935,0.314,0.286,0.0258,10.0,0.0999,0.7452,0.035,0.7819,0.265
43,d90b8fce06328a12b4259fe3e779ef61,0.0325,0.639,0.846,0.0,9.0,0.116,0.8454,0.0439,0.5271,0.476
44,a817ae4887e497af3d495f64db63af04,0.513,0.604,0.575,0.0115,11.0,0.112,0.7606,0.0336,0.5725,0.438
45,e81faa266cd160e11c361803d1912298,0.0362,0.587,0.965,0.0,11.0,0.138,0.8973,0.101,0.5908,0.818
46,fda0ed635779f9c717372f81cf46f4b5,0.0945,0.561,0.844,0.0,0.0,0.22,0.8855,0.063,0.5044,0.433
