User,Context,Amount,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
1,evening,589,121.18880,343.94400,399.52830,14.50830,2845.00000,105.06360,468.96200,27.21930,329.80940,355.45710
1,night,582,120.56920,339.36100,394.13830,13.62900,2800.00000,105.20810,463.52860,26.56130,326.03330,350.68200
1,afternoon,584,120.11540,340.84500,395.71030,13.55360,2808.00000,105.53620,464.82530,26.79490,327.34790,353.37100
1,morning,588,120.55270,343.96000,399.42430,14.45210,2841.00000,104.49930,468.22890,27.00030,329.47930,356.42400
2,evening,548,90.91180,340.76700,397.85700,15.28050,2828.00000,103.50210,454.69130,32.00480,303.64350,355.01440
2,night,576,97.65230,358.25400,415.86600,18.22530,2984.00000,108.14870,477.32950,33.93360,318.67020,370.79240
2,afternoon,543,89.98680,337.40100,393.95000,15.55140,2795.00000,101.34520,450.83010,31.48880,300.14570,348.46740
2,morning,468,85.68000,290.93900,333.86100,15.24360,2400.00000,85.08040,387.62850,27.62790,259.70870,300.40780
3,evening,315,23.54160,164.25400,247.26000,18.36020,1670.00000,58.47300,268.93120,17.97100,179.81090,156.93080
3,night,321,24.35510,167.06300,249.09700,17.28610,1742.00000,59.26220,273.46260,18.11160,183.42860,158.57580
3,afternoon,332,25.50690,172.99600,258.04900,18.44360,1757.00000,63.10770,282.72620,18.74780,190.79480,164.65980
3,morning,308,24.39240,162.35400,239.25700,12.74200,1625.00000,56.89550,262.39420,17.55340,176.41290,152.61080
4,evening,263,29.60200,166.78900,194.92200,2.22050,1398.00000,50.44120,228.76460,18.57180,145.52320,142.59970
4,night,285,32.46570,182.41700,211.38000,2.77760,1497.00000,53.83960,247.58150,20.22650,160.14720,158.98870
4,afternoon,260,31.72960,165.09100,191.63000,2.38880,1407.00000,48.78210,225.93750,19.13350,142.83630,142.31100
4,morning,271,31.24770,172.94000,202.62800,2.21570,1466.00000,51.47400,236.28780,19.20160,150.11120,151.08100
5,evening,164,30.02660,113.56500,99.43700,2.84760,843.00000,25.72430,131.32430,15.75690,84.47440,93.34040
5,night,177,34.31020,119.80300,108.33800,3.13190,916.00000,27.59110,142.10220,16.84500,91.74030,99.77440
5,afternoon,164,30.31900,112.18300,101.21900,2.62450,844.00000,25.99110,131.76110,15.63810,84.69350,94.80900
5,morning,165,31.21940,111.95900,102.42000,1.85920,871.00000,26.24220,133.06870,15.59270,85.33540,94.81400
6,evening,810,167.51050,442.13190,534.20200,35.54840,4199.00000,161.26230,621.38100,39.02820,455.86110,491.70480
6,night,808,168.26730,441.92900,531.63300,35.50070,4229.00000,162.22400,619.65910,38.45420,455.21070,493.54670
6,afternoon,825,172.79080,450.61790,543.29650,37.56920,4289.00000,167.22000,632.97700,39.92210,463.19320,500.72840
6,morning,810,170.18380,440.93490,531.89920,37.73750,4190.00000,163.00190,619.78560,39.35830,453.37940,490.76420
7,evening,342,38.74810,185.50700,256.75900,11.71260,1719.00000,68.21280,277.29380,16.39490,190.95370,205.66480
7,night,330,37.41270,179.31500,247.60200,11.32170,1664.00000,65.19180,267.19380,15.68010,183.76160,197.31280
7,afternoon,349,38.60910,188.61900,263.95000,13.08120,1764.00000,69.32760,283.61730,17.02980,195.59350,209.90680
7,morning,343,38.54680,186.26900,257.60100,11.77990,1729.00000,68.70690,277.87360,16.40240,191.82260,206.18380
8,evening,361,130.34210,195.00700,205.71800,27.12970,2047.00000,67.47930,279.84990,17.66170,198.79220,170.62040
8,night,361,130.34210,195.00700,205.71800,27.12970,2047.00000,67.47930,279.84990,17.66170,198.79220,170.62040
8,afternoon,365,131.48210,197.90600,208.48800,26.27740,2077.00000,68.28420,282.90230,17.89810,201.03960,173.67040
8,morning,361,130.34210,195.00700,205.71800,27.12970,2047.00000,67.47930,279.84990,17.66170,198.79220,170.62040
9,evening,500,114.70360,288.05600,349.15100,1.90600,2591.00000,91.43680,417.19140,19.76860,286.73380,287.48170
9,night,404,84.78480,231.15700,288.80100,1.02150,2116.00000,73.73190,341.22310,15.87830,231.90470,228.97100
9,afternoon,493,113.97840,283.65200,342.61600,1.25610,2530.00000,89.95460,410.73090,19.74630,281.99820,283.13670
9,morning,500,116.72550,287.51300,347.97700,1.25620,2564.00000,90.90900,417.31820,19.90140,286.40900,289.08670
10,evening,110,27.23800,66.09100,71.48120,4.01880,545.00000,16.92220,89.02530,5.69020,61.67720,62.25100
10,night,111,27.30170,66.51500,72.15720,4.10490,545.00000,17.10580,89.84720,5.72320,62.14800,63.10000
10,afternoon,109,26.40420,65.07300,71.20220,4.01540,533.00000,16.73580,88.37690,5.58570,61.21960,61.78300
10,morning,108,26.12330,64.70100,70.67320,4.07940,526.00000,16.74510,87.64740,5.61700,60.47040,60.99700
11,evening,159,130.20900,76.86100,46.45470,43.81440,841.00000,32.23850,106.46560,9.27160,80.39120,71.81920
11,night,159,130.20900,76.86100,46.45470,43.81440,841.00000,32.23850,106.46560,9.27160,80.39120,71.81920
11,afternoon,159,130.20900,76.86100,46.45470,43.81440,841.00000,32.23850,106.46560,9.27160,80.39120,71.81920
11,morning,159,130.20900,76.86100,46.45470,43.81440,841.00000,32.23850,106.46560,9.27160,80.39120,71.81920
12,evening,4,0.73760,2.65000,2.27800,0.60900,18.00000,0.42340,3.31480,0.42660,2.28090,1.17500
12,night,4,0.73760,2.65000,2.27800,0.60900,18.00000,0.42340,3.31480,0.42660,2.28090,1.17500
12,afternoon,4,0.73760,2.65000,2.27800,0.60900,18.00000,0.42340,3.31480,0.42660,2.28090,1.17500
12,morning,5,0.73760,3.16200,3.18300,0.60910,19.00000,0.52540,4.20210,0.48390,2.81160,1.86300
13,evening,471,123.03980,309.21200,279.35400,14.88880,2468.00000,84.39130,361.92160,29.42050,247.17480,287.82250
13,night,461,119.17680,303.32000,274.32800,14.74260,2432.00000,83.02450,354.37540,29.01400,242.20580,283.45680
13,afternoon,472,122.32380,310.16300,280.31600,14.46180,2483.00000,85.36160,363.32850,29.87410,247.96070,290.38010
13,morning,483,127.99940,315.16300,285.97700,13.59880,2530.00000,87.05530,372.26750,30.34420,253.81590,294.31310
14,evening,47,6.63950,21.48800,36.60000,9.07980,254.00000,10.35730,39.83590,3.20170,27.85000,20.80110
14,night,43,4.03860,18.82490,34.31000,10.83990,195.00000,8.63130,36.21690,2.86400,24.91510,18.08360
14,afternoon,40,4.96010,19.40700,30.70600,6.02760,225.00000,7.85740,34.23580,2.98310,22.45180,17.52500
14,morning,43,5.93390,19.40400,33.39900,5.88740,208.00000,9.49550,36.65800,3.01530,25.48270,18.86200
15,evening,107,11.59950,47.19290,83.35300,11.31200,594.00000,27.07990,86.06100,7.24460,61.11320,53.14360
15,night,105,11.63730,46.55990,81.05100,12.43740,597.00000,26.08870,84.16910,7.19470,59.91900,52.28060
15,afternoon,105,10.96360,46.78000,81.92800,10.99280,592.00000,26.11690,84.61750,7.09690,60.65670,52.98910
15,morning,102,10.90860,44.33590,79.31000,11.36680,578.00000,26.02010,81.84750,6.98220,58.72690,49.86560
16,evening,383,49.29600,202.35800,277.96100,12.26820,1980.00000,77.93910,308.87240,18.78740,213.87100,223.36180
16,night,385,50.24150,203.32300,277.13300,11.79240,2019.00000,79.48600,309.72430,18.68180,214.29330,223.04010
16,afternoon,380,47.04930,200.94100,276.28300,11.88000,1998.00000,76.94150,306.44800,18.60160,213.25020,221.05480
