100
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
52,222;3687;2052;344;6246;2584;74;3433;1755;1365;621;4117;3088;168;6134;1533,daytime:morning,1131;100,923;99,726;98,2699;97,6549;96,5584;95,1688;94,5241;93,1227;92,3679;91,3575;90,703;89,1727;88,4071;87,1139;86,5032;85,4467;84,1269;83,1219;82,3419;81,657;80,2678;79,270;78,799;77,368;76,1477;75,1136;74,4807;73,6636;72,51;71,2243;70,3767;69,3322;68,2064;67,4742;66,2595;65,1703;64,5176;63,420;62,344;61,3417;60,5688;59,1976;58,1450;57,4091;56,399;55,2655;54,54;53,6831;52,6590;51,3169;50,3423;49,1403;48,3926;47,492;46,441;45,252;44,587;43,2652;42,5457;41,1102;40,2279;39,4722;38,3569;37,2564;36,5040;35,1693;34,3433;33,2430;32,4500;31,6059;30,5054;29,2406;28,4276;27,2560;26,3736;25,2151;24,5037;23,3402;22,2684;21,2735;20,4462;19,2986;18,5474;17,932;16,1618;15,940;14,4843;13,3240;12,1363;11,278;10,4784;9,6822;8,1756;7,5973;6,5694;5,3360;4,4183;3,1795;2,2821;1
52,4167;3523;5466;3103;1169;2894;872;75;900;4585;2430;5584;2505,daytime:evening,1131;100,923;99,726;98,2699;97,6549;96,5584;95,1688;94,5241;93,1227;92,3679;91,3575;90,1727;89,4071;88,4467;87,1269;86,1219;85,657;84,2678;83,270;82,799;81,368;80,1477;79,1136;78,4807;77,6636;76,51;75,2243;74,3767;73,3322;72,2064;71,4742;70,2595;69,1703;68,5176;67,344;66,3417;65,5688;64,1976;63,1450;62,4091;61,2655;60,54;59,6831;58,6590;57,3169;56,3423;55,1403;54,3926;53,492;52,441;51,252;50,587;49,2652;48,1102;47,2279;46,5483;45,4722;44,2564;43,5040;42,1693;41,3433;40,2430;39,4500;38,6059;37,3698;36,4282;35,5054;34,2406;33,4276;32,2560;31,3736;30,2151;29,5037;28,3402;27,2684;26,2735;25,4462;24,2986;23,5474;22,932;21,1618;20,940;19,4843;18,3240;17,1363;16,278;15,6822;14,1756;13,5973;12,5694;11,3360;10,4183;9,1795;8,2821;7,5232;6,4711;5,2932;4,4677;3,2078;2,386;1
52,3224;924;2063;4323;5395;5004;382;1920,daytime:afternoon,1131;100,923;99,726;98,2699;97,6549;96,5584;95,1688;94,5241;93,1227;92,3679;91,3575;90,703;89,1727;88,4071;87,1139;86,5032;85,1269;84,1219;83,3419;82,657;81,270;80,1477;79,1136;78,6636;77,51;76,2243;75,3322;74,2064;73,4742;72,2595;71,1703;70,5176;69,420;68,344;67,3417;66,5688;65,1976;64,1450;63,4091;62,399;61,54;60,6831;59,6590;58,3169;57,3423;56,1403;55,3926;54,492;53,441;52,252;51,587;50,2652;49,5457;48,1102;47,2279;46,5483;45,4722;44,3569;43,2564;42,5040;41,1693;40,3433;39,2430;38,4500;37,6059;36,3698;35,4282;34,5054;33,2406;32,4276;31,2560;30,3736;29,2151;28,5037;27,3402;26,2684;25,2735;24,4462;23,2986;22,5474;21,932;20,1618;19,940;18,4843;17,3240;16,1363;15,278;14,4784;13,6822;12,1756;11,5973;10,3360;9,4183;8,1795;7,2821;6,5232;5,4711;4,2932;3,4677;2,2078;1
20,4165;4763;1647;4206;5504;6098;2010;5733;7027;5192;3575;3731;2233;2770;5640;467;5011;3831;1597;1771;4918;3206;4957;3803;6140;3790;3042;269;588;211;6313;2019;3302;4852;2614;6259;183;6289;1052;239;2574;4631;293;423;1180;5119;4207;1135;2178;6894;5408;1760;1982;4931;6334;6219;5131;4929;2166;4683;6323;2270;3113;2281;4491;1013,daytime:morning,2894;100,3620;99,386;98,1936;97,5973;96,3770;95,2859;94,1960;93,5741;92,7143;91,3975;90,4854;89,252;88,2792;87,84;86,1457;85,136;84,2451;83,545;82,456;81,6091;80,3561;79,173;78,974;77,5730;76,3417;75,905;74,3255;73,270;72,339;71,632;70,406;69,1136;68,95;67,3445;66,629;65,1879;64,2934;63,2338;62,232;61,1004;60,1131;59,607;58,1645;57,184;56,447;55,6312;54,1335;53,679;52,83;51,2124;50,2713;49,420;48,3943;47,2512;46,4418;45,312;44,1940;43,6141;42,1862;41,54;40,2938;39,3388;38,2510;37,1158;36,1012;35,4567;34,6545;33,1148;32,457;31,327;30,7036;29,277;28,4641;27,2604;26,27;25,1455;24,4404;23,2817;22,742;21,1911;20,1236;19,191;18,2477;17,1567;16,3900;15,2562;14,4830;13,467;12,2759;11,1725;10,2708;9,2425;8,1550;7,5284;6,1569;5,2160;4,4817;3,1948;2,96;1
20,2665;6517;6199;6797;4462;1099;642;311;3625;5139;2895;3337;4820;3708;5961;4098;1474;1341;5115;2630;6571;3724;1567;6203;1155;4452;6020;95;5268;3417;6321;4187;691;1463;616;5407;2512;4801;2124;4085;5686;1759;5973;6190;3586;5665;4457;4740;1610;5189;3105;4632;6207;6102;5729;4612,daytime:evening,386;100,2836;99,3892;98,604;97,5973;96,1102;95,2859;94,1960;93,5741;92,7143;91,86;90,112;89,3975;88,4854;87,3953;86,252;85,2792;84,84;83,1457;82,136;81,2451;80,5013;79,456;78,6091;77,7100;76,3561;75,2649;74,173;73,974;72,5730;71,3417;70,905;69,250;68,270;67,339;66,632;65,1136;64,95;63,629;62,2934;61,2338;60,232;59,1004;58,607;57,1645;56,184;55,447;54,6312;53,1335;52,679;51,83;50,1613;49,2124;48,420;47,1831;46,3943;45,2512;44,312;43,1940;42,2880;41,6141;40,1862;39,1935;38,54;37,1221;36,2938;35,3388;34,4487;33,2510;32,1158;31,1012;30,4567;29,6789;28,5515;27,6545;26,1148;25,457;24,327;23,7036;22,277;21,1455;20,4404;19,4917;18,742;17,3883;16,1236;15,191;14,3321;13,2477;12,1955;11,1165;10,1567;9,3900;8,2562;7,4830;6,467;5,2759;4,2708;3,353;2,1550;1
20,6125;5315;5910;5416;420;1136;2543;2746;2808;3634;3458;5243;3177;1496;2814;7145;1709;3975;2993;2860;168;6685;5412;5935;2797;1172;4062;4565;2015;4560;2163;2688;451;3484;6027;7073;3291;955;290;6542;4284,daytime:night,2894;100,3620;99,386;98,2836;97,3892;96,604;95,1936;94,5973;93,3770;92,1102;91,2859;90,1960;89,5741;88,7143;87,86;86,112;85,3975;84,4854;83,3953;82,252;81,2792;80,84;79,1457;78,136;77,2451;76,5013;75,545;74,456;73,6091;72,7100;71,3561;70,2649;69,173;68,974;67,5730;66,3417;65,905;64,250;63,3255;62,339;61,632;60,406;59,1136;58,95;57,3445;56,629;55,1879;54,2934;53,232;52,1004;51,1131;50,607;49,1645;48,184;47,447;46,1335;45,83;44,1613;43,2124;42,2713;41,420;40,1831;39,3943;38,2512;37,4418;36,312;35,1940;34,2880;33,6141;32,1935;31,54;30,1221;29,2938;28,3388;27,4487;26,1158;25,1012;24,4567;23,6789;22,5515;21,6545;20,457;19,327;18,7036;17,277;16,4641;15,2604;14,27;13,1455;12,4404;11,2817;10,4917;9,1911;8,3883;7,1236;6,191;5,3321;4,2477;3,1955;2,1165;1
20,3180;5254;4138;504;1953;3165;5316;4007;4469;478;4049;1207;2126;3643;2550;2102;3579;61;4168;5472;2464;6384;3897;5061;6051;4425;635;4309;4237;4694;5807;5086;4300;6250;5488;974;365;4137;471;1917;2349;6233;2916;352;3405;3409;63;174;5621;6520;6613;629;4998;810;6173;4854;4556;4976;3891;3152,daytime:afternoon,2894;100,3620;99,386;98,2836;97,3892;96,604;95,1936;94,5973;93,3770;92,1102;91,2859;90,1960;89,5741;88,7143;87,86;86,112;85,3975;84,4854;83,3953;82,252;81,2792;80,84;79,1457;78,136;77,5013;76,545;75,6091;74,7100;73,3561;72,2649;71,173;70,974;69,5730;68,3417;67,905;66,250;65,3255;64,270;63,339;62,632;61,406;60,1136;59,95;58,3445;57,629;56,1879;55,2934;54,2338;53,232;52,1131;51,607;50,1645;49,184;48,447;47,6312;46,1335;45,679;44,83;43,1613;42,2124;41,2713;40,420;39,1831;38,3943;37,2512;36,4418;35,312;34,1940;33,2880;32,6141;31,1862;30,1935;29,54;28,1221;27,2938;26,4487;25,2510;24,1158;23,6789;22,5515;21,6545;20,1148;19,457;18,327;17,7036;16,277;15,4641;14,2604;13,27;12,1455;11,4404;10,2817;9,4917;8,742;7,1911;6,3883;5,1236;4,191;3,3321;2,2477;1
323,1917;5325;4432;223;5319;1514;2154;1405;4104;241;4314;5281;191;2149;1015;486;2085;1563;4527;4005;1126;3415;3897;2059;3341;2781;2501;1923;381;1634;1789;284;670;23;3540;2623;4751;213;3920;6310;3238;6049;593;5966,daytime:morning,95;100,270;99,3620;98,184;97,60;96,1131;95,6141;94,742;93,406;92,2372;91,7143;90,232;89,2894;88,86;87,457;86,960;85,1645;84,339;83,646;82,54;81,136;80,14;79,456;78,1240;77,785;76,3;75,1102;74,604;73,2268;72,6545;71,189;70,2650;69,905;68,1749;67,1883;66,284;65,3770;64,128;63,45;62,2124;61,1158;60,277;59,63;58,1166;57,168;56,222;55,2859;54,214;53,1365;52,1862;51,1148;50,679;49,458;48,3561;47,1948;46,3028;45,1349;44,5973;43,1550;42,2338;41,241;40,1868;39,6675;38,740;37,3601;36,3521;35,516;34,3255;33,3943;32,3575;31,7;30,1014;29,919;28,430;27,797;26,2583;25,942;24,1936;23,1097;22,69;21,1276;20,680;19,6312;18,545;17,1685;16,291;15,2168;14,312;13,218;12,1939;11,1960;10,131;9,703;8,2946;7,5757;6,148;5,2558;4,386;3,811;2,2164;1
323,3601;1734;565;1971;1233;2927;942;797;6675;931;2124;2803;1797;222;6095;740;2778;1097;3111;2263;6043;1847;5501;235;1540;2112;1711;4302;5442,daytime:evening,95;100,974;99,270;98,3620;97,184;96,742;95,406;94,2372;93,7143;92,84;91,232;90,2894;89,457;88,173;87,960;86,1645;85,1057;84,353;83,54;82,136;81,14;80,456;79,1240;78,785;77,3;76,1102;75,2268;74,6545;73,189;72,2650;71,905;70,250;69,1749;68,1883;67,1335;66,284;65,1196;64,3770;63,128;62,45;61,2124;60,1158;59,277;58,63;57,1166;56,168;55,222;54,2859;53,214;52,1365;51,1862;50,1148;49,679;48,458;47,27;46,3561;45,1948;44,3028;43,1349;42,5973;41,2338;40,241;39,1868;38,6675;37,740;36,3601;35,1725;34,3521;33,516;32,3255;31,3575;30,7;29,1014;28,102;27,919;26,430;25,797;24,2583;23,657;22,942;21,1097;20,69;19,1276;18,680;17,6312;16,545;15,1685;14,291;13,2168;12,312;11,218;10,1939;9,1960;8,131;7,703;6,2946;5,5757;4,148;3,1417;2,2558;1
323,5057;2256;1851;1203;3;2209;352;3334;2295;2008;1899;423;270;4442;2842;5849;4228;2986;2425;4218;3401;2173;4685;388;6411;2168,daytime:night,95;100,974;99,270;98,3620;97,184;96,60;95,1131;94,6141;93,406;92,2372;91,7143;90,84;89,2894;88,86;87,457;86,173;85,960;84,1645;83,1057;82,339;81,353;80,646;79,136;78,14;77,456;76,3;75,1102;74,604;73,2268;72,6545;71,189;70,2650;69,905;68,250;67,1883;66,1335;65,284;64,1196;63,3770;62,45;61,2124;60,1158;59,63;58,1166;57,168;56,222;55,2859;54,1365;53,1862;52,1148;51,679;50,458;49,27;48,3561;47,1948;46,1349;45,1550;44,2338;43,241;42,1868;41,6675;40,740;39,3601;38,1725;37,3521;36,516;35,3255;34,3943;33,3575;32,7;31,102;30,919;29,430;28,797;27,2583;26,657;25,942;24,1936;23,1097;22,69;21,680;20,6312;19,545;18,1685;17,291;16,2168;15,312;14,218;13,1939;12,1960;11,131;10,703;9,2946;8,5757;7,148;6,1417;5,2558;4,386;3,811;2,181;1
