100
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
20,975;4679;406;3430;2473;3862;5956;2094;713;5563;428;3906;1911;591;4508;3934;1445;5896;4770;5989;453;5026;6890;2817;2059;2378;6138;3273;2611;5168;1766;27;2037;4316;646;21;5663;4641;5913;715;5856;5810;5771;1879;5483;6352;2676;4417;1305;6079;4659;2700;165;1087;3503;222;4418;1757;4630;2387;5071;5811;3939;2604;2536;6615;6319;5742;5926;1070;5084;4711;2030,daytime:evening,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,3555;89,6204;88,7067;87,3064;86,6820;85,6785;84,7209;83,5145;82,7199;81,3116;80,778;79,800;78,2493;77,6843;76,6962;75,1440;74,3211;73,484;72,879;71,903;70,6876;69,5998;68,4786;67,6419;66,7297;65,6941;64,5005;63,1297;62,1516;61,2945;60,99;59,6936;58,3572;57,3697;56,7277;55,3096;54,1855;53,462;52,7287;51,3226;50,6164;49,1651;48,6731;47,6979;46,1291;45,6942;44,1272;43,7279;42,3538;41,6950;40,1351;39,1690;38,3093;37,6674;36,6858;35,517;34,7289;33,1603;32,3882;31,7197;30,6661;29,5781;28,4400;27,7243;26,7262;25,5493;24,7276;23,6303;22,7238;21,1481;20,6766;19,387;18,2202;17,651;16,7106;15,7249;14,4232;13,6909;12,6424;11,1844;10,2342;9,7146;8,1659;7,634;6,1435;5,3288;4,1689;3,7295;2,282;1
20,6999;1069;1095;1093;1550;3340;5048;6200;2024;6073;2811;3658;5497;1687;791;1630;2483;5523;444;3363;5034;2760;3455;1129;4956;4681;6697;2671;3134;2028;874;6383;5349;3208;1012;2408;2968;3967;3992;1106;5549;6075;4628;5853;5566;3977;1023;5679;4353;1269;137;3028;530;3622;2086;3783;5823;5211;3537;6661;1426;129;5642;5891;4107;3344;456;2379;5864;1821,daytime:afternoon,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,3555;89,6204;88,7067;87,3064;86,6820;85,6785;84,7209;83,5145;82,7199;81,3116;80,778;79,800;78,2493;77,6843;76,6962;75,1440;74,3211;73,484;72,879;71,903;70,6876;69,5998;68,4786;67,6419;66,7297;65,6941;64,5005;63,1297;62,1516;61,2945;60,99;59,6936;58,3572;57,3697;56,7277;55,3096;54,1855;53,462;52,7287;51,3226;50,6164;49,1651;48,6731;47,6979;46,1291;45,6942;44,1272;43,7279;42,3538;41,6950;40,1351;39,1690;38,3093;37,6674;36,6858;35,517;34,7289;33,1603;32,3882;31,7197;30,6661;29,5781;28,4400;27,7243;26,7262;25,5493;24,7276;23,6303;22,7238;21,1481;20,6766;19,387;18,2202;17,651;16,7106;15,7249;14,4232;13,6909;12,6424;11,1844;10,2342;9,7146;8,1659;7,634;6,1435;5,3288;4,1689;3,7295;2,282;1
109,6356;6818;1298;4512;7172;5351;3726;6882;2317,daytime:evening,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,6204;89,3555;88,3064;87,7067;86,6785;85,6820;84,7209;83,5145;82,7199;81,3116;80,778;79,800;78,2493;77,6843;76,6962;75,3211;74,1440;73,903;72,6876;71,484;70,5998;69,879;68,4786;67,6419;66,6941;65,7297;64,5005;63,2945;62,1297;61,99;60,1516;59,6936;58,3572;57,3697;56,7277;55,3096;54,1855;53,6979;52,462;51,6164;50,6731;49,7287;48,3226;47,1651;46,1291;45,6942;44,1272;43,6950;42,7279;41,3538;40,6674;39,1690;38,517;37,6858;36,7197;35,3093;34,1351;33,6661;32,1603;31,7289;30,3882;29,387;28,5781;27,1481;26,5493;25,7276;24,4400;23,7238;22,7262;21,7243;20,6766;19,651;18,6303;17,7106;16,2202;15,7249;14,6909;13,4232;12,2342;11,1659;10,6424;9,1844;8,7146;7,634;6,1689;5,3288;4,1435;3,282;2,7295;1
128,3544;666;6015;6841;1786;4762;5835;3910;384;5027;6253;1955;3731;3612;4581;1609;2406;6628;86;3187;3119;3931;2965;1537;3042;269;3533;2408;2289;2861;2136;974;6127;593;4561;1381;2373;4985;2300;1023;942;1113;6154;3474;2241;142;3049;3161;320;2782;1148;2539;2797;343;5008;4823;1082;3654;1622;2949;3543;937;4961;68;3574,daytime:morning,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,7250;91,4493;90,6204;89,3555;88,7067;87,3064;86,6785;85,6820;84,7209;83,5145;82,7199;81,778;80,3116;79,2493;78,800;77,6843;76,6962;75,3211;74,1440;73,903;72,484;71,6876;70,879;69,5998;68,4786;67,7297;66,6941;65,6419;64,5005;63,99;62,2945;61,1516;60,1297;59,3572;58,6936;57,3697;56,7277;55,3096;54,1855;53,462;52,6731;51,6979;50,7287;49,1651;48,3226;47,6164;46,1291;45,6942;44,3538;43,6674;42,6950;41,1690;40,7279;39,1272;38,1351;37,3093;36,6858;35,1603;34,7197;33,517;32,6661;31,7289;30,3882;29,5781;28,1481;27,4400;26,387;25,7243;24,7262;23,5493;22,7106;21,7238;20,6303;19,7276;18,6766;17,651;16,2202;15,6909;14,7249;13,2342;12,4232;11,6424;10,1659;9,634;8,1844;7,7146;6,1689;5,3288;4,1435;3,282;2,7295;1
128,4167;6599;5368;2831;2064;2484;5284;6797;1947;2260;3488;3165;977;2683;3321;4477;3960;5095;1014;6693;3502;1137;4937;1877;3454;85;3579;2465;5420;2640;3757;5904;5347;1927;180;2940;4619;2526;3929;4640;1064;605;4583;4361;387;4479;6049;4742,daytime:afternoon,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,7250;91,4493;90,6204;89,3555;88,7067;87,3064;86,6785;85,6820;84,7209;83,5145;82,7199;81,778;80,3116;79,2493;78,800;77,6843;76,6962;75,3211;74,1440;73,903;72,484;71,6876;70,879;69,5998;68,4786;67,7297;66,6941;65,6419;64,5005;63,99;62,2945;61,1516;60,1297;59,3572;58,6936;57,3697;56,7277;55,3096;54,1855;53,462;52,6731;51,6979;50,7287;49,1651;48,3226;47,6164;46,1291;45,6942;44,3538;43,6674;42,6950;41,1690;40,7279;39,1272;38,1351;37,3093;36,6858;35,1603;34,7197;33,517;32,6661;31,7289;30,3882;29,5781;28,1481;27,4400;26,387;25,7243;24,7262;23,5493;22,7106;21,7238;20,6303;19,7276;18,6766;17,651;16,2202;15,6909;14,7249;13,2342;12,4232;11,6424;10,1659;9,634;8,1844;7,7146;6,1689;5,3288;4,1435;3,282;2,7295;1
185,5962;5145;262;3591;4967;1589;4371;977;4708;2467;4602;5654;1614;4527;4062;3059;73;1760;3423;6137;1849;5086;1508;4068,daytime:morning,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,6204;89,3555;88,3064;87,5145;86,6785;85,7067;84,6820;83,7209;82,800;81,778;80,7199;79,3116;78,2493;77,6962;76,3211;75,6843;74,1440;73,484;72,903;71,4786;70,5998;69,6876;68,879;67,5005;66,6419;65,7297;64,6941;63,2945;62,1297;61,99;60,6936;59,3572;58,1516;57,7277;56,3697;55,3096;54,7287;53,6164;52,1855;51,1272;50,6979;49,462;48,6942;47,6731;46,1651;45,3226;44,7279;43,1291;42,6950;41,3538;40,6858;39,6674;38,517;37,3093;36,1690;35,1351;34,1603;33,7197;32,1481;31,387;30,6661;29,7276;28,7289;27,5493;26,5781;25,2202;24,6766;23,3882;22,7238;21,7243;20,7262;19,651;18,4400;17,7249;16,4232;15,7106;14,6303;13,6909;12,1659;11,2342;10,1689;9,1844;8,7146;7,6424;6,1435;5,3288;4,1120;3,634;2,1787;1
185,6368;396;2192;3389;2836;6909;4778;2372;2799;203;5366;496;5936;2882;6487;4597;361;2622;6723;3269;748;2204;6550;5700;6752;1623,daytime:evening,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,6204;89,3555;88,3064;87,5145;86,6785;85,7067;84,6820;83,7209;82,800;81,778;80,7199;79,3116;78,2493;77,6962;76,3211;75,6843;74,1440;73,484;72,903;71,4786;70,5998;69,6876;68,879;67,5005;66,6419;65,7297;64,6941;63,2945;62,1297;61,99;60,6936;59,3572;58,1516;57,7277;56,3697;55,3096;54,7287;53,6164;52,1855;51,1272;50,6979;49,462;48,6942;47,6731;46,1651;45,3226;44,7279;43,1291;42,6950;41,3538;40,6858;39,6674;38,517;37,3093;36,1690;35,1351;34,1603;33,7197;32,1481;31,387;30,6661;29,7276;28,7289;27,5493;26,5781;25,2202;24,6766;23,3882;22,7238;21,7243;20,7262;19,651;18,4400;17,7249;16,4232;15,7106;14,6303;13,6909;12,1659;11,2342;10,1689;9,1844;8,7146;7,6424;6,1435;5,3288;4,1120;3,634;2,1787;1
316,1278;5315;1196;292;2510;1895;5126;5139;2308;1246;1682;1617;4346;2597;7290;4223;3738;2582;6713;3039;4983;55;6663;332;4812;767;7116;1469;2105;3701;82;1128;6867;152;2072;808;5699;5430;1971;498;399;3561;5899;4671;1624;1076;4527;5250;1700;2337;3240;4953;1638;4935;13;2865;1568;686,daytime:morning,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,6204;89,3555;88,7067;87,6785;86,3064;85,6820;84,7209;83,5145;82,7199;81,3116;80,778;79,2493;78,800;77,6843;76,6962;75,1440;74,3211;73,6876;72,903;71,484;70,4786;69,6419;68,7297;67,5998;66,6941;65,879;64,5005;63,99;62,1297;61,2945;60,1516;59,6936;58,3572;57,3697;56,7277;55,3096;54,1855;53,6731;52,6979;51,6164;50,7287;49,1291;48,3226;47,462;46,6942;45,1651;44,1272;43,7279;42,6950;41,3538;40,517;39,6674;38,1351;37,1690;36,6858;35,3093;34,7197;33,6661;32,1603;31,3882;30,5781;29,4400;28,7238;27,7262;26,5493;25,7276;24,1481;23,387;22,7243;21,6766;20,6303;19,7106;18,7249;17,651;16,2202;15,6909;14,4232;13,2342;12,6424;11,1689;10,1659;9,1844;8,7146;7,634;6,1343;5,282;4,1435;3,7294;2,7295;1
316,4245;776;3079;5429;1433;6885;6141;3677;1648;6707;1051;1497;431;1067;716;1066;4562;2442;250;6400;3606;379;1974;7177;7237;3655;2734;2513;3438;2968;4452;190;1714;5743;956;781;5816;101;1006;4073;6913;1320;6619;3227;6233;2768;5870;7295;1137;2702;3689;7298;4837;6875;884;4;2325;4107;5659;2444;1802;2815;4145;153;4306;10,daytime:night,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,6204;89,3555;88,7067;87,6785;86,3064;85,6820;84,7209;83,7199;82,3116;81,778;80,2493;79,800;78,6843;77,6962;76,1440;75,3211;74,6876;73,903;72,4786;71,6419;70,7297;69,5998;68,6941;67,879;66,5005;65,99;64,1297;63,2945;62,1516;61,6936;60,3572;59,3697;58,7277;57,3096;56,1855;55,6731;54,6979;53,6164;52,7287;51,1291;50,3226;49,462;48,6942;47,1651;46,1272;45,7279;44,6950;43,3538;42,517;41,6674;40,1351;39,1690;38,6858;37,3093;36,7197;35,6661;34,7289;33,1603;32,3882;31,5781;30,4400;29,7238;28,7262;27,5493;26,7276;25,1481;24,387;23,7243;22,6766;21,6303;20,7106;19,7249;18,651;17,2202;16,6909;15,4232;14,2342;13,6424;12,1689;11,1659;10,1844;9,7146;8,634;7,1343;6,282;5,1435;4,7294;3,7295;2,1418;1
316,1572;5321;56;3427;6346;712;6718;1750;3483;2346;3450;460;1626;1975;6822;3476;1935;4710;5263;2288;6668;1771;3672;952;5437;3902;3012;3466;1227;209;4112;5807;2037;6798;195;1064;3578;4224;1732;3935;248;974;6127;913;4595;4613;5060;4215;964;5573;6314;1052;1564;1591;142;3663;203;479;168;6134;3620;3432;85;5843;6505;6270;5344;2422;1310;4998;6279;309;6205;3423;5894;2682;6337;677;1460;363;897;1643;4089,daytime:afternoon,6854;100,6992;99,7127;98,7157;97,643;96,2886;95,2892;94,5744;93,693;92,4493;91,7250;90,6204;89,3555;88,7067;87,6785;86,3064;85,6820;84,7209;83,5145;82,7199;81,3116;80,778;79,2493;78,800;77,6843;76,6962;75,1440;74,3211;73,6876;72,903;71,484;70,4786;69,6419;68,7297;67,5998;66,6941;65,879;64,5005;63,99;62,1297;61,2945;60,1516;59,6936;58,3572;57,3697;56,7277;55,3096;54,1855;53,6731;52,6979;51,6164;50,7287;49,1291;48,3226;47,462;46,6942;45,1651;44,1272;43,7279;42,6950;41,3538;40,517;39,6674;38,1351;37,1690;36,6858;35,3093;34,7197;33,6661;32,7289;31,1603;30,3882;29,5781;28,4400;27,7238;26,7262;25,5493;24,7276;23,1481;22,387;21,7243;20,6766;19,6303;18,7106;17,7249;16,651;15,2202;14,6909;13,4232;12,2342;11,6424;10,1689;9,1659;8,1844;7,7146;6,634;5,1343;4,282;3,1435;2,7294;1
