100
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
52,2528;2574;3610;3698;4282;6414;2815;3696;1489,daytime:morning,3539;100,4970;99,2101;98,420;97,4467;96,3005;95,3274;94,3785;93,3419;92,849;91,6189;90,2678;89,3190;88,854;87,4720;86,4945;85,671;84,905;83,3407;82,1095;81,2064;80,1030;79,2366;78,956;77,2595;76,2222;75,441;74,5358;73,410;72,3071;71,3714;70,6779;69,5198;68,4345;67,4875;66,3804;65,38;64,5521;63,1412;62,75;61,4430;60,3917;59,2837;58,1486;57,5032;56,1996;55,347;54,1368;53,1037;52,1744;51,5040;50,3719;49,4282;48,2591;47,6590;46,4807;45,2946;44,3240;43,2683;42,3091;41,4063;40,1497;39,386;38,430;37,4843;36,996;35,5234;34,3580;33,3370;32,6241;31,711;30,3595;29,5184;28,3591;27,3151;26,3245;25,3736;24,3044;23,3767;22,2898;21,2901;20,790;19,2063;18,6388;17,2996;16,2873;15,3072;14,1555;13,6131;12,2098;11,354;10,715;9,6863;8,1131;7,2708;6,4286;5,3882;4,134;3,5974;2,2066;1
52,6805;5109;703;3239;4970;1139;1845;3595;27;5457;999;348;2915;812,daytime:evening,3539;100,4970;99,4467;98,3005;97,3274;96,849;95,3433;94,6189;93,2678;92,3190;91,854;90,4720;89,4945;88,671;87,905;86,3407;85,1095;84,2064;83,1030;82,2366;81,956;80,2595;79,2222;78,441;77,5358;76,3071;75,3714;74,6779;73,5198;72,992;71,4345;70,1042;69,1365;68,4875;67,3804;66,38;65,5521;64,1412;63,4430;62,3917;61,2837;60,1486;59,1996;58,347;57,1368;56,1037;55,1744;54,5040;53,3719;52,4282;51,2591;50,6590;49,4807;48,2946;47,3240;46,2683;45,4063;44,1497;43,386;42,430;41,4843;40,996;39,5234;38,3580;37,3370;36,6241;35,711;34,3595;33,5184;32,3591;31,3151;30,3245;29,3736;28,3044;27,6328;26,3767;25,2898;24,2901;23,790;22,2063;21,6388;20,2873;19,3072;18,1555;17,6131;16,354;15,715;14,6863;13,1131;12,2708;11,4286;10,3882;9,134;8,5974;7,2066;6,6110;5,763;4,3513;3,4164;2,4254;1
52,3144;1969;3870;7181;1421;3417;3720;4017;7266;51,daytime:night,4970;100,2101;99,420;98,4467;97,3005;96,3274;95,3785;94,3419;93,849;92,3433;91,6189;90,2678;89,3190;88,854;87,4720;86,4945;85,671;84,905;83,3407;82,1095;81,2064;80,1030;79,2366;78,956;77,2595;76,2222;75,441;74,5358;73,410;72,3071;71,3714;70,5198;69,992;68,4345;67,1042;66,1365;65,4875;64,3804;63,38;62,5521;61,1412;60,75;59,4430;58,3917;57,1486;56,5032;55,1996;54,347;53,1368;52,1037;51,1744;50,5040;49,3719;48,4282;47,2591;46,6590;45,4807;44,2946;43,2683;42,3091;41,4063;40,1497;39,386;38,430;37,4843;36,996;35,3580;34,3370;33,6241;32,3595;31,5184;30,3591;29,3151;28,3245;27,3736;26,3044;25,6328;24,3767;23,2898;22,2901;21,790;20,2063;19,6388;18,2996;17,2873;16,3072;15,1555;14,6131;13,2098;12,354;11,715;10,6863;9,2708;8,4286;7,3882;6,134;5,5974;4,2066;3,6110;2,763;1
52,3083;3142;2415;3202;4523;6568;3244;5319;3505;4467,daytime:afternoon,3539;100,4970;99,2101;98,420;97,4467;96,3005;95,3274;94,3785;93,3419;92,849;91,3433;90,3190;89,854;88,4720;87,4945;86,671;85,905;84,3407;83,1095;82,2064;81,1030;80,2366;79,956;78,2595;77,2222;76,441;75,5358;74,410;73,3071;72,3714;71,6779;70,5198;69,992;68,4345;67,1042;66,1365;65,4875;64,3804;63,38;62,5521;61,75;60,4430;59,3917;58,2837;57,1486;56,5032;55,1996;54,347;53,1368;52,1037;51,1744;50,5040;49,3719;48,4282;47,2591;46,6590;45,2946;44,3240;43,2683;42,3091;41,1497;40,386;39,430;38,4843;37,996;36,5234;35,3580;34,3370;33,6241;32,711;31,3595;30,5184;29,3591;28,3151;27,3245;26,3736;25,3044;24,6328;23,2898;22,2901;21,790;20,6388;19,2996;18,2873;17,3072;16,1555;15,6131;14,2098;13,354;12,715;11,6863;10,1131;9,2708;8,4286;7,3882;6,134;5,5974;4,2066;3,763;2,3513;1
20,3839;4925;5760;4539;5480;28;2005;3321;1955;3118;3032;5013;268;2063;2538;6349;5275;3415;3057;233;4954;2841;2880;5508;250;3254;6862;957;3391;2148;854;3231;5925;2432;4911;3866;5249;2649;4939;101;2836;5231;4109;6795;4990;4236;5839;5031;524;468;2480;3689;1176;3557;5845;1639;5620;782;3390;3395;1165;5955;272;4183;681,daytime:morning,1550;100,2652;99,2124;98,4782;97,3770;96,891;95,6104;94,3929;93,3975;92,1790;91,2755;90,624;89,545;88,4013;87,1936;86,1955;85,2968;84,1948;83,3615;82,1694;81,3069;80,2859;79,6091;78,1724;77,1911;76,277;75,788;74,1490;73,2724;72,848;71,164;70,1879;69,7058;68,4418;67,4877;66,6141;65,4567;64,4740;63,5557;62,5823;61,2940;60,5954;59,1276;58,4348;57,2094;56,975;55,2349;54,3135;53,3717;52,4425;51,629;50,63;49,5889;48,3535;47,2703;46,4098;45,6112;44,4270;43,2854;42,1645;41,1752;40,4265;39,2880;38,2080;37,2604;36,1131;35,439;34,3317;33,5050;32,5939;31,1275;30,2458;29,1240;28,3588;27,2596;26,1463;25,4137;24,2151;23,2473;22,1607;21,97;20,4994;19,4404;18,4087;17,4620;16,6250;15,1666;14,1194;13,5388;12,1236;11,250;10,810;9,1305;8,458;7,1057;6,1255;5,1639;4,2575;3,5031;2,955;1
20,2280;5977;5629;2749;3719;5354;1461;795;3580;2982;3972;6878;5473;5903;4438;5974;4590;3854;5199;1187;2690;2425;2435;4789;1664;6002;4693;2020;2266;6984;5724;4080;6410;6092;2104;223;2128;1731;2699;151;3396;4639;554;2395;5163;5485;3434;3224;4817;6347;5850;14;343;6910;3707;2183;5894;3240;3372;3255;3531;4530;5860;5830;88;5103;3058;5612,daytime:evening,1550;100,2652;99,4782;98,891;97,6104;96,353;95,3929;94,3975;93,1790;92,2755;91,624;90,1955;89,4196;88,2968;87,1948;86,1935;85,1694;84,3069;83,2859;82,29;81,6091;80,1724;79,277;78,788;77,1490;76,2724;75,848;74,1613;73,164;72,3892;71,912;70,3762;69,7058;68,4877;67,6141;66,4567;65,5557;64,5823;63,2940;62,5954;61,1276;60,4348;59,2349;58,3135;57,269;56,3717;55,5515;54,4425;53,629;52,63;51,5889;50,1013;49,3535;48,2703;47,4615;46,1562;45,6112;44,4270;43,1645;42,1752;41,4265;40,2880;39,2080;38,439;37,3317;36,2970;35,5050;34,5939;33,2458;32,1240;31,2596;30,4137;29,2151;28,1607;27,4994;26,4404;25,4087;24,423;23,4620;22,6250;21,1666;20,1194;19,5388;18,1236;17,250;16,810;15,458;14,1057;13,1255;12,1639;11,2575;10,5031;9,955;8,3984;7,2514;6,2464;5,1750;4,3716;3,2649;2,4358;1
20,3164;4071;1428;3244;4765;1672;4653;1161;4083;431;1636;4581;2505;3876;4890;1484;1614;5099;5050;4597;2584;1710;6694;2117;4278;5872;3908;3353;2602;4323;3031;6938;3567;5529;1734;4970;5185;1555;2313;942;5770;1235;5383;6608;5996;4554;2539;5600;3278;2137;6475;5657;3589;2451;2816;458;2556;3597;381;5073;5077;4980;1968;4514;2595;3485,daytime:afternoon,2652;100,2124;99,4782;98,3770;97,891;96,6104;95,353;94,3929;93,3975;92,1790;91,2755;90,624;89,545;88,4013;87,1936;86,1955;85,4196;84,3615;83,1935;82,3069;81,2859;80,29;79,6091;78,1724;77,1911;76,277;75,1490;74,2724;73,848;72,1613;71,164;70,3892;69,912;68,1879;67,3762;66,7058;65,4418;64,4877;63,6141;62,4740;61,2940;60,5954;59,1276;58,4348;57,2094;56,975;55,3135;54,269;53,5515;52,5889;51,1013;50,3535;49,2703;48,4615;47,1562;46,4098;45,6112;44,4270;43,2854;42,1645;41,1752;40,4265;39,2880;38,2080;37,2604;36,1131;35,439;34,2970;33,5050;32,5939;31,1275;30,2458;29,1240;28,3588;27,1463;26,2151;25,2473;24,1607;23,97;22,4994;21,4404;20,4087;19,423;18,4620;17,1666;16,1194;15,5388;14,1236;13,250;12,1305;11,458;10,1057;9,1255;8,1639;7,2575;6,5031;5,955;4,3984;3,2514;2,1750;1
323,774;6350;3719;4142;4633;6314;2662;1725;2511;194;736;4264;4201;508;1618;1045;3143;3875;2505;1057;595;1022;1364;2672;5670;1417;6111;2817;3069;5451;682;1055;1778;4120;27;4107;6865;3709;824;2613;6561;353,daytime:morning,270;100,95;99,725;98,456;97,1240;96,60;95,51;94,353;93,6141;92,141;91,785;90,1550;89,222;88,1883;87,1622;86,232;85,4404;84,333;83,1057;82,1765;81,86;80,1275;79,681;78,8;77,5757;76,269;75,3191;74,54;73,1131;72,399;71,4418;70,500;69,277;68,2811;67,6067;66,4444;65,4050;64,457;63,291;62,56;61,2336;60,3;59,189;58,7;57,6867;56,4740;55,2103;54,27;53,1879;52,960;51,424;50,893;49,545;48,432;47,339;46,267;45,6036;44,383;43,1645;42,1936;41,1023;40,905;39,5517;38,2082;37,406;36,6838;35,2424;34,955;33,2023;32,742;31,386;30,604;29,97;28,98;27,4299;26,6885;25,1562;24,1748;23,439;22,624;21,2926;20,1148;19,7140;18,771;17,942;16,2205;15,5295;14,2164;13,516;12,1276;11,679;10,2373;9,2384;8,3321;7,5502;6,518;5,2662;4,2596;3,2143;2,1417;1
323,5070;4245;2823;5592;6670;1550;6112;6566;2375;6141;1214;7069;3664;3102;5055;4369;3487;2692;2000;227;788;3277;1188;5273;3043;2605;920;4044;491;973;646;3404,daytime:evening,270;100,95;99,456;98,1240;97,51;96,353;95,6141;94,141;93,785;92,1550;91,1883;90,1622;89,232;88,4404;87,333;86,1057;85,1765;84,366;83,250;82,1275;81,681;80,8;79,5757;78,269;77,3191;76,54;75,399;74,4418;73,603;72,974;71,500;70,277;69,2811;68,1789;67,6067;66,4444;65,2501;64,4050;63,457;62,291;61,56;60,2336;59,3;58,189;57,5100;56,7;55,6867;54,4740;53,2103;52,27;51,1879;50,960;49,173;48,893;47,545;46,432;45,284;44,267;43,6036;42,383;41,1645;40,905;39,5517;38,2082;37,406;36,2693;35,241;34,6838;33,2424;32,955;31,2023;30,742;29,386;28,97;27,1514;26,98;25,4299;24,6885;23,1562;22,1748;21,439;20,624;19,2926;18,1148;17,7140;16,771;15,5295;14,84;13,2880;12,2164;11,516;10,1276;9,679;8,2373;7,2384;6,3321;5,5502;4,518;3,2662;2,2596;1
323,3073;956;340;3000;3253;3526;1750;2603;4703;5105;1607;3587;1655;2870;2;1255;2053;2348;3854;4607;4775;618;4050;3721;785;4571;614;5602;3183;677;447;3344;2513;588;3935;237;742;2714,daytime:night,95;100,725;99,456;98,60;97,51;96,353;95,6141;94,141;93,785;92,1550;91,222;90,1883;89,1622;88,4404;87,333;86,1057;85,1765;84,366;83,250;82,86;81,1275;80,681;79,5757;78,269;77,1131;76,399;75,4418;74,603;73,974;72,500;71,2811;70,1789;69,6067;68,4444;67,2501;66,4050;65,457;64,291;63,56;62,2336;61,189;60,5100;59,7;58,6867;57,4740;56,2103;55,27;54,1879;53,960;52,424;51,173;50,893;49,545;48,339;47,284;46,267;45,6036;44,383;43,1645;42,1936;41,1023;40,905;39,5517;38,2082;37,406;36,2693;35,241;34,6838;33,2424;32,955;31,2023;30,742;29,386;28,604;27,97;26,1514;25,98;24,4299;23,6885;22,1562;21,1748;20,439;19,624;18,2926;17,1148;16,7140;15,771;14,942;13,2205;12,5295;11,84;10,2880;9,516;8,679;7,2373;6,2384;5,3321;4,5502;3,518;2,2662;1
