200
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200
52,2610;6705;1877;844;4784;6814;3091;4155;4560,daytime:evening,1006;200,3484;199,1131;198,1225;197,281;196,5004;195,4072;194,4474;193,6134;192,3346;191,1450;190,2649;189,2678;188,4679;187,2694;186,3433;185,2591;184,5973;183,4143;182,83;181,432;180,4636;179,2063;178,1025;177,368;176,14;175,2897;174,2708;173,4500;172,4928;171,1095;170,168;169,3488;168,1512;167,6041;166,222;165,5694;164,4282;163,1151;162,2166;161,5343;160,2595;159,4382;158,100;157,2003;156,95;155,4364;154,1497;153,136;152,2655;151,3333;150,4323;149,69;148,267;147,344;146,932;145,591;144,1665;143,3575;142,2031;141,6241;140,2832;139,4965;138,940;137,4919;136,6352;135,4903;134,4739;133,1614;132,2840;131,854;130,5971;129,3444;128,51;127,6704;126,144;125,6158;124,3245;123,2078;122,2630;121,6166;120,290;119,429;118,4977;117,181;116,3166;115,897;114,6779;113,395;112,3000;111,5517;110,2385;109,4467;108,4091;107,2148;106,663;105,2937;104,5295;103,798;102,3396;101,4766;100,1407;99,54;98,4165;97,3532;96,3190;95,1849;94,1320;93,3510;92,679;91,1196;90,6059;89,610;88,457;87,1365;86,300;85,5596;84,3169;83,2073;82,2843;81,1138;80,6104;79,2110;78,4843;77,112;76,320;75,2151;74,1363;73,6195;72,861;71,512;70,1993;69,1368;68,1960;67,1294;66,6314;65,5759;64,2859;63,343;62,4875;61,6209;60,2074;59,2584;58,1617;57,2640;56,1269;55,2222;54,849;53,2296;52,2873;51,3277;50,1030;49,1752;48,1417;47,5232;46,5192;45,5572;44,1961;43,3005;42,3407;41,5148;40,184;39,3341;38,3505;37,813;36,912;35,1012;34,496;33,4551;32,3238;31,1877;30,6404;29,1753;28,5058;27,2703;26,5688;25,3804;24,384;23,3719;22,5078;21,6506;20,2602;19,4675;18,5599;17,2136;16,3542;15,3539;14,5358;13,3959;12,3664;11,3347;10,5725;9,453;8,1996;7,1231;6,1136;5,1522;4,1634;3,3647;2,1498;1
52,3704;3577;5554;1377;1972;2651;5591;4807;355;368;3767;4882,daytime:afternoon,1006;200,3484;199,1131;198,1225;197,281;196,75;195,4072;194,4474;193,6134;192,3346;191,1450;190,2649;189,4679;188,2694;187,3433;186,2591;185,5973;184,4143;183,83;182,432;181,4636;180,1025;179,368;178,14;177,2897;176,2708;175,2372;174,4500;173,420;172,4928;171,1095;170,3239;169,168;168,3488;167,1512;166,6041;165,222;164,4282;163,1151;162,2166;161,5343;160,2595;159,2505;158,4382;157,100;156,2003;155,95;154,4364;153,1497;152,136;151,3333;150,69;149,267;148,344;147,932;146,591;145,1665;144,3575;143,2430;142,2031;141,6241;140,2832;139,4965;138,940;137,4919;136,6352;135,4903;134,4739;133,1614;132,2840;131,854;130,5971;129,3444;128,51;127,6704;126,144;125,6158;124,3245;123,2078;122,2630;121,1139;120,6166;119,290;118,429;117,4977;116,181;115,3166;114,897;113,6779;112,395;111,3000;110,5517;109,2385;108,4091;107,2148;106,663;105,2937;104,5295;103,798;102,3396;101,4766;100,1407;99,54;98,5032;97,4165;96,3532;95,3190;94,1849;93,1320;92,2915;91,3510;90,679;89,1196;88,6059;87,610;86,457;85,1365;84,5584;83,300;82,5596;81,3169;80,2073;79,2843;78,1138;77,6104;76,2110;75,4843;74,4970;73,112;72,320;71,2151;70,1363;69,999;68,861;67,512;66,1993;65,348;64,1368;63,1960;62,1294;61,6314;60,5759;59,2859;58,343;57,4875;56,6209;55,2074;54,2584;53,1617;52,2640;51,1269;50,2222;49,849;48,2296;47,2873;46,3277;45,1030;44,1752;43,1417;42,5232;41,5192;40,5572;39,1961;38,3005;37,3407;36,5148;35,184;34,3341;33,5466;32,813;31,912;30,1012;29,496;28,4551;27,3238;26,1877;25,6404;24,1753;23,5058;22,2703;21,5688;20,3804;19,384;18,3719;17,5078;16,6506;15,3785;14,2602;13,4675;12,5599;11,2136;10,3542;9,3539;8,5358;7,399;6,3959;5,3664;4,3347;3,5725;2,453;1
20,1025;4699;3448;3853;3761;5623;1562;5942;2385;5471;4629;1935;2176;5107;4196;3958;6573;1976;3187;5545;5793;265;380;2150;4010;5682;353;959;236;4481;1329;3953;4341;5785;399;5382;2610;3774;4034;1718;3961;29;2537;2767;253;2884;4715;4654;872;4685;2622;3928;4615;2430;4917;1665;199;3679,daytime:morning,95;200,2372;199,51;198,1131;197,4091;196,2946;195,3770;194,6134;193,14;192,3763;191,621;190,420;189,1725;188,1917;187,1181;186,1148;185,4469;184,974;183,1037;182,4499;181,1038;180,457;179,27;178,368;177,950;176,3438;175,708;174,2204;173,6202;172,3695;171,679;170,1614;169,3579;168,1607;167,4632;166,3613;165,2894;164,5973;163,563;162,1030;161,1708;160,280;159,2338;158,274;157,1550;156,5457;155,3353;154,3370;153,227;152,3488;151,4087;150,458;149,1914;148,284;147,1645;146,1666;145,5521;144,757;143,3643;142,5520;141,4444;140,787;139,5586;138,7;137,603;136,3017;135,2444;134,3807;133,5946;132,2873;131,104;130,3095;129,3588;128,263;127,1874;126,1919;125,2735;124,2630;123,439;122,4364;121,1205;120,2007;119,333;118,353;117,190;116,270;115,942;114,2388;113,2703;112,380;111,3433;110,5060;109,821;108,1157;107,3165;106,4548;105,2708;104,3405;103,1250;102,1650;101,209;100,4567;99,4052;98,4965;97,1790;96,3587;95,164;94,2003;93,241;92,3136;91,1365;90,1012;89,859;88,1683;87,3717;86,6127;85,189;84,4338;83,399;82,1139;81,5584;80,1531;79,891;78,222;77,4050;76,4339;75,100;74,5489;73,7143;72,134;71,6379;70,1589;69,5019;68,406;67,3975;66,141;65,3990;64,349;63,4675;62,6157;61,6250;60,5977;59,670;58,4474;57,5271;56,2986;55,3917;54,145;53,2993;52,5874;51,3543;50,1499;49,2848;48,5499;47,87;46,3719;45,3851;44,2268;43,2336;42,923;41,169;40,456;39,2430;38,3097;37,763;36,5054;35,2631;34,6995;33,3636;32,2940;31,2640;30,3255;29,6091;28,2347;27,75;26,2622;25,585;24,2511;23,2860;22,1235;21,6021;20,5337;19,3521;18,2116;17,6368;16,4376;15,6269;14,4531;13,1086;12,2047;11,6541;10,2471;9,2143;8,3294;7,5335;6,2395;5,232;4,2401;3,1535;2,1136;1
20,817;545;1744;5999;2220;2375;1332;4839;5993;1337;4611;3639;4128;5135;580;1205;6771;3466;2248;1788;2713;3701;97;1783;2021;3924;2088;5447;6387;4122;3218;3445;3202;378;3283;3137;3505;4013;5949;4553;4230;5936;4802;3620;3185;3886;4837;1676;5607;1346;3588;1008;1578;1131;4961;3796;2913;2343,daytime:evening,2372;200,1131;199,4091;198,2946;197,2649;196,6134;195,3763;194,621;193,420;192,1917;191,1181;190,1148;189,4469;188,974;187,1037;186,4499;185,1038;184,457;183,604;182,368;181,950;180,3438;179,708;178,2204;177,1425;176,6202;175,679;174,1614;173,250;172,3579;171,1607;170,3613;169,563;168,1708;167,280;166,2338;165,274;164,1550;163,5457;162,3118;161,3353;160,3370;159,227;158,3601;157,4087;156,458;155,1914;154,284;153,1645;152,1666;151,5521;150,757;149,3643;148,5520;147,4444;146,787;145,5586;144,7;143,603;142,3017;141,2444;140,3807;139,2148;138,5946;137,2873;136,104;135,3095;134,3588;133,263;132,1874;131,1831;130,1919;129,2735;128,439;127,4364;126,1205;125,2007;124,333;123,353;122,190;121,270;120,942;119,2388;118,2703;117,380;116,3433;115,5060;114,821;113,1157;112,3165;111,4548;110,860;109,2708;108,112;107,3405;106,1250;105,1650;104,209;103,4567;102,4052;101,4965;100,1790;99,3587;98,164;97,3415;96,2003;95,241;94,3136;93,1365;92,1012;91,859;90,1683;89,3717;88,6127;87,189;86,4338;85,399;84,1139;83,5584;82,1531;81,891;80,4050;79,4339;78,100;77,5489;76,293;75,7143;74,134;73,6379;72,1589;71,5019;70,3975;69,141;68,349;67,4675;66,6157;65,6250;64,86;63,670;62,4474;61,5271;60,2986;59,3917;58,524;57,145;56,2993;55,5874;54,3543;53,1499;52,2848;51,5499;50,87;49,1983;48,3851;47,2268;46,923;45,169;44,456;43,2430;42,3097;41,763;40,5054;39,2631;38,6995;37,3636;36,2940;35,2640;34,6091;33,2347;32,75;31,2622;30,585;29,2511;28,2860;27,1235;26,946;25,6021;24,3839;23,5337;22,3521;21,2116;20,6368;19,4376;18,6269;17,4531;16,1086;15,2047;14,681;13,754;12,6541;11,2471;10,3294;9,5335;8,232;7,2401;6,1535;5,1136;4,3293;3,5096;2,3575;1
20,5148;535;5912;5676;1569;1458;1607;6757;658;1148;3775;449;3716;820;6160;5671;564;1462;3357;6239;793;4380;3350;6503;4751;4496;2217;1490;6127,daytime:night,95;200,2372;199,51;198,1131;197,4091;196,2946;195,2649;194,3770;193,6134;192,14;191,3763;190,621;189,1725;188,1917;187,1181;186,1148;185,4469;184,974;183,1037;182,4499;181,1038;180,457;179,27;178,604;177,368;176,950;175,3438;174,708;173,2204;172,1425;171,6202;170,3695;169,1614;168,250;167,3579;166,1607;165,4632;164,3613;163,2894;162,5973;161,563;160,1030;159,1708;158,280;157,274;156,1550;155,5457;154,3118;153,3353;152,3370;151,227;150,3488;149,3601;148,4087;147,458;146,1914;145,284;144,1645;143,1666;142,5521;141,757;140,3643;139,5520;138,4444;137,787;136,5586;135,7;134,603;133,3017;132,2444;131,3807;130,2148;129,5946;128,2873;127,104;126,3095;125,3588;124,263;123,1874;122,1831;121,1919;120,2735;119,2630;118,439;117,4364;116,1205;115,2007;114,333;113,353;112,190;111,942;110,2388;109,2703;108,380;107,3433;106,5060;105,821;104,1157;103,3165;102,4548;101,860;100,2708;99,112;98,3405;97,1250;96,1650;95,209;94,4567;93,4052;92,4965;91,1790;90,3587;89,164;88,3415;87,2003;86,241;85,3136;84,1365;83,1012;82,859;81,1683;80,3717;79,6127;78,189;77,4338;76,399;75,1139;74,5584;73,1531;72,891;71,222;70,4050;69,4339;68,100;67,5489;66,293;65,7143;64,134;63,6379;62,1589;61,5019;60,406;59,141;58,3990;57,349;56,4675;55,6157;54,6250;53,5977;52,86;51,670;50,4474;49,5271;48,2986;47,3917;46,524;45,145;44,5874;43,3543;42,1499;41,2848;40,5499;39,87;38,1983;37,3719;36,3851;35,2268;34,2336;33,923;32,169;31,456;30,2430;29,3097;28,763;27,5054;26,2631;25,6995;24,3636;23,2940;22,2640;21,3255;20,6091;19,2347;18,75;17,2622;16,585;15,2511;14,1235;13,946;12,6021;11,3839;10,5337;9,3521;8,2116;7,6368;6,4376;5,6269;4,4531;3,1086;2,2047;1
20,1250;4978;4204;2007;255;2790;833;368;440;3800;3517;3536;1246;1044;936;4600;3988;5589;2273;3782;692;2517;3162;5541;1004;3317;5094;4291;5100;3717;5132;4076;1128;5028;6630;3469;4361;3010;4411;62;3872;3648;3787;1961;2785;4881;5258;2603;676;2832;2759;652;47;2384;69;350;4102;2845;4824;3651;3388;5206;5020;3525;2173;720;4586;4513;5694;1539;3129,daytime:afternoon,95;200,2372;199,51;198,1131;197,4091;196,2946;195,2649;194,3770;193,6134;192,14;191,3763;190,621;189,420;188,1725;187,1181;186,1148;185,1037;184,4499;183,1038;182,457;181,27;180,604;179,368;178,950;177,3438;176,708;175,2204;174,1425;173,6202;172,3695;171,679;170,250;169,1607;168,4632;167,3613;166,2894;165,5973;164,563;163,1030;162,1708;161,280;160,2338;159,274;158,3118;157,3370;156,227;155,3488;154,3601;153,4087;152,1914;151,284;150,1645;149,1666;148,5521;147,757;146,5520;145,4444;144,787;143,5586;142,7;141,603;140,3017;139,2444;138,3807;137,2148;136,5946;135,2873;134,104;133,3095;132,3588;131,263;130,1874;129,1831;128,1919;127,2735;126,2630;125,439;124,4364;123,1205;122,2007;121,333;120,353;119,190;118,270;117,2388;116,2703;115,380;114,3433;113,5060;112,1157;111,4548;110,860;109,112;108,1250;107,1650;106,209;105,4052;104,4965;103,1790;102,3587;101,164;100,3415;99,2003;98,3136;97,1365;96,859;95,1683;94,3717;93,6127;92,189;91,4338;90,399;89,1139;88,5584;87,1531;86,891;85,222;84,4050;83,4339;82,5489;81,293;80,7143;79,134;78,6379;77,1589;76,5019;75,406;74,3975;73,141;72,3990;71,349;70,4675;69,6157;68,5977;67,86;66,670;65,4474;64,5271;63,2986;62,3917;61,524;60,145;59,2993;58,5874;57,3543;56,1499;55,2848;54,5499;53,87;52,1983;51,3719;50,3851;49,2268;48,2336;47,923;46,169;45,2430;44,3097;43,763;42,5054;41,2631;40,6995;39,3636;38,2940;37,2640;36,3255;35,6091;34,2347;33,75;32,2622;31,585;30,2511;29,2860;28,946;27,6021;26,3839;25,5337;24,3521;23,2116;22,6368;21,4376;20,6269;19,4531;18,1086;17,2047;16,681;15,754;14,6541;13,2471;12,2143;11,3294;10,5335;9,2395;8,232;7,2401;6,1535;5,1136;4,3293;3,5096;2,3575;1
323,102;6999;3127;2885;7102;4631;1305;377;1621;107;4017;178;5144;4841;4407;385;2660;5379;1801;1982;4090;2327;5987;3296;3607;5100;6223;993;3666;1515;4068;1465;5262,daytime:morning,420;200,6141;199,270;198,2160;197,2347;196,604;195,95;194,222;193,8;192,181;191,140;190,2078;189,2784;188,386;187,1550;186,184;185,1131;184,545;183,646;182,1276;181,942;180,2740;179,291;178,71;177,1164;176,10;175,104;174,232;173,432;172,2430;171,269;170,708;169,51;168,189;167,2053;166,3;165,60;164,1023;163,518;162,516;161,7;160,1666;159,2512;158,1977;157,1948;156,1622;155,6675;154,207;153,1254;152,6067;151,1796;150,4675;149,4740;148,3701;147,407;146,993;145,2495;144,86;143,3196;142,2444;141,5013;140,439;139,2031;138,849;137,339;136,2164;135,209;134,141;133,3601;132,785;131,3717;130,3681;129,48;128,399;127,1170;126,361;125,406;124,1914;123,6112;122,500;121,3620;120,105;119,370;118,725;117,263;116,256;115,2946;114,168;113,333;112,1477;111,368;110,169;109,960;108,54;107,956;106,303;105,4115;104,742;103,1694;102,148;101,63;100,1883;99,3653;98,788;97,1484;96,1226;95,2605;94,4451;93,450;92,3521;91,905;90,524;89,2703;88,2047;87,2470;86,1014;85,808;84,1385;83,6091;82,240;81,1645;80,679;79,1194;78,4809;77,663;76,1135;75,277;74,5127;73,6131;72,2588;71,1960;70,713;69,585;68,3975;67,144;66,6801;65,3718;64,2003;63,1319;62,2338;61,2023;60,1790;59,30;58,569;57,3799;56,5079;55,5757;54,641;53,1657;52,441;51,3123;50,3359;49,1508;48,85;47,1749;46,2221;45,227;44,1363;43,6036;42,891;41,4548;40,6805;39,6127;38,7013;37,520;36,798;35,1365;34,2630;33,467;32,3320;31,1231;30,1936;29,923;28,811;27,830;26,629;25,3526;24,797;23,1919;22,5533;21,563;20,2894;19,2940;18,1181;17,3874;16,239;15,2093;14,7143;13,4465;12,2496;11,423;10,2401;9,2253;8,1421;7,703;6,1165;5,456;4,458;3,2814;2,1180;1
323,2508;719;1023;7261;533;1167;3625;424;6109;2267;1281;4190;2296;2947;749;448;1205;4920;6495;427;2888;2580;5665;1121;1321;725;5084;1183,daytime:evening,420;200,270;199,974;198,2160;197,353;196,2347;195,95;194,8;193,173;192,181;191,140;190,2078;189,2784;188,3069;187,386;186,184;185,545;184,1276;183,2740;182,291;181,71;180,1164;179,10;178,104;177,232;176,432;175,2430;174,269;173,708;172,51;171,284;170,280;169,189;168,2053;167,3;166,1023;165,518;164,516;163,7;162,1666;161,2512;160,1977;159,1948;158,1622;157,207;156,1254;155,6067;154,1796;153,4675;152,1417;151,4740;150,3701;149,2355;148,993;147,2495;146,3196;145,2444;144,5013;143,439;142,2031;141,849;140,2164;139,209;138,141;137,785;136,3717;135,3681;134,48;133,399;132,27;131,666;130,1170;129,361;128,406;127,1914;126,1725;125,500;124,3620;123,105;122,370;121,725;120,263;119,256;118,2946;117,168;116,333;115,1477;114,1789;113,368;112,657;111,169;110,960;109,54;108,956;107,303;106,4115;105,742;104,1694;103,148;102,63;101,1883;100,3653;99,1086;98,1484;97,1226;96,4451;95,3521;94,905;93,524;92,2703;91,2047;90,2470;89,1014;88,808;87,1385;86,6091;85,240;84,1645;83,679;82,1194;81,4809;80,663;79,2511;78,250;77,1135;76,277;75,5127;74,6131;73,2588;72,1960;71,1196;70,713;69,585;68,1854;67,3975;66,144;65,6801;64,3718;63,2003;62,1319;61,3553;60,2338;59,2023;58,1790;57,30;56,569;55,3799;54,366;53,5079;52,5757;51,641;50,1657;49,441;48,1563;47,3123;46,3359;45,2880;44,1508;43,85;42,1749;41,3588;40,2221;39,3238;38,1363;37,6036;36,891;35,4548;34,6805;33,6127;32,7013;31,520;30,798;29,1365;28,2630;27,467;26,3320;25,923;24,811;23,830;22,3415;21,3526;20,1919;19,5533;18,563;17,2790;16,2894;15,2940;14,1181;13,3874;12,239;11,2093;10,7143;9,4465;8,2496;7,423;6,2401;5,2253;4,2848;3,3719;2,1421;1
323,1279;1302;6404;5874;245;6259;3135;5806;1898;118;4695;2241;701;6911;2291;4889;766;370;2550;1704;5777;7053;3788;1400;25;3496;6367;5194;54;5572;2378;6013;2645;3408;4082;67;3149;501;1319;153;1154,daytime:night,420;200,6141;199,974;198,2160;197,353;196,2347;195,604;194,95;193,222;192,173;191,181;190,140;189,2078;188,2784;187,3069;186,386;185,1550;184,184;183,1131;182,545;181,646;180,942;179,2740;178,291;177,71;176,1164;175,10;174,104;173,2430;172,269;171,708;170,51;169,284;168,280;167,189;166,60;165,1023;164,518;163,516;162,7;161,1666;160,2512;159,1977;158,1948;157,1622;156,6675;155,1254;154,6067;153,1796;152,4675;151,1417;150,4740;149,3701;148,407;147,2355;146,993;145,2495;144,86;143,3196;142,2444;141,5013;140,439;139,849;138,339;137,209;136,141;135,3601;134,3717;133,3681;132,48;131,399;130,27;129,666;128,1170;127,361;126,406;125,1914;124,1725;123,6112;122,500;121,3620;120,105;119,370;118,725;117,256;116,2946;115,168;114,333;113,1477;112,1789;111,657;110,960;109,54;108,303;107,4115;106,1694;105,148;104,63;103,1883;102,3653;101,1086;100,788;99,1484;98,1226;97,2605;96,4451;95,450;94,3521;93,905;92,524;91,2703;90,2047;89,2470;88,808;87,1385;86,6091;85,240;84,1645;83,679;82,4809;81,663;80,2511;79,250;78,1135;77,5127;76,6131;75,2588;74,1960;73,1196;72,713;71,585;70,1854;69,3975;68,144;67,6801;66,3718;65,2003;64,1319;63,3553;62,2338;61,2023;60,1790;59,30;58,3799;57,366;56,5079;55,5757;54,641;53,1657;52,441;51,1563;50,3123;49,3359;48,2880;47,1508;46,85;45,3588;44,2221;43,227;42,3238;41,1363;40,6036;39,891;38,4548;37,6805;36,6127;35,7013;34,520;33,798;32,1365;31,2630;30,467;29,3320;28,1231;27,1936;26,923;25,811;24,830;23,629;22,3415;21,797;20,5533;19,563;18,2790;17,2894;16,2940;15,1181;14,3874;13,239;12,2093;11,7143;10,4465;9,2496;8,2401;7,2253;6,2848;5,3719;4,1421;3,703;2,1165;1
323,3839;131;3872;2649;930;406;912;3359;4469;1164;516;5639;2650;4776;559;144;285;4365;3451;2740;3799;5463;2023;290;1685,daytime:afternoon,420;200,6141;199,270;198,974;197,353;196,604;195,95;194,222;193,8;192,173;191,181;190,140;189,2078;188,2784;187,3069;186,386;185,1550;184,1131;183,545;182,646;181,1276;180,942;179,2740;178,71;177,1164;176,10;175,104;174,232;173,432;172,2430;171,269;170,708;169,51;168,284;167,280;166,189;165,2053;164,3;163,60;162,1023;161,518;160,516;159,7;158,1666;157,2512;156,1977;155,1948;154,6675;153,207;152,1254;151,6067;150,1796;149,4675;148,1417;147,4740;146,3701;145,407;144,2355;143,993;142,2495;141,86;140,3196;139,2444;138,5013;137,2031;136,849;135,339;134,2164;133,209;132,141;131,3601;130,785;129,3717;128,3681;127,48;126,399;125,27;124,666;123,1170;122,361;121,406;120,1914;119,1725;118,6112;117,105;116,370;115,725;114,263;113,256;112,2946;111,168;110,1477;109,1789;108,368;107,657;106,169;105,54;104,956;103,303;102,4115;101,742;100,1694;99,148;98,63;97,1883;96,3653;95,1086;94,788;93,1484;92,2605;91,4451;90,450;89,3521;88,2703;87,2047;86,2470;85,1014;84,808;83,6091;82,1645;81,1194;80,4809;79,663;78,2511;77,250;76,1135;75,277;74,5127;73,6131;72,2588;71,1960;70,1196;69,713;68,585;67,1854;66,3975;65,144;64,6801;63,3718;62,2003;61,1319;60,3553;59,2338;58,2023;57,1790;56,30;55,569;54,3799;53,366;52,5079;51,5757;50,641;49,1657;48,441;47,1563;46,3359;45,2880;44,1508;43,85;42,1749;41,3588;40,227;39,3238;38,1363;37,6036;36,891;35,4548;34,6805;33,6127;32,7013;31,520;30,798;29,1365;28,467;27,3320;26,1231;25,1936;24,923;23,629;22,3415;21,3526;20,797;19,1919;18,5533;17,563;16,2790;15,2894;14,2940;13,1181;12,3874;11,239;10,2093;9,7143;8,4465;7,2496;6,423;5,2401;4,2253;3,2848;2,3719;1
