0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
"(7155, 200.0, 0.43369)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43802)","(2886, 200.0, 0.48884)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43533)","(7155, 200.0, 0.43802)","(7155, 200.0, 0.43428)","(7155, 200.0, 0.43533)","(6089, 200.0, 0.38426)","(7155, 200.0, 0.43369)","(7155, 200.0, 0.43428)","(7103, 200.0, 0.39898)"
"(6089, 199.0, 0.38426)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38405)","(7122, 199.0, 0.31786)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38405)","(3098, 199.0, 0.31779)","(3098, 199.0, 0.31859)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38426)","(1795, 199.0, 0.21801)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38405)","(2886, 199.0, 0.48696)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38426)","(1795, 199.0, 0.22012)","(1795, 199.0, 0.21921)","(1795, 199.0, 0.21801)","(7155, 199.0, 0.43369)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38397)","(6089, 199.0, 0.38405)","(6089, 199.0, 0.38563)","(6089, 199.0, 0.38397)","(3098, 199.0, 0.31779)","(7122, 199.0, 0.31761)","(6089, 199.0, 0.38426)","(6089, 199.0, 0.38397)","(1201, 199.0, 0.75165)"
"(3098, 198.0, 0.31909)","(2886, 198.0, 0.48696)","(1795, 198.0, 0.21801)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31859)","(3098, 198.0, 0.31779)","(2886, 198.0, 0.48825)","(3098, 198.0, 0.31909)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31859)","(3098, 198.0, 0.31859)","(2886, 198.0, 0.48877)","(2886, 198.0, 0.48884)","(3098, 198.0, 0.31909)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31859)","(3098, 198.0, 0.31909)","(3098, 198.0, 0.31862)","(2886, 198.0, 0.48877)","(2886, 198.0, 0.48825)","(2886, 198.0, 0.48877)","(3098, 198.0, 0.31779)","(2532, 198.0, 0.20266)","(6089, 198.0, 0.38405)","(6089, 198.0, 0.38397)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31909)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31909)","(2886, 198.0, 0.48825)","(2886, 198.0, 0.48884)","(3098, 198.0, 0.31862)","(2532, 198.0, 0.20242)","(2886, 198.0, 0.48884)","(3098, 198.0, 0.31909)","(2886, 198.0, 0.48877)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31909)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31859)","(3098, 198.0, 0.31909)","(2532, 198.0, 0.20466)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31909)","(6089, 198.0, 0.38563)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31859)","(3098, 198.0, 0.31779)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31862)","(3098, 198.0, 0.31909)","(6089, 198.0, 0.38426)","(6089, 198.0, 0.38405)","(6089, 198.0, 0.38563)","(2532, 198.0, 0.20205)","(3098, 198.0, 0.31909)","(1795, 198.0, 0.22012)","(1795, 198.0, 0.21921)","(1795, 198.0, 0.21801)","(1795, 198.0, 0.22031)","(3098, 198.0, 0.31779)","(2532, 198.0, 0.20466)","(2532, 198.0, 0.20242)","(6089, 198.0, 0.38405)","(7196, 198.0, 0.32686)","(3098, 198.0, 0.31909)","(3098, 198.0, 0.31859)","(2725, 198.0, 1.11421)"
"(2886, 197.0, 0.48884)","(3098, 197.0, 0.31862)","(2532, 197.0, 0.20466)","(2886, 197.0, 0.48696)","(2886, 197.0, 0.48877)","(2886, 197.0, 0.48825)","(2532, 197.0, 0.20266)","(2886, 197.0, 0.48884)","(2886, 197.0, 0.48825)","(2886, 197.0, 0.48877)","(2886, 197.0, 0.48877)","(2532, 197.0, 0.20242)","(3098, 197.0, 0.31909)","(2532, 197.0, 0.20205)","(2532, 197.0, 0.20266)","(2532, 197.0, 0.20466)","(2532, 197.0, 0.20242)","(2886, 197.0, 0.48884)","(2886, 197.0, 0.48696)","(3098, 197.0, 0.31859)","(3098, 197.0, 0.31779)","(6089, 197.0, 0.38397)","(2886, 197.0, 0.48825)","(3098, 197.0, 0.31779)","(2886, 197.0, 0.48825)","(2886, 197.0, 0.48877)","(2886, 197.0, 0.48696)","(2886, 197.0, 0.48825)","(2886, 197.0, 0.48884)","(2886, 197.0, 0.48696)","(2886, 197.0, 0.48884)","(3098, 197.0, 0.31779)","(3098, 197.0, 0.31909)","(2886, 197.0, 0.48696)","(1795, 197.0, 0.22031)","(2532, 197.0, 0.20205)","(2886, 197.0, 0.48884)","(3098, 197.0, 0.31859)","(2532, 197.0, 0.20466)","(2532, 197.0, 0.20205)","(2532, 197.0, 0.20266)","(2532, 197.0, 0.20242)","(2886, 197.0, 0.48884)","(2886, 197.0, 0.48696)","(2886, 197.0, 0.48825)","(2886, 197.0, 0.48825)","(2886, 197.0, 0.48696)","(2886, 197.0, 0.48884)","(3098, 197.0, 0.31862)","(2886, 197.0, 0.48825)","(2886, 197.0, 0.48877)","(2886, 197.0, 0.48825)","(6089, 197.0, 0.38563)","(2886, 197.0, 0.48696)","(2886, 197.0, 0.48884)","(3098, 197.0, 0.31909)","(3098, 197.0, 0.31779)","(3098, 197.0, 0.31862)","(7122, 197.0, 0.31761)","(2886, 197.0, 0.48884)","(2532, 197.0, 0.20205)","(2532, 197.0, 0.20266)","(2532, 197.0, 0.20466)","(2532, 197.0, 0.20242)","(2886, 197.0, 0.48825)","(3098, 197.0, 0.31862)","(3098, 197.0, 0.31859)","(1781, 197.0, 0.474)","(6936, 197.0, 0.37811)","(2886, 197.0, 0.48884)","(2886, 197.0, 0.48877)","(1296, 197.0, 0.44972)"
"(2532, 196.0, 0.20205)","(2532, 196.0, 0.20466)","(3098, 196.0, 0.31862)","(2532, 196.0, 0.20466)","(2532, 196.0, 0.20242)","(2532, 196.0, 0.20266)","(3098, 196.0, 0.31779)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20266)","(2532, 196.0, 0.20242)","(2532, 196.0, 0.20242)","(3098, 196.0, 0.31859)","(2532, 196.0, 0.20205)","(2886, 196.0, 0.48884)","(2886, 196.0, 0.48825)","(2886, 196.0, 0.48696)","(2886, 196.0, 0.48877)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20466)","(2532, 196.0, 0.20242)","(2532, 196.0, 0.20266)","(1795, 196.0, 0.22031)","(2532, 196.0, 0.20266)","(2886, 196.0, 0.48825)","(2532, 196.0, 0.20266)","(2532, 196.0, 0.20242)","(2532, 196.0, 0.20466)","(2532, 196.0, 0.20266)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20466)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20266)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20466)","(2886, 196.0, 0.48877)","(3098, 196.0, 0.31909)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20242)","(1795, 196.0, 0.21801)","(2886, 196.0, 0.48884)","(2886, 196.0, 0.48825)","(2886, 196.0, 0.48877)","(2532, 196.0, 0.20205)","(3098, 196.0, 0.31862)","(2532, 196.0, 0.20266)","(2532, 196.0, 0.20266)","(2532, 196.0, 0.20466)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20466)","(2532, 196.0, 0.20266)","(2532, 196.0, 0.20242)","(2532, 196.0, 0.20266)","(7199, 196.0, 0.38787)","(2532, 196.0, 0.20466)","(2532, 196.0, 0.20205)","(2886, 196.0, 0.48884)","(2886, 196.0, 0.48825)","(2886, 196.0, 0.48696)","(3098, 196.0, 0.31909)","(2532, 196.0, 0.20205)","(2886, 196.0, 0.48884)","(2886, 196.0, 0.48825)","(2886, 196.0, 0.48696)","(2886, 196.0, 0.48877)","(2532, 196.0, 0.20266)","(2886, 196.0, 0.48696)","(2886, 196.0, 0.48877)","(2886, 196.0, 0.48825)","(2532, 196.0, 0.20205)","(2532, 196.0, 0.20205)","(1795, 196.0, 0.22031)","(5744, 196.0, 0.46178)"
"(1795, 195.0, 0.22012)","(1795, 195.0, 0.21801)","(2886, 195.0, 0.48696)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.21921)","(2532, 195.0, 0.20242)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.21921)","(1781, 195.0, 0.474)","(1781, 195.0, 0.47522)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21801)","(3098, 195.0, 0.31859)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.22031)","(2886, 195.0, 0.48696)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.22012)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.22012)","(2886, 195.0, 0.48696)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.21921)","(2532, 195.0, 0.20466)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.22012)","(2532, 195.0, 0.20205)","(2532, 195.0, 0.20266)","(2532, 195.0, 0.20466)","(6210, 195.0, 0.59836)","(1795, 195.0, 0.22012)","(3098, 195.0, 0.31909)","(3098, 195.0, 0.31779)","(3098, 195.0, 0.31862)","(3098, 195.0, 0.31859)","(1795, 195.0, 0.21921)","(1795, 195.0, 0.21801)","(1795, 195.0, 0.22031)","(1795, 195.0, 0.21921)","(7155, 195.0, 0.43369)","(1795, 195.0, 0.22012)","(2532, 195.0, 0.20242)","(6802, 195.0, 1.00694)"
"(7199, 194.0, 0.38471)","(7199, 194.0, 0.38787)","(1328, 194.0, 0.31707)","(7199, 194.0, 0.38787)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38471)","(7122, 194.0, 0.31761)","(7122, 194.0, 0.31838)","(7122, 194.0, 0.32136)","(7122, 194.0, 0.31786)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38787)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38661)","(6264, 194.0, 0.39154)","(7199, 194.0, 0.38661)","(1328, 194.0, 0.31427)","(1795, 194.0, 0.21921)","(1795, 194.0, 0.22031)","(7199, 194.0, 0.38787)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38787)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38787)","(1328, 194.0, 0.31384)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38787)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38471)","(7196, 194.0, 0.32351)","(7199, 194.0, 0.38661)","(1328, 194.0, 0.31427)","(1328, 194.0, 0.31707)","(7199, 194.0, 0.38471)","(7122, 194.0, 0.32136)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38661)","(7196, 194.0, 0.32351)","(7199, 194.0, 0.38787)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38787)","(7196, 194.0, 0.32686)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38661)","(7199, 194.0, 0.38787)","(7199, 194.0, 0.38584)","(7199, 194.0, 0.38661)","(1781, 194.0, 0.47182)","(1781, 194.0, 0.47522)","(2532, 194.0, 0.20266)","(1795, 194.0, 0.22012)","(7199, 194.0, 0.38471)","(7199, 194.0, 0.38584)","(6308, 194.0, 0.40437)"
"(1781, 193.0, 0.47564)","(7196, 193.0, 0.32351)","(7199, 193.0, 0.38787)","(7196, 193.0, 0.32351)","(7196, 193.0, 0.32705)","(1781, 193.0, 0.474)","(7196, 193.0, 0.32619)","(1781, 193.0, 0.47564)","(1781, 193.0, 0.474)","(1781, 193.0, 0.47522)","(1781, 193.0, 0.47522)","(7196, 193.0, 0.32705)","(7196, 193.0, 0.32686)","(7196, 193.0, 0.32686)","(7196, 193.0, 0.32619)","(7196, 193.0, 0.32351)","(7196, 193.0, 0.32705)","(1781, 193.0, 0.47564)","(1781, 193.0, 0.47182)","(7196, 193.0, 0.32705)","(1328, 193.0, 0.31427)","(6210, 193.0, 0.59757)","(7196, 193.0, 0.32619)","(7199, 193.0, 0.38661)","(7196, 193.0, 0.32619)","(7196, 193.0, 0.32705)","(7196, 193.0, 0.32351)","(7196, 193.0, 0.32619)","(7196, 193.0, 0.32686)","(7196, 193.0, 0.32351)","(1781, 193.0, 0.47564)","(7196, 193.0, 0.32619)","(1781, 193.0, 0.47564)","(7196, 193.0, 0.32351)","(7122, 193.0, 0.31786)","(7196, 193.0, 0.32686)","(1781, 193.0, 0.47564)","(1781, 193.0, 0.47522)","(7196, 193.0, 0.32351)","(7196, 193.0, 0.32686)","(7196, 193.0, 0.32619)","(7196, 193.0, 0.32705)","(7196, 193.0, 0.32686)","(7199, 193.0, 0.38787)","(1781, 193.0, 0.474)","(7199, 193.0, 0.38661)","(7199, 193.0, 0.38787)","(7196, 193.0, 0.32686)","(7199, 193.0, 0.38787)","(7196, 193.0, 0.32619)","(7196, 193.0, 0.32705)","(1781, 193.0, 0.474)","(1795, 193.0, 0.21801)","(1781, 193.0, 0.47182)","(1781, 193.0, 0.47564)","(1328, 193.0, 0.31347)","(1328, 193.0, 0.31427)","(1328, 193.0, 0.31707)","(6089, 193.0, 0.38426)","(7196, 193.0, 0.32686)","(7196, 193.0, 0.32686)","(7196, 193.0, 0.32619)","(7196, 193.0, 0.32351)","(7196, 193.0, 0.32705)","(1781, 193.0, 0.474)","(7122, 193.0, 0.32136)","(7122, 193.0, 0.31786)","(7199, 193.0, 0.38661)","(2886, 193.0, 0.48884)","(7196, 193.0, 0.32686)","(1781, 193.0, 0.47522)","(5311, 193.0, 0.33175)"
"(7122, 192.0, 0.31761)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.47522)","(7196, 192.0, 0.32619)","(7122, 192.0, 0.31838)","(7196, 192.0, 0.32686)","(7196, 192.0, 0.32619)","(7196, 192.0, 0.32705)","(7196, 192.0, 0.32705)","(1781, 192.0, 0.47522)","(1781, 192.0, 0.47564)","(1781, 192.0, 0.47564)","(1781, 192.0, 0.474)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.47522)","(1328, 192.0, 0.31347)","(1328, 192.0, 0.31707)","(1328, 192.0, 0.31384)","(7196, 192.0, 0.32619)","(7199, 192.0, 0.38584)","(1781, 192.0, 0.474)","(1781, 192.0, 0.474)","(7199, 192.0, 0.38661)","(7199, 192.0, 0.38584)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.474)","(1781, 192.0, 0.47564)","(1781, 192.0, 0.47182)","(7196, 192.0, 0.32686)","(1781, 192.0, 0.474)","(7122, 192.0, 0.31761)","(1781, 192.0, 0.47182)","(7196, 192.0, 0.32705)","(1328, 192.0, 0.31347)","(7196, 192.0, 0.32686)","(7196, 192.0, 0.32705)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.47564)","(1781, 192.0, 0.474)","(1781, 192.0, 0.47522)","(1781, 192.0, 0.47564)","(1328, 192.0, 0.31707)","(7196, 192.0, 0.32619)","(1781, 192.0, 0.474)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.47564)","(1781, 192.0, 0.47182)","(1781, 192.0, 0.474)","(1781, 192.0, 0.47522)","(7196, 192.0, 0.32619)","(6210, 192.0, 0.59271)","(7196, 192.0, 0.32351)","(7196, 192.0, 0.32686)","(1781, 192.0, 0.47564)","(1781, 192.0, 0.474)","(1781, 192.0, 0.47182)","(6264, 192.0, 0.39252)","(1781, 192.0, 0.47564)","(1328, 192.0, 0.31347)","(1328, 192.0, 0.31427)","(1328, 192.0, 0.31707)","(1328, 192.0, 0.31384)","(7122, 192.0, 0.31838)","(7196, 192.0, 0.32351)","(7196, 192.0, 0.32705)","(1651, 192.0, 0.99868)","(3563, 192.0, 0.62863)","(1781, 192.0, 0.47564)","(7122, 192.0, 0.31786)","(1888, 192.0, 0.37296)"
"(7196, 191.0, 0.32686)","(1328, 191.0, 0.31707)","(7196, 191.0, 0.32351)","(1328, 191.0, 0.31707)","(1328, 191.0, 0.31384)","(7122, 191.0, 0.31838)","(1781, 191.0, 0.474)","(1328, 191.0, 0.31347)","(1328, 191.0, 0.31427)","(1328, 191.0, 0.31384)","(1328, 191.0, 0.31384)","(1328, 191.0, 0.31384)","(1328, 191.0, 0.31347)","(7199, 191.0, 0.38471)","(7199, 191.0, 0.38661)","(7199, 191.0, 0.38787)","(7199, 191.0, 0.38584)","(7122, 191.0, 0.31761)","(7122, 191.0, 0.32136)","(1781, 191.0, 0.47522)","(1781, 191.0, 0.474)","(4428, 191.0, 1.12609)","(1328, 191.0, 0.31427)","(7196, 191.0, 0.32619)","(1328, 191.0, 0.31427)","(1328, 191.0, 0.31384)","(1328, 191.0, 0.31707)","(1328, 191.0, 0.31427)","(1328, 191.0, 0.31347)","(7122, 191.0, 0.32136)","(1328, 191.0, 0.31347)","(1328, 191.0, 0.31427)","(7196, 191.0, 0.32686)","(1328, 191.0, 0.31707)","(7199, 191.0, 0.38584)","(1781, 191.0, 0.47564)","(1328, 191.0, 0.31347)","(1328, 191.0, 0.31384)","(7122, 191.0, 0.32136)","(7122, 191.0, 0.31761)","(7122, 191.0, 0.31838)","(7122, 191.0, 0.31786)","(1328, 191.0, 0.31347)","(1781, 191.0, 0.47182)","(1328, 191.0, 0.31427)","(7196, 191.0, 0.32619)","(7196, 191.0, 0.32351)","(1328, 191.0, 0.31347)","(1328, 191.0, 0.31707)","(1328, 191.0, 0.31427)","(1328, 191.0, 0.31384)","(1328, 191.0, 0.31427)","(4428, 191.0, 1.12258)","(1328, 191.0, 0.31707)","(1328, 191.0, 0.31347)","(6210, 191.0, 0.59836)","(6210, 191.0, 0.59633)","(6210, 191.0, 0.59271)","(6808, 191.0, 0.59869)","(1328, 191.0, 0.31347)","(1781, 191.0, 0.47564)","(1781, 191.0, 0.474)","(1781, 191.0, 0.47182)","(1781, 191.0, 0.47522)","(7196, 191.0, 0.32619)","(1328, 191.0, 0.31707)","(1328, 191.0, 0.31384)","(7196, 191.0, 0.32619)","(3324, 191.0, 1.00896)","(1328, 191.0, 0.31347)","(7196, 191.0, 0.32705)","(7155, 191.0, 0.43802)"
