0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
"(6854, 200.0, 0.56061)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56166)","(3568, 200.0, 0.254)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56166)","(6854, 200.0, 0.56095)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.55598)","(7127, 200.0, 0.40484)","(7127, 200.0, 0.40484)","(6854, 200.0, 0.56061)","(6854, 200.0, 0.56166)","(7127, 200.0, 0.40484)","(6854, 200.0, 0.55598)","(6854, 200.0, 0.56061)","(6508, 200.0, 0.48568)"
"(6992, 199.0, 0.28291)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28111)","(4985, 199.0, 0.22649)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28291)","(6992, 199.0, 0.28165)","(7127, 199.0, 0.40429)","(6992, 199.0, 0.28165)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28484)","(6992, 199.0, 0.28111)","(6992, 199.0, 0.28165)","(7127, 199.0, 0.40573)","(6992, 199.0, 0.28484)","(6854, 199.0, 0.56095)","(6854, 199.0, 0.56095)","(6992, 199.0, 0.28291)","(7127, 199.0, 0.40429)","(7055, 199.0, 0.35682)","(778, 199.0, 0.38882)","(7157, 199.0, 0.37253)","(6188, 199.0, 0.83646)"
"(7127, 198.0, 0.40573)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40429)","(5891, 198.0, 0.4332)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40573)","(7127, 198.0, 0.40484)","(6992, 198.0, 0.28111)","(7127, 198.0, 0.40484)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40813)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40429)","(643, 198.0, 1.27985)","(7127, 198.0, 0.40429)","(7127, 198.0, 0.40484)","(6992, 198.0, 0.28291)","(7127, 198.0, 0.40813)","(6992, 198.0, 0.28165)","(2886, 198.0, 0.4885)","(7127, 198.0, 0.40573)","(6992, 198.0, 0.28111)","(5738, 198.0, 0.41301)","(7067, 198.0, 0.90263)","(2886, 198.0, 0.48869)","(6910, 198.0, 0.18562)"
"(7157, 197.0, 0.37253)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37516)","(643, 197.0, 1.28391)","(7209, 197.0, 0.48602)","(7157, 197.0, 0.37206)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.37253)","(643, 197.0, 1.28363)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.37206)","(643, 197.0, 1.27985)","(7157, 197.0, 0.37516)","(7157, 197.0, 0.3712)","(7157, 197.0, 0.3712)","(7127, 197.0, 0.40813)","(7157, 197.0, 0.3712)","(643, 197.0, 1.28363)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.37516)","(5744, 197.0, 0.46581)","(6992, 197.0, 0.28165)","(7157, 197.0, 0.37253)","(7157, 197.0, 0.3712)","(1348, 197.0, 0.44051)","(6705, 197.0, 0.27089)","(7199, 197.0, 0.38668)","(2627, 197.0, 0.58695)"
"(643, 196.0, 1.28248)","(643, 196.0, 1.28363)","(643, 196.0, 1.28248)","(643, 196.0, 1.28391)","(643, 196.0, 1.28363)","(643, 196.0, 1.28391)","(643, 196.0, 1.28248)","(643, 196.0, 1.28391)","(643, 196.0, 1.27985)","(643, 196.0, 1.28363)","(643, 196.0, 1.27985)","(643, 196.0, 1.28363)","(643, 196.0, 1.28248)","(643, 196.0, 1.28363)","(643, 196.0, 1.28363)","(643, 196.0, 1.28391)","(643, 196.0, 1.28248)","(643, 196.0, 1.27985)","(643, 196.0, 1.28363)","(643, 196.0, 1.28248)","(643, 196.0, 1.27985)","(643, 196.0, 1.28363)","(643, 196.0, 1.27985)","(643, 196.0, 1.28248)","(643, 196.0, 1.28363)","(643, 196.0, 1.27985)","(643, 196.0, 1.28391)","(643, 196.0, 1.28391)","(643, 196.0, 1.27985)","(643, 196.0, 1.28391)","(643, 196.0, 1.28391)","(643, 196.0, 1.28363)","(643, 196.0, 1.28363)","(643, 196.0, 1.28248)","(643, 196.0, 1.28391)","(643, 196.0, 1.28248)","(643, 196.0, 1.27985)","(643, 196.0, 1.27985)","(643, 196.0, 1.28363)","(643, 196.0, 1.28248)","(643, 196.0, 1.27985)","(643, 196.0, 1.27985)","(643, 196.0, 1.28363)","(643, 196.0, 1.28363)","(643, 196.0, 1.28363)","(643, 196.0, 1.28391)","(643, 196.0, 1.28248)","(643, 196.0, 1.27985)","(643, 196.0, 1.28391)","(643, 196.0, 1.28391)","(643, 196.0, 1.27985)","(643, 196.0, 1.28391)","(643, 196.0, 1.28363)","(643, 196.0, 1.28391)","(643, 196.0, 1.28391)","(643, 196.0, 1.28391)","(643, 196.0, 1.28363)","(643, 196.0, 1.27985)","(7157, 196.0, 0.3712)","(1770, 196.0, 1.12919)","(643, 196.0, 1.28363)","(643, 196.0, 1.27985)","(643, 196.0, 1.28248)","(7157, 196.0, 0.37206)","(643, 196.0, 1.28391)","(643, 196.0, 1.28363)","(2886, 196.0, 0.48672)","(643, 196.0, 1.27985)","(643, 196.0, 1.28391)","(643, 196.0, 1.28391)","(7157, 196.0, 0.37516)","(643, 196.0, 1.28391)","(7157, 196.0, 0.37206)","(643, 196.0, 1.28248)","(643, 196.0, 1.27985)","(2886, 196.0, 0.4885)","(7157, 196.0, 0.37206)","(643, 196.0, 1.28248)","(643, 196.0, 1.28391)","(81, 196.0, 0.40922)","(2690, 196.0, 0.94679)","(6992, 196.0, 0.28291)","(4056, 196.0, 0.40305)"
"(2886, 195.0, 0.48869)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48672)","(2892, 195.0, 0.96351)","(6931, 195.0, 0.285)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.4885)","(5744, 195.0, 0.46637)","(2886, 195.0, 0.4885)","(7157, 195.0, 0.37516)","(2886, 195.0, 0.48672)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.48901)","(2892, 195.0, 0.96284)","(2886, 195.0, 0.48901)","(2886, 195.0, 0.4885)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48672)","(643, 195.0, 1.28363)","(643, 195.0, 1.28363)","(2886, 195.0, 0.48869)","(2886, 195.0, 0.48901)","(1523, 195.0, 0.53466)","(6717, 195.0, 1.37237)","(7127, 195.0, 0.40573)","(3207, 195.0, 0.26395)"
"(2892, 194.0, 0.96294)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96284)","(2886, 194.0, 0.48901)","(6466, 194.0, 0.71742)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96355)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96284)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96351)","(2886, 194.0, 0.48672)","(2892, 194.0, 0.96351)","(2892, 194.0, 0.96355)","(5744, 194.0, 0.46536)","(2892, 194.0, 0.96284)","(7157, 194.0, 0.37206)","(5744, 194.0, 0.46581)","(2892, 194.0, 0.96294)","(2892, 194.0, 0.96351)","(1024, 194.0, 0.35604)","(2786, 194.0, 0.81742)","(4030, 194.0, 0.93272)","(1434, 194.0, 0.35644)"
"(5744, 193.0, 0.46536)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46637)","(6237, 193.0, 0.57626)","(5744, 193.0, 0.46581)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46581)","(2886, 193.0, 0.48901)","(5744, 193.0, 0.46581)","(693, 193.0, 0.48583)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46069)","(5744, 193.0, 0.46637)","(5744, 193.0, 0.46581)","(2892, 193.0, 0.96294)","(5744, 193.0, 0.46069)","(7250, 193.0, 0.35826)","(2892, 193.0, 0.96355)","(5744, 193.0, 0.46536)","(5744, 193.0, 0.46637)","(2365, 193.0, 0.29999)","(6713, 193.0, 1.36254)","(6204, 193.0, 0.32117)","(2308, 193.0, 0.43131)"
"(693, 192.0, 0.48789)","(693, 192.0, 0.4884)","(693, 192.0, 0.48789)","(693, 192.0, 0.48844)","(693, 192.0, 0.4884)","(693, 192.0, 0.48844)","(693, 192.0, 0.48789)","(693, 192.0, 0.48844)","(693, 192.0, 0.48583)","(693, 192.0, 0.4884)","(693, 192.0, 0.48583)","(693, 192.0, 0.4884)","(693, 192.0, 0.48789)","(693, 192.0, 0.4884)","(693, 192.0, 0.4884)","(693, 192.0, 0.48844)","(693, 192.0, 0.48789)","(693, 192.0, 0.48583)","(693, 192.0, 0.4884)","(693, 192.0, 0.48789)","(693, 192.0, 0.48583)","(693, 192.0, 0.4884)","(693, 192.0, 0.48583)","(693, 192.0, 0.48789)","(693, 192.0, 0.4884)","(693, 192.0, 0.48583)","(693, 192.0, 0.48844)","(693, 192.0, 0.48844)","(693, 192.0, 0.48583)","(693, 192.0, 0.48844)","(693, 192.0, 0.48844)","(693, 192.0, 0.4884)","(693, 192.0, 0.4884)","(693, 192.0, 0.48789)","(693, 192.0, 0.48844)","(693, 192.0, 0.48789)","(693, 192.0, 0.48583)","(693, 192.0, 0.48583)","(693, 192.0, 0.4884)","(693, 192.0, 0.48789)","(693, 192.0, 0.48583)","(693, 192.0, 0.48583)","(693, 192.0, 0.4884)","(693, 192.0, 0.4884)","(693, 192.0, 0.4884)","(693, 192.0, 0.48844)","(693, 192.0, 0.48789)","(693, 192.0, 0.48583)","(693, 192.0, 0.48844)","(693, 192.0, 0.48844)","(693, 192.0, 0.48583)","(693, 192.0, 0.48844)","(693, 192.0, 0.4884)","(693, 192.0, 0.48844)","(693, 192.0, 0.48844)","(693, 192.0, 0.48844)","(693, 192.0, 0.4884)","(693, 192.0, 0.48583)","(5145, 192.0, 0.47565)","(4088, 192.0, 0.34976)","(693, 192.0, 0.4884)","(693, 192.0, 0.48583)","(693, 192.0, 0.48789)","(693, 192.0, 0.4884)","(7250, 192.0, 0.3586)","(693, 192.0, 0.4884)","(7067, 192.0, 0.90263)","(693, 192.0, 0.48583)","(693, 192.0, 0.48844)","(693, 192.0, 0.48844)","(693, 192.0, 0.48583)","(693, 192.0, 0.48844)","(693, 192.0, 0.4884)","(3064, 192.0, 0.27402)","(693, 192.0, 0.48583)","(693, 192.0, 0.4884)","(7199, 192.0, 0.38585)","(693, 192.0, 0.48789)","(693, 192.0, 0.48844)","(7170, 192.0, 0.38637)","(693, 192.0, 0.48583)","(1058, 192.0, 0.2999)","(535, 192.0, 0.47066)"
"(4493, 191.0, 0.73214)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.73214)","(7250, 191.0, 0.3586)","(7250, 191.0, 0.35826)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.73292)","(7250, 191.0, 0.3586)","(7250, 191.0, 0.35851)","(7250, 191.0, 0.36119)","(7250, 191.0, 0.35826)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73214)","(7250, 191.0, 0.36119)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73292)","(7250, 191.0, 0.35826)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73288)","(7250, 191.0, 0.35826)","(7250, 191.0, 0.3586)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73292)","(4493, 191.0, 0.7317)","(7250, 191.0, 0.3586)","(949, 191.0, 0.3965)","(7250, 191.0, 0.35826)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73214)","(7250, 191.0, 0.35826)","(5145, 191.0, 0.47565)","(4493, 191.0, 0.73292)","(3555, 191.0, 1.00178)","(7250, 191.0, 0.36119)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73288)","(6204, 191.0, 0.31974)","(4493, 191.0, 0.73288)","(4493, 191.0, 0.73292)","(7250, 191.0, 0.35851)","(4493, 191.0, 0.7317)","(4493, 191.0, 0.73292)","(7250, 191.0, 0.35826)","(4493, 191.0, 0.73214)","(4493, 191.0, 0.73288)","(4177, 191.0, 0.15832)","(484, 191.0, 0.15454)","(329, 191.0, 0.27227)","(1021, 191.0, 0.24323)"
