200
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200
20,975;4679;406;3430;2473;3862;5956;2094;713;5563;428;3906;1911;591;4508;3934;1445;5896;4770;5989;453;5026;6890;2817;2059;2378;6138;3273;2611;5168;1766;27;2037;4316;646;21;5663;4641;5913;715;5856;5810;5771;1879;5483;6352;2676;4417;1305;6079;4659;2700;165;1087;3503;222;4418;1757;4630;2387;5071;5811;3939;2604;2536;6615;6319;5742;5926;1070;5084;4711;2030,daytime:evening,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,3555;189,6204;188,7067;187,3064;186,6820;185,6785;184,7209;183,5145;182,7199;181,3116;180,778;179,800;178,2493;177,6843;176,6962;175,1440;174,3211;173,484;172,879;171,903;170,6876;169,5998;168,4786;167,6419;166,7297;165,6941;164,5005;163,1297;162,1516;161,2945;160,99;159,6936;158,3572;157,3697;156,7277;155,3096;154,1855;153,462;152,7287;151,3226;150,6164;149,1651;148,6731;147,6979;146,1291;145,6942;144,1272;143,7279;142,3538;141,6950;140,1351;139,1690;138,3093;137,6674;136,6858;135,517;134,7289;133,1603;132,3882;131,7197;130,6661;129,5781;128,4400;127,7243;126,7262;125,5493;124,7276;123,6303;122,7238;121,1481;120,6766;119,387;118,2202;117,651;116,7106;115,7249;114,4232;113,6909;112,6424;111,1844;110,2342;109,7146;108,1659;107,634;106,1435;105,3288;104,1689;103,7295;102,282;101,1787;100,1120;99,1418;98,816;97,853;96,1343;95,7294;94,5403;93,6827;92,7087;91,3207;90,3067;89,4810;88,157;87,2294;86,572;85,6713;84,7288;83,7176;82,773;81,7268;80,2786;79,2930;78,1230;77,6739;76,6295;75,4988;74,2752;73,5532;72,2902;71,4914;70,7218;69,5931;68,645;67,3150;66,3397;65,815;64,2981;63,6562;62,4872;61,2924;60,6856;59,6815;58,3140;57,5920;56,3532;55,3124;54,6935;53,1781;52,3938;51,1358;50,3161;49,6508;48,6559;47,4368;46,6946;45,4223;44,6889;43,4534;42,7174;41,2653;40,6717;39,7302;38,4417;37,6808;36,3668;35,1681;34,5833;33,7046;32,1643;31,4666;30,5666;29,6089;28,7172;27,7257;26,6084;25,744;24,4563;23,3014;22,1965;21,752;20,6832;19,3873;18,7286;17,3092;16,2055;15,1083;14,2367;13,6672;12,6869;11,2404;10,7236;9,6934;8,7298;7,3951;6,5291;5,3403;4,3184;3,3727;2,2936;1
20,6999;1069;1095;1093;1550;3340;5048;6200;2024;6073;2811;3658;5497;1687;791;1630;2483;5523;444;3363;5034;2760;3455;1129;4956;4681;6697;2671;3134;2028;874;6383;5349;3208;1012;2408;2968;3967;3992;1106;5549;6075;4628;5853;5566;3977;1023;5679;4353;1269;137;3028;530;3622;2086;3783;5823;5211;3537;6661;1426;129;5642;5891;4107;3344;456;2379;5864;1821,daytime:afternoon,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,3555;189,6204;188,7067;187,3064;186,6820;185,6785;184,7209;183,5145;182,7199;181,3116;180,778;179,800;178,2493;177,6843;176,6962;175,1440;174,3211;173,484;172,879;171,903;170,6876;169,5998;168,4786;167,6419;166,7297;165,6941;164,5005;163,1297;162,1516;161,2945;160,99;159,6936;158,3572;157,3697;156,7277;155,3096;154,1855;153,462;152,7287;151,3226;150,6164;149,1651;148,6731;147,6979;146,1291;145,6942;144,1272;143,7279;142,3538;141,6950;140,1351;139,1690;138,3093;137,6674;136,6858;135,517;134,7289;133,1603;132,3882;131,7197;130,6661;129,5781;128,4400;127,7243;126,7262;125,5493;124,7276;123,6303;122,7238;121,1481;120,6766;119,387;118,2202;117,651;116,7106;115,7249;114,4232;113,6909;112,6424;111,1844;110,2342;109,7146;108,1659;107,634;106,1435;105,3288;104,1689;103,7295;102,282;101,1787;100,1120;99,1418;98,816;97,853;96,1343;95,7294;94,5403;93,6827;92,7087;91,3207;90,3067;89,4810;88,157;87,2294;86,572;85,6713;84,7288;83,7176;82,773;81,7268;80,2786;79,2930;78,1230;77,6739;76,1337;75,6295;74,4988;73,2752;72,5532;71,2902;70,4914;69,7218;68,5931;67,645;66,3150;65,3397;64,815;63,2981;62,6562;61,4872;60,2924;59,6856;58,6815;57,3140;56,5920;55,3532;54,3124;53,6935;52,1781;51,3938;50,1358;49,3161;48,6508;47,6559;46,4368;45,6946;44,4223;43,6889;42,4534;41,7174;40,2653;39,6717;38,7302;37,4417;36,6808;35,3668;34,1681;33,5833;32,7046;31,1643;30,4666;29,5666;28,6089;27,7172;26,7257;25,6084;24,744;23,4563;22,3014;21,1965;20,6984;19,752;18,6832;17,3873;16,7286;15,3092;14,2055;13,1083;12,2367;11,6672;10,6869;9,2404;8,7236;7,6934;6,7298;5,3951;4,5291;3,3403;2,3184;1
109,6356;6818;1298;4512;7172;5351;3726;6882;2317,daytime:evening,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,6204;189,3555;188,3064;187,7067;186,6785;185,6820;184,7209;183,5145;182,7199;181,3116;180,778;179,800;178,2493;177,6843;176,6962;175,3211;174,1440;173,903;172,6876;171,484;170,5998;169,879;168,4786;167,6419;166,6941;165,7297;164,5005;163,2945;162,1297;161,99;160,1516;159,6936;158,3572;157,3697;156,7277;155,3096;154,1855;153,6979;152,462;151,6164;150,6731;149,7287;148,3226;147,1651;146,1291;145,6942;144,1272;143,6950;142,7279;141,3538;140,6674;139,1690;138,517;137,6858;136,7197;135,3093;134,1351;133,6661;132,1603;131,7289;130,3882;129,387;128,5781;127,1481;126,5493;125,7276;124,4400;123,7238;122,7262;121,7243;120,6766;119,651;118,6303;117,7106;116,2202;115,7249;114,6909;113,4232;112,2342;111,1659;110,6424;109,1844;108,7146;107,634;106,1689;105,3288;104,1435;103,282;102,7295;101,1120;100,816;99,1343;98,1418;97,1787;96,853;95,7294;94,6827;93,7087;92,157;91,2930;90,7268;89,4810;88,5403;87,7176;86,6713;85,3207;84,7288;83,572;82,3067;81,2786;80,2294;79,1230;78,6295;77,773;76,2752;75,6739;74,5532;73,645;72,4914;71,7218;70,3150;69,1337;68,4988;67,3397;66,2902;65,815;64,5931;63,6562;62,2981;61,2924;60,6935;59,6508;58,1781;57,1358;56,6815;55,3938;54,5920;53,4223;52,3532;51,6946;50,3668;49,6856;48,4872;47,3161;46,3140;45,6559;44,3124;43,7302;42,1643;41,7174;40,6717;39,6889;38,2653;37,4417;36,4534;35,4666;34,4368;33,6984;32,3873;31,7257;30,4563;29,3014;28,6832;27,5666;26,2055;25,7046;24,1965;23,5833;22,1681;21,7172;20,6089;19,744;18,2936;17,752;16,7236;15,662;14,6808;13,6869;12,1083;11,3092;10,6672;9,6822;8,7286;7,2367;6,3951;5,6084;4,3403;3,2404;2,7298;1
128,3544;666;6015;6841;1786;4762;5835;3910;384;5027;6253;1955;3731;3612;4581;1609;2406;6628;86;3187;3119;3931;2965;1537;3042;269;3533;2408;2289;2861;2136;974;6127;593;4561;1381;2373;4985;2300;1023;942;1113;6154;3474;2241;142;3049;3161;320;2782;1148;2539;2797;343;5008;4823;1082;3654;1622;2949;3543;937;4961;68;3574,daytime:morning,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,7250;191,4493;190,6204;189,3555;188,7067;187,3064;186,6785;185,6820;184,7209;183,5145;182,7199;181,778;180,3116;179,2493;178,800;177,6843;176,6962;175,3211;174,1440;173,903;172,484;171,6876;170,879;169,5998;168,4786;167,7297;166,6941;165,6419;164,5005;163,99;162,2945;161,1516;160,1297;159,3572;158,6936;157,3697;156,7277;155,3096;154,1855;153,462;152,6731;151,6979;150,7287;149,1651;148,3226;147,6164;146,1291;145,6942;144,3538;143,6674;142,6950;141,1690;140,7279;139,1272;138,1351;137,3093;136,6858;135,1603;134,7197;133,517;132,6661;131,7289;130,3882;129,5781;128,1481;127,4400;126,387;125,7243;124,7262;123,5493;122,7106;121,7238;120,6303;119,7276;118,6766;117,651;116,2202;115,6909;114,7249;113,2342;112,4232;111,6424;110,1659;109,634;108,1844;107,7146;106,1689;105,3288;104,1435;103,282;102,7295;101,1120;100,816;99,1418;98,1343;97,853;96,7294;95,7087;94,1787;93,5403;92,6713;91,6827;90,7176;89,2930;88,7288;87,4810;86,7268;85,1230;84,3067;83,2294;82,2786;81,157;80,572;79,3207;78,6295;77,773;76,2752;75,5532;74,4914;73,645;72,6739;71,3150;70,7218;69,1337;68,5931;67,2902;66,815;65,4988;64,6562;63,3397;62,2981;61,2924;60,1781;59,6815;58,3938;57,3532;56,6856;55,4223;54,6935;53,6889;52,3140;51,1358;50,6508;49,6559;48,3124;47,4872;46,3161;45,6717;44,5920;43,6946;42,3668;41,7302;40,7174;39,2653;38,1643;37,4368;36,4534;35,4666;34,4417;33,3873;32,6984;31,6089;30,5833;29,4563;28,1965;27,7046;26,2055;25,1681;24,6832;23,7257;22,5666;21,3014;20,7172;19,6808;18,2936;17,744;16,6869;15,3092;14,752;13,6084;12,7236;11,6672;10,662;9,2367;8,3563;7,3403;6,6822;5,1083;4,3951;3,7298;2,7286;1
128,4167;6599;5368;2831;2064;2484;5284;6797;1947;2260;3488;3165;977;2683;3321;4477;3960;5095;1014;6693;3502;1137;4937;1877;3454;85;3579;2465;5420;2640;3757;5904;5347;1927;180;2940;4619;2526;3929;4640;1064;605;4583;4361;387;4479;6049;4742,daytime:afternoon,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,7250;191,4493;190,6204;189,3555;188,7067;187,3064;186,6785;185,6820;184,7209;183,5145;182,7199;181,778;180,3116;179,2493;178,800;177,6843;176,6962;175,3211;174,1440;173,903;172,484;171,6876;170,879;169,5998;168,4786;167,7297;166,6941;165,6419;164,5005;163,99;162,2945;161,1516;160,1297;159,3572;158,6936;157,3697;156,7277;155,3096;154,1855;153,462;152,6731;151,6979;150,7287;149,1651;148,3226;147,6164;146,1291;145,6942;144,3538;143,6674;142,6950;141,1690;140,7279;139,1272;138,1351;137,3093;136,6858;135,1603;134,7197;133,517;132,6661;131,7289;130,3882;129,5781;128,1481;127,4400;126,387;125,7243;124,7262;123,5493;122,7106;121,7238;120,6303;119,7276;118,6766;117,651;116,2202;115,6909;114,7249;113,2342;112,4232;111,6424;110,1659;109,634;108,1844;107,7146;106,1689;105,3288;104,1435;103,282;102,7295;101,1120;100,816;99,1418;98,1343;97,853;96,7294;95,7087;94,1787;93,5403;92,6713;91,6827;90,7176;89,2930;88,7288;87,4810;86,7268;85,1230;84,3067;83,2294;82,2786;81,157;80,572;79,3207;78,6295;77,773;76,2752;75,5532;74,4914;73,645;72,6739;71,3150;70,7218;69,1337;68,5931;67,2902;66,815;65,4988;64,6562;63,3397;62,2981;61,2924;60,1781;59,6815;58,3938;57,3532;56,6856;55,4223;54,6935;53,6889;52,3140;51,1358;50,6508;49,6559;48,3124;47,4872;46,3161;45,6717;44,5920;43,6946;42,3668;41,7302;40,7174;39,2653;38,1643;37,4368;36,4534;35,4666;34,4417;33,3873;32,6984;31,6089;30,5833;29,4563;28,1965;27,7046;26,2055;25,1681;24,6832;23,7257;22,5666;21,3014;20,7172;19,6808;18,2936;17,744;16,6869;15,3092;14,752;13,6084;12,7236;11,6672;10,662;9,2367;8,3563;7,3403;6,6822;5,1083;4,3951;3,7298;2,7286;1
185,5962;5145;262;3591;4967;1589;4371;977;4708;2467;4602;5654;1614;4527;4062;3059;73;1760;3423;6137;1849;5086;1508;4068,daytime:morning,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,6204;189,3555;188,3064;187,5145;186,6785;185,7067;184,6820;183,7209;182,800;181,778;180,7199;179,3116;178,2493;177,6962;176,3211;175,6843;174,1440;173,484;172,903;171,4786;170,5998;169,6876;168,879;167,5005;166,6419;165,7297;164,6941;163,2945;162,1297;161,99;160,6936;159,3572;158,1516;157,7277;156,3697;155,3096;154,7287;153,6164;152,1855;151,1272;150,6979;149,462;148,6942;147,6731;146,1651;145,3226;144,7279;143,1291;142,6950;141,3538;140,6858;139,6674;138,517;137,3093;136,1690;135,1351;134,1603;133,7197;132,1481;131,387;130,6661;129,7276;128,7289;127,5493;126,5781;125,2202;124,6766;123,3882;122,7238;121,7243;120,7262;119,651;118,4400;117,7249;116,4232;115,7106;114,6303;113,6909;112,1659;111,2342;110,1689;109,1844;108,7146;107,6424;106,1435;105,3288;104,1120;103,634;102,1787;101,7295;100,7268;99,4810;98,1343;97,282;96,816;95,7087;94,2930;93,7288;92,1418;91,853;90,6713;89,7176;88,7294;87,6295;86,157;85,1230;84,773;83,3207;82,5403;81,3067;80,572;79,2294;78,2786;77,6827;76,645;75,6739;74,3397;73,2752;72,4914;71,2902;70,5532;69,5931;68,4988;67,1337;66,3150;65,7218;64,3938;63,815;62,6562;61,2981;60,1781;59,2924;58,5920;57,4223;56,1358;55,6815;54,6508;53,3668;52,3161;51,3124;50,6946;49,3532;48,6559;47,4872;46,7174;45,3140;44,4417;43,6717;42,6856;41,7046;40,1643;39,4666;38,6832;37,2653;36,7302;35,6889;34,2055;33,4368;32,4534;31,3014;30,5666;29,662;28,1681;27,6984;26,3873;25,6822;24,3092;23,744;22,5833;21,7257;20,6089;19,7286;18,1965;17,7172;16,2936;15,1083;14,2987;13,6808;12,752;11,7298;10,6869;9,4563;8,5890;7,2404;6,5291;5,3727;4,7236;3,1394;2,6672;1
185,6368;396;2192;3389;2836;6909;4778;2372;2799;203;5366;496;5936;2882;6487;4597;361;2622;6723;3269;748;2204;6550;5700;6752;1623,daytime:evening,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,6204;189,3555;188,3064;187,5145;186,6785;185,7067;184,6820;183,7209;182,800;181,778;180,7199;179,3116;178,2493;177,6962;176,3211;175,6843;174,1440;173,484;172,903;171,4786;170,5998;169,6876;168,879;167,5005;166,6419;165,7297;164,6941;163,2945;162,1297;161,99;160,6936;159,3572;158,1516;157,7277;156,3697;155,3096;154,7287;153,6164;152,1855;151,1272;150,6979;149,462;148,6942;147,6731;146,1651;145,3226;144,7279;143,1291;142,6950;141,3538;140,6858;139,6674;138,517;137,3093;136,1690;135,1351;134,1603;133,7197;132,1481;131,387;130,6661;129,7276;128,7289;127,5493;126,5781;125,2202;124,6766;123,3882;122,7238;121,7243;120,7262;119,651;118,4400;117,7249;116,4232;115,7106;114,6303;113,6909;112,1659;111,2342;110,1689;109,1844;108,7146;107,6424;106,1435;105,3288;104,1120;103,634;102,1787;101,7295;100,7268;99,4810;98,1343;97,282;96,816;95,7087;94,2930;93,7288;92,1418;91,853;90,6713;89,7176;88,7294;87,6295;86,157;85,1230;84,773;83,3207;82,5403;81,3067;80,572;79,2294;78,2786;77,6827;76,645;75,6739;74,3397;73,2752;72,4914;71,2902;70,5532;69,5931;68,4988;67,1337;66,3150;65,7218;64,3938;63,815;62,6562;61,2981;60,1781;59,2924;58,5920;57,4223;56,1358;55,6815;54,6935;53,6508;52,3668;51,3161;50,3124;49,6946;48,3532;47,6559;46,4872;45,7174;44,3140;43,4417;42,6717;41,6856;40,7046;39,1643;38,4666;37,6832;36,2653;35,7302;34,6889;33,2055;32,4368;31,4534;30,3014;29,5666;28,662;27,1681;26,6984;25,3873;24,6822;23,3092;22,744;21,5833;20,7257;19,6089;18,7286;17,1965;16,7172;15,2936;14,1083;13,2987;12,6808;11,752;10,7298;9,6869;8,4563;7,5890;6,2404;5,5291;4,3727;3,7236;2,1394;1
316,1278;5315;1196;292;2510;1895;5126;5139;2308;1246;1682;1617;4346;2597;7290;4223;3738;2582;6713;3039;4983;55;6663;332;4812;767;7116;1469;2105;3701;82;1128;6867;152;2072;808;5699;5430;1971;498;399;3561;5899;4671;1624;1076;4527;5250;1700;2337;3240;4953;1638;4935;13;2865;1568;686,daytime:morning,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,6204;189,3555;188,7067;187,6785;186,3064;185,6820;184,7209;183,5145;182,7199;181,3116;180,778;179,2493;178,800;177,6843;176,6962;175,1440;174,3211;173,6876;172,903;171,484;170,4786;169,6419;168,7297;167,5998;166,6941;165,879;164,5005;163,99;162,1297;161,2945;160,1516;159,6936;158,3572;157,3697;156,7277;155,3096;154,1855;153,6731;152,6979;151,6164;150,7287;149,1291;148,3226;147,462;146,6942;145,1651;144,1272;143,7279;142,6950;141,3538;140,517;139,6674;138,1351;137,1690;136,6858;135,3093;134,7197;133,6661;132,1603;131,3882;130,5781;129,4400;128,7238;127,7262;126,5493;125,7276;124,1481;123,387;122,7243;121,6766;120,6303;119,7106;118,7249;117,651;116,2202;115,6909;114,4232;113,2342;112,6424;111,1689;110,1659;109,1844;108,7146;107,634;106,1343;105,282;104,1435;103,7294;102,7295;101,1418;100,3288;99,1120;98,6827;97,1787;96,853;95,816;94,5403;93,572;92,4810;91,7268;90,7087;89,6713;88,7176;87,3067;86,773;85,157;84,7288;83,1230;82,3207;81,2294;80,6295;79,2786;78,2930;77,5532;76,4988;75,6739;74,2902;73,7218;72,3150;71,2752;70,4914;69,3397;68,1337;67,645;66,6562;65,815;64,5931;63,1781;62,3532;61,6856;60,5920;59,3938;58,2981;57,1358;56,6508;55,4223;54,6946;53,2924;52,6815;51,3124;50,3161;49,6935;48,4872;47,3140;46,6889;45,7302;44,6717;43,4368;42,4666;41,7174;40,1643;39,6559;38,3668;37,4563;36,4417;35,1965;34,2653;33,6984;32,4534;31,2055;30,7257;29,7236;28,7046;27,1681;26,5833;25,752;24,6808;23,6869;22,6832;21,3014;20,6089;19,3873;18,5666;17,7286;16,3951;15,6084;14,7172;13,662;12,2404;11,2936;10,6672;9,3092;8,1083;7,5890;6,744;5,3727;4,6822;3,2367;2,3184;1
316,4245;776;3079;5429;1433;6885;6141;3677;1648;6707;1051;1497;431;1067;716;1066;4562;2442;250;6400;3606;379;1974;7177;7237;3655;2734;2513;3438;2968;4452;190;1714;5743;956;781;5816;101;1006;4073;6913;1320;6619;3227;6233;2768;5870;7295;1137;2702;3689;7298;4837;6875;884;4;2325;4107;5659;2444;1802;2815;4145;153;4306;10,daytime:night,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,6204;189,3555;188,7067;187,6785;186,3064;185,6820;184,7209;183,7199;182,3116;181,778;180,2493;179,800;178,6843;177,6962;176,1440;175,3211;174,6876;173,903;172,4786;171,6419;170,7297;169,5998;168,6941;167,879;166,5005;165,99;164,1297;163,2945;162,1516;161,6936;160,3572;159,3697;158,7277;157,3096;156,1855;155,6731;154,6979;153,6164;152,7287;151,1291;150,3226;149,462;148,6942;147,1651;146,1272;145,7279;144,6950;143,3538;142,517;141,6674;140,1351;139,1690;138,6858;137,3093;136,7197;135,6661;134,7289;133,1603;132,3882;131,5781;130,4400;129,7238;128,7262;127,5493;126,7276;125,1481;124,387;123,7243;122,6766;121,6303;120,7106;119,7249;118,651;117,2202;116,6909;115,4232;114,2342;113,6424;112,1689;111,1659;110,1844;109,7146;108,634;107,1343;106,282;105,1435;104,7294;103,7295;102,1418;101,3288;100,1120;99,6827;98,1787;97,853;96,816;95,5403;94,572;93,7268;92,7087;91,6713;90,7176;89,3067;88,773;87,157;86,7288;85,1230;84,3207;83,2294;82,6295;81,2786;80,2930;79,5532;78,4988;77,6739;76,2902;75,7218;74,3150;73,2752;72,4914;71,3397;70,1337;69,645;68,6562;67,815;66,5931;65,1781;64,3532;63,6856;62,5920;61,3938;60,2981;59,1358;58,6508;57,4223;56,6946;55,2924;54,6815;53,3124;52,3161;51,6935;50,4872;49,3140;48,6889;47,7302;46,4368;45,4666;44,7174;43,1643;42,6559;41,4563;40,4417;39,1965;38,2653;37,6984;36,4534;35,2055;34,7257;33,7236;32,7046;31,1681;30,5833;29,752;28,6869;27,6832;26,3014;25,6089;24,3873;23,5666;22,3951;21,6084;20,7172;19,662;18,2404;17,2936;16,6672;15,3092;14,1083;13,744;12,3727;11,6822;10,2367;9,3563;8,3184;7,7298;6,3403;5,6934;4,6632;3,2987;2,5291;1
316,1572;5321;56;3427;6346;712;6718;1750;3483;2346;3450;460;1626;1975;6822;3476;1935;4710;5263;2288;6668;1771;3672;952;5437;3902;3012;3466;1227;209;4112;5807;2037;6798;195;1064;3578;4224;1732;3935;248;974;6127;913;4595;4613;5060;4215;964;5573;6314;1052;1564;1591;142;3663;203;479;168;6134;3620;3432;85;5843;6505;6270;5344;2422;1310;4998;6279;309;6205;3423;5894;2682;6337;677;1460;363;897;1643;4089,daytime:afternoon,6854;200,6992;199,7127;198,7157;197,643;196,2886;195,2892;194,5744;193,693;192,4493;191,7250;190,6204;189,3555;188,7067;187,6785;186,3064;185,6820;184,7209;183,5145;182,7199;181,3116;180,778;179,2493;178,800;177,6843;176,6962;175,1440;174,3211;173,6876;172,903;171,484;170,4786;169,6419;168,7297;167,5998;166,6941;165,879;164,5005;163,99;162,1297;161,2945;160,1516;159,6936;158,3572;157,3697;156,7277;155,3096;154,1855;153,6731;152,6979;151,6164;150,7287;149,1291;148,3226;147,462;146,6942;145,1651;144,1272;143,7279;142,6950;141,3538;140,517;139,6674;138,1351;137,1690;136,6858;135,3093;134,7197;133,6661;132,7289;131,1603;130,3882;129,5781;128,4400;127,7238;126,7262;125,5493;124,7276;123,1481;122,387;121,7243;120,6766;119,6303;118,7106;117,7249;116,651;115,2202;114,6909;113,4232;112,2342;111,6424;110,1689;109,1659;108,1844;107,7146;106,634;105,1343;104,282;103,1435;102,7294;101,7295;100,1418;99,3288;98,1120;97,6827;96,1787;95,853;94,816;93,5403;92,572;91,4810;90,7268;89,7087;88,6713;87,7176;86,3067;85,773;84,157;83,7288;82,1230;81,3207;80,2294;79,6295;78,2786;77,2930;76,5532;75,4988;74,6739;73,2902;72,7218;71,3150;70,2752;69,4914;68,3397;67,1337;66,645;65,6562;64,815;63,5931;62,1781;61,3532;60,6856;59,5920;58,3938;57,2981;56,1358;55,6508;54,4223;53,6946;52,2924;51,6815;50,3124;49,3161;48,6935;47,4872;46,3140;45,6889;44,7302;43,6717;42,4368;41,4666;40,7174;39,1643;38,6559;37,3668;36,4563;35,4417;34,1965;33,2653;32,6984;31,4534;30,2055;29,7257;28,7236;27,7046;26,1681;25,5833;24,752;23,6808;22,6869;21,6832;20,3014;19,6089;18,3873;17,5666;16,7286;15,3951;14,6084;13,7172;12,662;11,2404;10,2936;9,6672;8,3092;7,1083;6,5890;5,744;4,3727;3,6822;2,2367;1
