0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
"(6715, 200.0, 1.37793)","(6715, 200.0, 1.37616)","(2472, 200.0, 0.64089)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37616)","(6982, 200.0, 0.73086)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37971)","(6982, 200.0, 0.73159)","(6982, 200.0, 0.73167)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37971)","(6982, 200.0, 0.73167)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37793)","(6715, 200.0, 1.37971)","(6715, 200.0, 1.37793)","(7156, 200.0, 0.41588)","(6982, 200.0, 0.73159)","(6982, 200.0, 0.73086)","(7156, 200.0, 0.41131)","(6715, 200.0, 1.37616)","(6715, 200.0, 1.37971)","(6982, 200.0, 0.73086)","(6715, 200.0, 1.37864)","(6715, 200.0, 1.37864)","(4368, 200.0, 0.63691)","(6982, 200.0, 0.73159)","(3378, 200.0, 0.54181)","(5315, 200.0, 0.76237)"
"(6982, 199.0, 0.73159)","(6982, 199.0, 0.73167)","(6715, 199.0, 1.37793)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73086)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73086)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73086)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73147)","(7156, 199.0, 0.41131)","(7156, 199.0, 0.41014)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73167)","(6715, 199.0, 1.37864)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73147)","(6715, 199.0, 1.37793)","(6715, 199.0, 1.37616)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73086)","(6982, 199.0, 0.73086)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73086)","(6982, 199.0, 0.73147)","(6715, 199.0, 1.37616)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73086)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73147)","(6982, 199.0, 0.73159)","(6715, 199.0, 1.37616)","(6715, 199.0, 1.37793)","(6715, 199.0, 1.37864)","(6982, 199.0, 0.73159)","(6982, 199.0, 0.73167)","(6982, 199.0, 0.73147)","(1045, 199.0, 0.40181)","(6982, 199.0, 0.73086)","(7156, 199.0, 0.41014)","(7048, 199.0, 0.49674)","(6715, 199.0, 1.37793)","(5121, 199.0, 0.64953)","(6204, 199.0, 0.31926)"
"(7156, 198.0, 0.41131)","(7156, 198.0, 0.41588)","(2261, 198.0, 1.40121)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.40901)","(6982, 198.0, 0.73159)","(6982, 198.0, 0.73086)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41014)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.41131)","(7156, 198.0, 0.40901)","(7156, 198.0, 0.41131)","(5686, 198.0, 0.34177)","(7156, 198.0, 0.41131)","(7262, 198.0, 0.85032)","(6715, 198.0, 1.37793)","(7156, 198.0, 0.41588)","(7156, 198.0, 0.40901)","(4103, 198.0, 0.42937)","(7156, 198.0, 0.41014)","(6982, 198.0, 0.73086)","(6715, 198.0, 1.37793)","(7156, 198.0, 0.41131)","(1386, 198.0, 0.16933)","(7048, 198.0, 0.49626)"
"(2472, 197.0, 0.64089)","(2472, 197.0, 0.63775)","(7148, 197.0, 0.33428)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64234)","(4368, 197.0, 0.63691)","(4368, 197.0, 0.63761)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.64234)","(2472, 197.0, 0.64089)","(388, 197.0, 0.22334)","(2472, 197.0, 0.64089)","(7156, 197.0, 0.41014)","(2472, 197.0, 0.64089)","(2472, 197.0, 0.63775)","(2472, 197.0, 0.64234)","(7084, 197.0, 0.55222)","(2472, 197.0, 0.64135)","(2472, 197.0, 0.64135)","(7266, 197.0, 0.6473)","(2472, 197.0, 0.64089)","(1866, 197.0, 1.41852)","(2138, 197.0, 0.87425)"
"(7262, 196.0, 0.85025)","(7262, 196.0, 0.85224)","(5692, 196.0, 0.42954)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(2472, 196.0, 0.64089)","(2472, 196.0, 0.64135)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85025)","(7262, 196.0, 0.85032)","(7262, 196.0, 0.85025)","(4533, 196.0, 0.54523)","(7262, 196.0, 0.85025)","(2472, 196.0, 0.64135)","(1351, 196.0, 0.23778)","(7262, 196.0, 0.85224)","(7262, 196.0, 0.85032)","(6925, 196.0, 0.44033)","(7262, 196.0, 0.85032)","(4368, 196.0, 0.63761)","(7257, 196.0, 0.29652)","(7262, 196.0, 0.85025)","(6627, 196.0, 0.272)","(418, 196.0, 0.41554)"
"(4368, 195.0, 0.63691)","(4368, 195.0, 0.63269)","(1493, 195.0, 0.65222)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63761)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63761)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63761)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63794)","(7262, 195.0, 0.85025)","(7262, 195.0, 0.85032)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63269)","(3377, 195.0, 0.8075)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63761)","(4368, 195.0, 0.63761)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63761)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63761)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63794)","(4368, 195.0, 0.63691)","(1569, 195.0, 0.67302)","(4368, 195.0, 0.63691)","(121, 195.0, 1.23561)","(4368, 195.0, 0.63691)","(4368, 195.0, 0.63269)","(4368, 195.0, 0.63794)","(2733, 195.0, 0.30304)","(4368, 195.0, 0.63761)","(7262, 195.0, 0.85032)","(1174, 195.0, 0.42433)","(4368, 195.0, 0.63691)","(4500, 195.0, 0.4272)","(1150, 195.0, 0.57638)"
"(3377, 194.0, 0.80828)","(3377, 194.0, 0.80762)","(6982, 194.0, 0.73159)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.8075)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.8075)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.8075)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.80802)","(1402, 194.0, 0.9253)","(1402, 194.0, 0.92587)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80762)","(4368, 194.0, 0.63761)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80828)","(1402, 194.0, 0.92565)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.8075)","(3377, 194.0, 0.8075)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.8075)","(3377, 194.0, 0.80802)","(2261, 194.0, 1.39836)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.8075)","(3377, 194.0, 0.80802)","(3377, 194.0, 0.80828)","(1402, 194.0, 0.92598)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.80828)","(3377, 194.0, 0.80802)","(1402, 194.0, 0.9253)","(4225, 194.0, 0.40697)","(3377, 194.0, 0.80828)","(4362, 194.0, 0.50206)","(7262, 194.0, 0.85025)","(3377, 194.0, 0.80762)","(3377, 194.0, 0.80802)","(2295, 194.0, 0.64159)","(3377, 194.0, 0.8075)","(1402, 194.0, 0.92587)","(639, 194.0, 0.24232)","(3377, 194.0, 0.80828)","(5498, 194.0, 0.71074)","(5797, 194.0, 0.31423)"
"(1402, 193.0, 0.9253)","(1402, 193.0, 0.92565)","(5815, 193.0, 0.48257)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92587)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92587)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92587)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92598)","(3377, 193.0, 0.80828)","(3377, 193.0, 0.8075)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92565)","(1664, 193.0, 0.73175)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.9253)","(3377, 193.0, 0.80762)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.92587)","(4362, 193.0, 0.50206)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.92598)","(4362, 193.0, 0.50133)","(1402, 193.0, 0.92587)","(1402, 193.0, 0.92598)","(3377, 193.0, 0.80762)","(1351, 193.0, 0.24072)","(1402, 193.0, 0.92598)","(1402, 193.0, 0.92587)","(2261, 193.0, 1.40278)","(2261, 193.0, 1.40121)","(3377, 193.0, 0.80802)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.9253)","(1402, 193.0, 0.92598)","(3377, 193.0, 0.80828)","(6982, 193.0, 0.73167)","(1402, 193.0, 0.9253)","(3509, 193.0, 0.41423)","(3377, 193.0, 0.80828)","(1402, 193.0, 0.92565)","(1402, 193.0, 0.92598)","(131, 193.0, 0.36541)","(1402, 193.0, 0.92587)","(4362, 193.0, 0.50206)","(5029, 193.0, 0.5349)","(1402, 193.0, 0.9253)","(6132, 193.0, 0.86581)","(91, 193.0, 0.6342)"
"(1351, 192.0, 0.23778)","(1351, 192.0, 0.24072)","(3999, 192.0, 0.41061)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23669)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23669)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23669)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23577)","(4362, 192.0, 0.50298)","(4362, 192.0, 0.50206)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.24072)","(2261, 192.0, 1.40173)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23669)","(1402, 192.0, 0.92587)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23778)","(2261, 192.0, 1.40278)","(2261, 192.0, 1.40121)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23669)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.24072)","(2261, 192.0, 1.39836)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.23669)","(1402, 192.0, 0.92598)","(1402, 192.0, 0.9253)","(1351, 192.0, 0.23577)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23778)","(1351, 192.0, 0.23577)","(2261, 192.0, 1.40121)","(5107, 192.0, 0.3995)","(1351, 192.0, 0.23778)","(7028, 192.0, 0.37373)","(4362, 192.0, 0.50298)","(1351, 192.0, 0.24072)","(1351, 192.0, 0.23577)","(5580, 192.0, 0.32013)","(1351, 192.0, 0.23669)","(1351, 192.0, 0.23669)","(112, 192.0, 0.40746)","(2261, 192.0, 1.40121)","(5417, 192.0, 0.2872)","(2808, 192.0, 0.42926)"
"(2261, 191.0, 1.40121)","(2261, 191.0, 1.39836)","(1274, 191.0, 0.17735)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40173)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40173)","(2261, 191.0, 1.40121)","(1664, 191.0, 0.73284)","(1664, 191.0, 0.73122)","(1664, 191.0, 0.7287)","(1664, 191.0, 0.73175)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.40121)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40278)","(7048, 191.0, 0.49674)","(7048, 191.0, 0.49713)","(2261, 191.0, 1.40121)","(2261, 191.0, 1.39836)","(2532, 191.0, 0.20214)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.40121)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40121)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.40173)","(2261, 191.0, 1.40173)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.40121)","(1351, 191.0, 0.23577)","(1351, 191.0, 0.23778)","(2261, 191.0, 1.40121)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.40278)","(1402, 191.0, 0.92565)","(2261, 191.0, 1.40173)","(2261, 191.0, 1.40278)","(1664, 191.0, 0.7287)","(1402, 191.0, 0.92565)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.40173)","(1664, 191.0, 0.73284)","(1664, 191.0, 0.73122)","(2261, 191.0, 1.40278)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40121)","(2261, 191.0, 1.40278)","(1351, 191.0, 0.23778)","(2382, 191.0, 1.27453)","(1664, 191.0, 0.73122)","(1351, 191.0, 0.23669)","(1680, 191.0, 0.42652)","(2261, 191.0, 1.39836)","(2261, 191.0, 1.40278)","(5095, 191.0, 0.33965)","(2261, 191.0, 1.40173)","(3377, 191.0, 0.8075)","(2804, 191.0, 0.3441)","(1351, 191.0, 0.23778)","(100, 191.0, 0.38462)","(521, 191.0, 0.27137)"
