0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
"(6715, 200.0, 1.3290583785707681)","(6715, 200.0, 1.420426755437911)","(2472, 200.0, 0.7224753641727498)","(6715, 200.0, 1.364563646642634)","(6715, 200.0, 1.351973932015424)","(6715, 200.0, 1.2666504058627956)","(6715, 200.0, 1.35772033686948)","(6715, 200.0, 1.3821190914529204)","(6715, 200.0, 1.3801061252503057)","(6715, 200.0, 1.450884885953771)","(6715, 200.0, 1.3432828669917587)","(6715, 200.0, 1.3487070106605823)","(6715, 200.0, 1.3379133298280084)","(6715, 200.0, 1.3469247142163259)","(6715, 200.0, 1.2643705387814634)","(6715, 200.0, 1.3153900557724219)","(6715, 200.0, 1.2434041975963837)","(6715, 200.0, 1.370088457090956)","(6715, 200.0, 0.8562399732875963)","(6715, 200.0, 0.8562399732875963)","(6715, 200.0, 1.3536004658481537)","(6715, 200.0, 1.3774288126544145)","(6982, 200.0, 0.5744146991675975)","(6715, 200.0, 1.3863054314770407)","(6715, 200.0, 1.4128267651440927)","(6982, 200.0, 0.6060374125038164)","(6982, 200.0, 0.6947040780495036)","(6715, 200.0, 1.3489130080653489)","(6715, 200.0, 1.2955551940180867)","(6715, 200.0, 1.1715793715071818)","(6715, 200.0, 1.306068096303653)","(6715, 200.0, 1.2814094630498887)","(6715, 200.0, 1.2761003288705526)","(6715, 200.0, 1.326423636494483)","(6715, 200.0, 1.3143159458017268)","(6715, 200.0, 1.318185714727361)","(6715, 200.0, 1.3122807511673713)","(6715, 200.0, 1.403766493316901)","(6715, 200.0, 1.3660181172612678)","(6715, 200.0, 1.4065773663909649)","(6715, 200.0, 1.3857115609610873)","(6715, 200.0, 1.3939664426083818)","(6715, 200.0, 1.3707432155885153)","(6982, 200.0, 0.8501914261345289)","(6715, 200.0, 1.4517752764939735)","(6715, 200.0, 1.2793858042895885)","(6715, 200.0, 1.4321969150848435)","(6715, 200.0, 1.2066167806760155)","(6715, 200.0, 1.2066167806760155)","(6715, 200.0, 1.3662849284198961)","(6715, 200.0, 1.3538964789870505)","(6715, 200.0, 1.2828676308329796)","(6715, 200.0, 1.3048624747874222)","(6715, 200.0, 1.225533426962272)","(7156, 200.0, 0.33496893075375284)","(6982, 200.0, 0.6868413080014578)","(6982, 200.0, 0.8213989154404419)","(7156, 200.0, 0.850297342605251)","(6715, 200.0, 1.4348098592441005)","(6715, 200.0, 1.2585116238478684)","(6982, 200.0, 0.7919936202920661)","(6715, 200.0, 1.1672558507679454)","(6715, 200.0, 1.3860605115520634)","(4368, 200.0, 0.6580230183500966)","(6982, 200.0, 0.628342573960934)","(3378, 200.0, 0.5326536426956292)","(5315, 200.0, 0.9404395006797489)"
"(6982, 199.0, 0.7126903694202971)","(6982, 199.0, 0.8961268255097187)","(6715, 199.0, 1.4472490666528193)","(6982, 199.0, 0.7301402957625467)","(6982, 199.0, 0.7292934889797277)","(6982, 199.0, 0.6401498509109335)","(6982, 199.0, 0.7363432655745646)","(6982, 199.0, 0.7427689519024745)","(6982, 199.0, 0.7524584915110493)","(6982, 199.0, 0.7778091923958887)","(6982, 199.0, 0.7057285694683745)","(6982, 199.0, 0.7271863099256156)","(6982, 199.0, 0.7165689499862039)","(6982, 199.0, 0.7246168015096482)","(6982, 199.0, 0.7535051876534569)","(6982, 199.0, 0.7787060229478038)","(6982, 199.0, 0.7624168957064632)","(6982, 199.0, 0.8159081392466027)","(7156, 199.0, 1.1109771958016925)","(7156, 199.0, 1.1109771958016925)","(6982, 199.0, 0.7409017127130263)","(6982, 199.0, 0.6931409457118224)","(6715, 199.0, 1.0132313557163328)","(6982, 199.0, 0.7230492748464785)","(6982, 199.0, 0.8151421078196471)","(6715, 199.0, 1.3425830536771228)","(6715, 199.0, 1.4046338862523735)","(6982, 199.0, 0.6090388442482366)","(6982, 199.0, 0.48001398738487416)","(6982, 199.0, 0.5741582178964753)","(6982, 199.0, 0.6876063492775965)","(6982, 199.0, 0.6738047577444234)","(6982, 199.0, 0.6904350964924458)","(6982, 199.0, 0.6257239429345767)","(6982, 199.0, 0.6306920576943141)","(6982, 199.0, 0.7088252531479782)","(6982, 199.0, 0.6878877752746371)","(6982, 199.0, 0.8405597612567931)","(6982, 199.0, 0.8256424241985341)","(6982, 199.0, 0.7202343124253785)","(6982, 199.0, 0.7110196855630202)","(6982, 199.0, 0.7752296113015071)","(6982, 199.0, 0.7439583527200587)","(6715, 199.0, 0.9442527779782928)","(6982, 199.0, 0.9040936438949324)","(6982, 199.0, 0.5958611508598968)","(6982, 199.0, 0.8142440333947605)","(6982, 199.0, 0.6044883110588125)","(6982, 199.0, 0.6044883110588125)","(6982, 199.0, 0.5840131662870212)","(6982, 199.0, 0.7125875612192807)","(6982, 199.0, 0.8574044018075848)","(6982, 199.0, 0.7667940248810007)","(6982, 199.0, 0.41261050545349187)","(6715, 199.0, 1.4497027474004154)","(6715, 199.0, 1.1187871959387576)","(6715, 199.0, 1.41754597653967)","(6982, 199.0, 0.9709123268774463)","(6982, 199.0, 0.826535601509369)","(6982, 199.0, 0.7005353057308308)","(1045, 199.0, 0.31277260576442223)","(6982, 199.0, 0.4882255474184037)","(7156, 199.0, 0.6081690081451712)","(7048, 199.0, 0.4280412027480532)","(6715, 199.0, 1.37411834935337)","(5121, 199.0, 0.7273018159873255)","(6204, 199.0, 0.8375803791766093)"
"(7156, 198.0, 0.4188931448759122)","(7156, 198.0, 0.5120117930113096)","(2261, 198.0, 1.4610271410853608)","(7156, 198.0, 0.4300187454389391)","(7156, 198.0, 0.43846686214537467)","(7156, 198.0, 0.5015319778767544)","(7156, 198.0, 0.4381802053321822)","(7156, 198.0, 0.41961942900422544)","(7156, 198.0, 0.42350636925731605)","(7156, 198.0, 0.3293926041904573)","(7156, 198.0, 0.45007440147409306)","(7156, 198.0, 0.45502452849026825)","(7156, 198.0, 0.45955453337070884)","(7156, 198.0, 0.4590490225856165)","(7156, 198.0, 0.5331245808566027)","(7156, 198.0, 0.5029802809697252)","(7156, 198.0, 0.5395805360353998)","(7156, 198.0, 0.4482910360849802)","(6982, 198.0, 0.5497003253061682)","(6982, 198.0, 0.5497003253061682)","(7156, 198.0, 0.42184491579510197)","(7156, 198.0, 0.41907880288591837)","(7156, 198.0, 0.9644637648941066)","(7156, 198.0, 0.42214103267348696)","(7156, 198.0, 0.44182458586901857)","(7156, 198.0, 0.4016027374005987)","(7156, 198.0, 0.407592559800207)","(7156, 198.0, 0.4599774730998814)","(7156, 198.0, 0.5359210377466634)","(7156, 198.0, 0.6289014724053287)","(7156, 198.0, 0.5632745409566642)","(7156, 198.0, 0.5651873107180505)","(7156, 198.0, 0.5914084435074176)","(7156, 198.0, 0.4146389120177874)","(7156, 198.0, 0.41685712758750587)","(7156, 198.0, 0.4649963382957981)","(7156, 198.0, 0.45800865899927085)","(7156, 198.0, 0.46292430679305946)","(7156, 198.0, 0.47327152986793886)","(7156, 198.0, 0.4011577747587639)","(7156, 198.0, 0.42250518088364397)","(7156, 198.0, 0.40290686974003315)","(7156, 198.0, 0.4673637589250692)","(7156, 198.0, 0.8772289864123711)","(7156, 198.0, 0.5311955089016177)","(7156, 198.0, 0.4848174536635493)","(7156, 198.0, 0.41712055857635805)","(7156, 198.0, 0.622667167383129)","(7156, 198.0, 0.622667167383129)","(7156, 198.0, 0.42350538519468606)","(7156, 198.0, 0.43802071831954414)","(7156, 198.0, 0.590775018509027)","(7156, 198.0, 0.6698061772468609)","(7156, 198.0, 0.6782383742122414)","(5686, 198.0, 0.39626368534135514)","(7156, 198.0, 0.6169399469831768)","(7262, 198.0, 0.8661056354171633)","(6715, 198.0, 1.0137481875518342)","(7156, 198.0, 0.42336748304232047)","(7156, 198.0, 0.588959766000865)","(4103, 198.0, 0.19058526853703395)","(7156, 198.0, 0.7180085093869013)","(6982, 198.0, 0.9707891681198701)","(6715, 198.0, 1.4481174845664777)","(7156, 198.0, 0.3785084220795954)","(1386, 198.0, 0.26310822868165873)","(7048, 198.0, 0.9849449746103608)"
"(2472, 197.0, 0.6135025302310687)","(2472, 197.0, 0.7133399599017295)","(7148, 197.0, 0.2551876588522389)","(2472, 197.0, 0.6314327988598765)","(2472, 197.0, 0.6145456680977527)","(2472, 197.0, 0.5359887079519002)","(2472, 197.0, 0.6207947254033913)","(2472, 197.0, 0.6393582439276431)","(2472, 197.0, 0.6464003165468701)","(2472, 197.0, 0.7202073277866913)","(2472, 197.0, 0.6099305046872302)","(2472, 197.0, 0.6112567537493967)","(2472, 197.0, 0.6028660733312942)","(2472, 197.0, 0.6091672048867315)","(2472, 197.0, 0.549805136307362)","(2472, 197.0, 0.5879259335851216)","(2472, 197.0, 0.534247315126547)","(2472, 197.0, 0.6461730816967551)","(4368, 197.0, 0.7387194846150217)","(4368, 197.0, 0.7387194846150217)","(2472, 197.0, 0.6241168369988267)","(2472, 197.0, 0.6301264493744305)","(2472, 197.0, 0.43869592815601915)","(2472, 197.0, 0.6368952842878127)","(2472, 197.0, 0.6939246153429935)","(2472, 197.0, 0.6408310639048579)","(2472, 197.0, 0.658543684109409)","(2472, 197.0, 0.6110085925012492)","(2472, 197.0, 0.5931578106982099)","(2472, 197.0, 0.4591398930729785)","(2472, 197.0, 0.5765378750897618)","(2472, 197.0, 0.5563318888438163)","(2472, 197.0, 0.5726334323851513)","(2472, 197.0, 0.5990418907718595)","(2472, 197.0, 0.5973079513933989)","(2472, 197.0, 0.6010295898001309)","(2472, 197.0, 0.5924778868067471)","(2472, 197.0, 0.6890973333645528)","(2472, 197.0, 0.6550980170116761)","(2472, 197.0, 0.6551787698726412)","(2472, 197.0, 0.6388917106000991)","(2472, 197.0, 0.6653110364427363)","(2472, 197.0, 0.6318060830877773)","(2472, 197.0, 0.36386054602693224)","(2472, 197.0, 0.7138191328281516)","(2472, 197.0, 0.5602878727124353)","(2472, 197.0, 0.6802086441203089)","(2472, 197.0, 0.478970356078275)","(2472, 197.0, 0.478970356078275)","(2472, 197.0, 0.6328552394174597)","(2472, 197.0, 0.615548634549173)","(2472, 197.0, 0.5935097962452027)","(2472, 197.0, 0.5723435146085057)","(2472, 197.0, 0.5739261775677622)","(388, 197.0, 0.1890602174448991)","(2472, 197.0, 0.40458592732843196)","(7156, 197.0, 0.4375315949499156)","(2472, 197.0, 0.5328114691058953)","(2472, 197.0, 0.6747207284301151)","(2472, 197.0, 0.5278107615598857)","(7084, 197.0, 0.5500073859352557)","(2472, 197.0, 0.5081530678368478)","(2472, 197.0, 0.7208223158974286)","(7266, 197.0, 0.7014749306945026)","(2472, 197.0, 0.6719604934044088)","(1866, 197.0, 1.4890642805260161)","(2138, 197.0, 0.7522876293652038)"
"(7262, 196.0, 0.7954352351019467)","(7262, 196.0, 0.8886130017000602)","(5692, 196.0, 0.36452616194950704)","(7262, 196.0, 0.8555632487868272)","(7262, 196.0, 0.8442782515621998)","(7262, 196.0, 0.8394097888350442)","(7262, 196.0, 0.8460404119939325)","(7262, 196.0, 0.8553290645764839)","(7262, 196.0, 0.8546088084231438)","(7262, 196.0, 0.8413416082800228)","(7262, 196.0, 0.8605674455613928)","(7262, 196.0, 0.8596890485026325)","(7262, 196.0, 0.8557027684872763)","(7262, 196.0, 0.8638913942604808)","(7262, 196.0, 0.8062943068441218)","(7262, 196.0, 0.8238239371977973)","(7262, 196.0, 0.7710997575000105)","(7262, 196.0, 0.8065522801484231)","(2472, 196.0, 0.5267964276001436)","(2472, 196.0, 0.5267964276001436)","(7262, 196.0, 0.8196020633035072)","(7262, 196.0, 0.8693932505379405)","(7262, 196.0, 1.104229491787303)","(7262, 196.0, 0.8741134332119062)","(7262, 196.0, 0.8722119398130775)","(7262, 196.0, 0.8373576095332328)","(7262, 196.0, 0.894540891474871)","(7262, 196.0, 0.9109096594698493)","(7262, 196.0, 0.942866097932894)","(7262, 196.0, 0.8733597603082188)","(7262, 196.0, 0.9495358457352175)","(7262, 196.0, 0.9279953157488323)","(7262, 196.0, 0.9486519829527581)","(7262, 196.0, 0.8234739615132521)","(7262, 196.0, 0.8019404464130947)","(7262, 196.0, 0.8424165852632942)","(7262, 196.0, 0.8355964606643042)","(7262, 196.0, 0.8708346160011644)","(7262, 196.0, 0.8233026878734045)","(7262, 196.0, 0.8746786479032674)","(7262, 196.0, 0.8828980428267847)","(7262, 196.0, 0.8317934970634303)","(7262, 196.0, 0.8931196154198021)","(7262, 196.0, 0.7748554061787458)","(7262, 196.0, 0.9445486876177551)","(7262, 196.0, 0.8332516193228074)","(7262, 196.0, 0.870524940532539)","(7262, 196.0, 0.9188620678783531)","(7262, 196.0, 0.9188620678783531)","(7262, 196.0, 0.8971397284685322)","(7262, 196.0, 0.8550216113137334)","(7262, 196.0, 0.8087365383434758)","(7262, 196.0, 1.0161269560619033)","(7262, 196.0, 1.0145767246330404)","(4533, 196.0, 0.4324328859144647)","(7262, 196.0, 0.6904100052779553)","(2472, 196.0, 0.666372987911756)","(1351, 196.0, 0.7609173505915706)","(7262, 196.0, 0.8650049871877918)","(7262, 196.0, 0.907893488786241)","(6925, 196.0, 0.5380466332794336)","(7262, 196.0, 1.0142206771467441)","(4368, 196.0, 0.7070239069630538)","(7257, 196.0, 0.23531369450465173)","(7262, 196.0, 0.8492199763617504)","(6627, 196.0, 0.44004828930820405)","(418, 196.0, 1.1051395924155871)"
"(4368, 195.0, 0.6564723800651314)","(4368, 195.0, 0.7147367058356834)","(1493, 195.0, 0.8032556998940654)","(4368, 195.0, 0.6186694981387039)","(4368, 195.0, 0.6064034796639249)","(4368, 195.0, 0.5932879592324418)","(4368, 195.0, 0.6326195487022432)","(4368, 195.0, 0.6468237987252198)","(4368, 195.0, 0.641324873678686)","(4368, 195.0, 0.7157459027362089)","(4368, 195.0, 0.6111599083969103)","(4368, 195.0, 0.6065228568161375)","(4368, 195.0, 0.6074596950092754)","(4368, 195.0, 0.6043711433083515)","(4368, 195.0, 0.6116633318833745)","(4368, 195.0, 0.6303561659871111)","(4368, 195.0, 0.6161327653851628)","(4368, 195.0, 0.6722386890806905)","(7262, 195.0, 1.1275259333363956)","(7262, 195.0, 1.1275259333363956)","(4368, 195.0, 0.6304583541626902)","(4368, 195.0, 0.5802966836009139)","(3377, 195.0, 0.534310754709338)","(4368, 195.0, 0.6135597418873472)","(4368, 195.0, 0.6928460507097155)","(4368, 195.0, 0.6466798174082827)","(4368, 195.0, 0.6760521177835338)","(4368, 195.0, 0.6308920567116653)","(4368, 195.0, 0.6310125312303774)","(4368, 195.0, 0.48965964715488125)","(4368, 195.0, 0.5656477047372828)","(4368, 195.0, 0.5458393222935847)","(4368, 195.0, 0.5442415754685901)","(4368, 195.0, 0.6307790656467169)","(4368, 195.0, 0.6337631568851662)","(4368, 195.0, 0.6269382532751603)","(4368, 195.0, 0.6173030933174954)","(4368, 195.0, 0.6708525866626408)","(4368, 195.0, 0.7088826050043507)","(4368, 195.0, 0.5865840669356238)","(4368, 195.0, 0.5813555715444967)","(4368, 195.0, 0.6803581425037455)","(4368, 195.0, 0.5998154938823658)","(4368, 195.0, 0.5476866202618436)","(4368, 195.0, 0.667538220256073)","(4368, 195.0, 0.5696477733209665)","(4368, 195.0, 0.641692788532907)","(4368, 195.0, 0.5118934080435353)","(4368, 195.0, 0.5118934080435353)","(4368, 195.0, 0.6591324538743619)","(4368, 195.0, 0.6105806650564738)","(4368, 195.0, 0.6956888132166328)","(4368, 195.0, 0.532078774287934)","(4368, 195.0, 0.6033095840893499)","(1569, 195.0, 0.8327414309497952)","(4368, 195.0, 0.567258848019776)","(121, 195.0, 1.2419309426596612)","(4368, 195.0, 0.8619336269410819)","(4368, 195.0, 0.6244985088769078)","(4368, 195.0, 0.5056866929343026)","(2733, 195.0, 0.4692809477452357)","(4368, 195.0, 0.5353496344931974)","(7262, 195.0, 0.896409086254296)","(1174, 195.0, 0.3969056506724417)","(4368, 195.0, 0.6841451912396201)","(4500, 195.0, 0.4351003960184185)","(1150, 195.0, 0.8433541741227134)"
"(3377, 194.0, 0.7991504001564486)","(3377, 194.0, 0.9877532685889076)","(6982, 194.0, 0.7184084509821749)","(3377, 194.0, 0.8015280800943414)","(3377, 194.0, 0.800062234442192)","(3377, 194.0, 0.7202016468547121)","(3377, 194.0, 0.8144892119698735)","(3377, 194.0, 0.8245862249939303)","(3377, 194.0, 0.8310745150777039)","(3377, 194.0, 0.862970557644742)","(3377, 194.0, 0.7758476136984932)","(3377, 194.0, 0.7981777996720861)","(3377, 194.0, 0.7879542163011045)","(3377, 194.0, 0.7960779524074029)","(3377, 194.0, 0.8329836426853685)","(3377, 194.0, 0.8655716412676345)","(3377, 194.0, 0.8431908744486131)","(3377, 194.0, 0.9048633925750814)","(1402, 194.0, 1.2436100719429437)","(1402, 194.0, 1.2436100719429437)","(3377, 194.0, 0.8168142465460279)","(3377, 194.0, 0.7445340102552674)","(4368, 194.0, 0.5372372359644834)","(3377, 194.0, 0.7912147219594685)","(3377, 194.0, 0.9048859259803438)","(3377, 194.0, 0.6672463413320358)","(1402, 194.0, 0.9768942563408857)","(3377, 194.0, 0.6793622528009876)","(3377, 194.0, 0.532188559885347)","(3377, 194.0, 0.5974127748441511)","(3377, 194.0, 0.7427929043802406)","(3377, 194.0, 0.723049042251665)","(3377, 194.0, 0.7201259730435129)","(3377, 194.0, 0.7038904028315593)","(3377, 194.0, 0.7079951471986724)","(3377, 194.0, 0.7915248127089857)","(3377, 194.0, 0.7672110961195542)","(3377, 194.0, 0.9228943988977312)","(3377, 194.0, 0.9235222984282964)","(3377, 194.0, 0.7682683401991999)","(3377, 194.0, 0.7678640528392714)","(3377, 194.0, 0.8645528434928461)","(3377, 194.0, 0.8073237573852635)","(2261, 194.0, 0.9470040588842545)","(3377, 194.0, 0.9813366614580813)","(3377, 194.0, 0.6445011041597768)","(3377, 194.0, 0.8874127934163266)","(3377, 194.0, 0.6479048388682526)","(3377, 194.0, 0.6479048388682526)","(1402, 194.0, 1.0269855057008686)","(3377, 194.0, 0.778413970779329)","(3377, 194.0, 0.9539903964594689)","(3377, 194.0, 0.8081462145979292)","(1402, 194.0, 1.1642092080005186)","(4225, 194.0, 0.34312872157590146)","(3377, 194.0, 0.755521181723628)","(4362, 194.0, 0.5753713759285854)","(7262, 194.0, 0.40181305778390797)","(3377, 194.0, 0.893604762242791)","(3377, 194.0, 0.7558215057137758)","(2295, 194.0, 0.776330897824289)","(3377, 194.0, 0.4922622130044108)","(1402, 194.0, 0.8348244072256477)","(639, 194.0, 0.1932275948017186)","(3377, 194.0, 0.6859252860404182)","(5498, 194.0, 0.7726716896586803)","(5797, 194.0, 0.7939624947125676)"
"(1402, 193.0, 0.882519522208263)","(1402, 193.0, 0.8824701693393474)","(5815, 193.0, 0.4548782458012407)","(1402, 193.0, 0.926430416753166)","(1402, 193.0, 0.9124447786924504)","(1402, 193.0, 0.9247161489596891)","(1402, 193.0, 0.9061802309075534)","(1402, 193.0, 0.9172446685684092)","(1402, 193.0, 0.9164523101414168)","(1402, 193.0, 0.9250759105233379)","(1402, 193.0, 0.9308257582344075)","(1402, 193.0, 0.922436285441529)","(1402, 193.0, 0.9203136541620976)","(1402, 193.0, 0.925432204198736)","(1402, 193.0, 0.8421683846938296)","(1402, 193.0, 0.8523824632129096)","(1402, 193.0, 0.8039040264359446)","(1402, 193.0, 0.8488601000968222)","(3377, 193.0, 0.4690913007713075)","(3377, 193.0, 0.4690913007713075)","(1402, 193.0, 0.8916133352394251)","(1402, 193.0, 0.9673243074248995)","(1664, 193.0, 0.4664441853350142)","(1402, 193.0, 0.950544369909029)","(1402, 193.0, 0.91695460066908)","(1402, 193.0, 0.9871680451444531)","(3377, 193.0, 0.7779763168779414)","(1402, 193.0, 1.0141769173160846)","(1402, 193.0, 1.0888206118275023)","(1402, 193.0, 0.9808457673723382)","(1402, 193.0, 0.9847934626247284)","(1402, 193.0, 0.9776846662556824)","(4362, 193.0, 0.4237796832890093)","(1402, 193.0, 0.9497237478574241)","(1402, 193.0, 0.9372825673565609)","(1402, 193.0, 0.9113726790724176)","(1402, 193.0, 0.9183617899578806)","(1402, 193.0, 0.8933235834054308)","(1402, 193.0, 0.8359962174625185)","(1402, 193.0, 0.9697728227290907)","(4362, 193.0, 0.44260578417053353)","(1402, 193.0, 0.8949548025546594)","(1402, 193.0, 0.9490464339094645)","(3377, 193.0, 0.8896554114221215)","(1351, 193.0, 0.3766466140188331)","(1402, 193.0, 0.9704785379878268)","(1402, 193.0, 0.9133157438950822)","(2261, 193.0, 1.195615356303563)","(2261, 193.0, 1.195615356303563)","(3377, 193.0, 0.6598836064941064)","(1402, 193.0, 0.9296450424244956)","(1402, 193.0, 0.7802953770675978)","(1402, 193.0, 1.0033330527671371)","(3377, 193.0, 0.4106734059334994)","(6982, 193.0, 0.660210298556689)","(1402, 193.0, 0.7802746881988548)","(3509, 193.0, 0.47682661802020637)","(3377, 193.0, 1.0660039233922665)","(1402, 193.0, 0.9077568429749565)","(1402, 193.0, 0.9555014977331671)","(131, 193.0, 0.24001809567197213)","(1402, 193.0, 1.1138080502276864)","(4362, 193.0, 0.7647358228452432)","(5029, 193.0, 0.5437948968328303)","(1402, 193.0, 0.9908480933168462)","(6132, 193.0, 0.8832163133422334)","(91, 193.0, 0.9529375508748444)"
"(1351, 192.0, 0.2608216793519229)","(1351, 192.0, 0.37619474715214485)","(3999, 192.0, 0.5780420305732747)","(1351, 192.0, 0.25140329857274396)","(1351, 192.0, 0.2597891670497432)","(1351, 192.0, 0.3234632187499286)","(1351, 192.0, 0.2681801708805036)","(1351, 192.0, 0.254006856325627)","(1351, 192.0, 0.2553743848687331)","(1351, 192.0, 0.19851214672515596)","(1351, 192.0, 0.270480394226806)","(1351, 192.0, 0.27247247339764336)","(1351, 192.0, 0.2779570971608905)","(1351, 192.0, 0.27702604274040254)","(1351, 192.0, 0.3593270861961879)","(1351, 192.0, 0.33861680582606024)","(1351, 192.0, 0.3735227631365564)","(1351, 192.0, 0.2930485385545256)","(4362, 192.0, 0.5055799117237181)","(4362, 192.0, 0.5055799117237181)","(1351, 192.0, 0.25094149303796437)","(1351, 192.0, 0.23181525332667596)","(2261, 192.0, 0.9248801213683914)","(1351, 192.0, 0.2345332200129586)","(1351, 192.0, 0.2897679225495549)","(1351, 192.0, 0.2496298121861625)","(1351, 192.0, 0.24231389085682886)","(1351, 192.0, 0.282715596398108)","(1351, 192.0, 0.3729743937945649)","(1351, 192.0, 0.4379590549791733)","(1351, 192.0, 0.38138773026623857)","(1351, 192.0, 0.37090780227828213)","(1402, 192.0, 0.9811283355412107)","(1351, 192.0, 0.2500698201412986)","(1351, 192.0, 0.25161314358564746)","(2261, 192.0, 1.3505121048147666)","(2261, 192.0, 1.339747397066583)","(1351, 192.0, 0.3141681558065123)","(1351, 192.0, 0.3464204038305928)","(1351, 192.0, 0.2190591034284074)","(1351, 192.0, 0.26696342624120584)","(1351, 192.0, 0.2509925850012245)","(1351, 192.0, 0.27635473091365975)","(1351, 192.0, 0.6947097323696674)","(2261, 192.0, 1.4804455850936502)","(1351, 192.0, 0.3034640664507213)","(1351, 192.0, 0.25295154771899686)","(1402, 192.0, 0.9872861057773625)","(1402, 192.0, 0.9872861057773625)","(1351, 192.0, 0.2604237362979054)","(1351, 192.0, 0.25214658100702664)","(1351, 192.0, 0.4497975402058046)","(1351, 192.0, 0.47942743305207486)","(2261, 192.0, 1.1959332411541803)","(5107, 192.0, 0.5429699239555654)","(1351, 192.0, 0.4554455194579893)","(7028, 192.0, 0.3839384427208732)","(4362, 192.0, 0.8397589134009972)","(1351, 192.0, 0.24895013018516604)","(1351, 192.0, 0.3870682107397378)","(5580, 192.0, 0.3229578268391504)","(1351, 192.0, 0.5389625088556717)","(1351, 192.0, 0.47910546724368663)","(112, 192.0, 0.34789535860041926)","(2261, 192.0, 1.3970647055032788)","(5417, 192.0, 0.29005390613046134)","(2808, 192.0, 0.9763947468015344)"
"(2261, 191.0, 1.363380821641788)","(2261, 191.0, 1.4712026717915256)","(1274, 191.0, 0.198837472887849)","(2261, 191.0, 1.3876589356289604)","(2261, 191.0, 1.3713740439149704)","(2261, 191.0, 1.2813550888848382)","(2261, 191.0, 1.3815090430443429)","(2261, 191.0, 1.4050986025389343)","(2261, 191.0, 1.4076410268593753)","(2261, 191.0, 1.4848975320965636)","(1664, 191.0, 0.6947218220722865)","(1664, 191.0, 0.7000451269705483)","(1664, 191.0, 0.6887705954195736)","(1664, 191.0, 0.6980156966973217)","(2261, 191.0, 1.2958856397471246)","(2261, 191.0, 1.3463073206716858)","(2261, 191.0, 1.2763679535161427)","(2261, 191.0, 1.4077785430308283)","(7048, 191.0, 1.1442837831791284)","(7048, 191.0, 1.1442837831791284)","(2261, 191.0, 1.3801037944352625)","(2261, 191.0, 1.3782073869521043)","(2532, 191.0, 0.6717657549731039)","(2261, 191.0, 1.3987740439959926)","(2261, 191.0, 1.4561311191231112)","(2261, 191.0, 1.3594186505916945)","(2261, 191.0, 1.423021645380114)","(2261, 191.0, 1.3556684775775971)","(2261, 191.0, 1.288070874688829)","(2261, 191.0, 1.1476718848161587)","(2261, 191.0, 1.3150746133956177)","(2261, 191.0, 1.2897293674523993)","(2261, 191.0, 1.2878328996684831)","(2261, 191.0, 1.3397549069485166)","(2261, 191.0, 1.331731369582318)","(1351, 191.0, 0.2951515386131613)","(1351, 191.0, 0.2828060626188033)","(2261, 191.0, 1.4474322429115067)","(2261, 191.0, 1.4136963851595898)","(2261, 191.0, 1.405319847603237)","(1402, 191.0, 0.9606751479020356)","(2261, 191.0, 1.4293953836331552)","(2261, 191.0, 1.388783453720634)","(1664, 191.0, 0.38631327794902826)","(1402, 191.0, 0.9278996965896783)","(2261, 191.0, 1.2768875530115793)","(2261, 191.0, 1.4511773673300183)","(1664, 191.0, 0.5597511197115822)","(1664, 191.0, 0.5597511197115822)","(2261, 191.0, 1.3726226173602487)","(2261, 191.0, 1.370610133180537)","(2261, 191.0, 1.3324662135130916)","(2261, 191.0, 1.298961923037891)","(1351, 191.0, 0.5152834602701482)","(2382, 191.0, 1.2827381302589833)","(1664, 191.0, 0.4848255242211297)","(1351, 191.0, 0.2802458049883412)","(1680, 191.0, 0.7813542161516517)","(2261, 191.0, 1.4463653281430477)","(2261, 191.0, 1.2636831357135303)","(5095, 191.0, 0.502222554833346)","(2261, 191.0, 1.142249311819447)","(3377, 191.0, 1.0544094917031863)","(2804, 191.0, 0.35082639555972495)","(1351, 191.0, 0.22256739460383845)","(100, 191.0, 0.42170385981707037)","(521, 191.0, 0.8262323636390007)"
