0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"(2954, 200.0, 0.93966)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93966)","(7067, 200.0, 0.90486)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93975)","(815, 200.0, 0.44776)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93966)","(6087, 200.0, 0.2934)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93593)","(7067, 200.0, 0.90583)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93593)","(2954, 200.0, 0.93966)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93975)","(2954, 200.0, 0.93913)","(2954, 200.0, 0.93593)","(1651, 200.0, 0.99988)"
"(7067, 199.0, 0.90622)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90301)","(7008, 199.0, 0.43017)","(7008, 199.0, 0.43432)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90622)","(2954, 199.0, 0.93913)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90583)","(7008, 199.0, 0.43017)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90622)","(5756, 199.0, 0.37423)","(7067, 199.0, 0.90583)","(7008, 199.0, 0.43348)","(7008, 199.0, 0.43017)","(7008, 199.0, 0.43432)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90486)","(7067, 199.0, 0.90301)","(7067, 199.0, 0.90301)","(2954, 199.0, 0.93975)","(7067, 199.0, 0.90583)","(7008, 199.0, 0.43017)","(7067, 199.0, 0.90622)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90583)","(7067, 199.0, 0.90583)","(1552, 199.0, 0.94853)","(7067, 199.0, 0.90301)","(2251, 199.0, 0.34051)"
"(7008, 198.0, 0.43471)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43017)","(1680, 198.0, 0.42252)","(1680, 198.0, 0.42787)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43471)","(1680, 198.0, 0.42639)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43017)","(1680, 198.0, 0.42817)","(1680, 198.0, 0.42252)","(1680, 198.0, 0.42787)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43432)","(1680, 198.0, 0.42252)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43471)","(7296, 198.0, 0.27575)","(7008, 198.0, 0.43432)","(1552, 198.0, 0.94853)","(1552, 198.0, 0.94788)","(1552, 198.0, 0.94913)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43348)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43017)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43432)","(7067, 198.0, 0.90301)","(7008, 198.0, 0.43471)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43432)","(7008, 198.0, 0.43432)","(7067, 198.0, 0.90486)","(7008, 198.0, 0.43017)","(3116, 198.0, 1.36281)"
"(1680, 197.0, 0.42817)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42252)","(4130, 197.0, 0.70372)","(1965, 197.0, 1.09695)","(1965, 197.0, 1.10062)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42817)","(7008, 197.0, 0.43348)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42252)","(7008, 197.0, 0.43471)","(7008, 197.0, 0.43017)","(7008, 197.0, 0.43432)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42787)","(2954, 197.0, 0.93593)","(1680, 197.0, 0.42639)","(1552, 197.0, 0.94952)","(1680, 197.0, 0.42817)","(3138, 197.0, 0.2516)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42639)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42252)","(1552, 197.0, 0.94913)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42252)","(1680, 197.0, 0.42817)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42787)","(1680, 197.0, 0.42639)","(1552, 197.0, 0.94788)","(1885, 197.0, 0.30901)"
"(1552, 196.0, 0.94952)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94788)","(3938, 196.0, 0.38641)","(7067, 196.0, 0.90301)","(7067, 196.0, 0.90583)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94952)","(1965, 196.0, 1.09908)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94853)","(1680, 196.0, 0.42817)","(1552, 196.0, 0.94952)","(3383, 196.0, 0.42034)","(1552, 196.0, 0.94913)","(7067, 196.0, 0.90486)","(7067, 196.0, 0.90301)","(7067, 196.0, 0.90583)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94853)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94788)","(1680, 196.0, 0.42787)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94788)","(1552, 196.0, 0.94952)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94913)","(1552, 196.0, 0.94913)","(7008, 196.0, 0.43348)","(1680, 196.0, 0.42252)","(5709, 196.0, 0.25235)"
"(6178, 195.0, 0.94102)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.9397)","(6331, 195.0, 0.39503)","(1552, 195.0, 0.94788)","(1552, 195.0, 0.94913)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.94044)","(1965, 195.0, 1.09695)","(6178, 195.0, 0.93974)","(7157, 195.0, 0.37126)","(6178, 195.0, 0.94102)","(1651, 195.0, 0.9995)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.9397)","(7157, 195.0, 0.37197)","(6178, 195.0, 0.94044)","(6178, 195.0, 0.9397)","(6178, 195.0, 0.94102)","(6178, 195.0, 0.94044)","(1941, 195.0, 0.65897)","(7157, 195.0, 0.37197)","(6178, 195.0, 0.93974)","(6178, 195.0, 0.9397)","(5351, 195.0, 0.55967)"
"(1965, 194.0, 1.10138)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09695)","(1855, 194.0, 0.63214)","(815, 194.0, 0.44776)","(815, 194.0, 0.45108)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.10138)","(1552, 194.0, 0.94853)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.10062)","(6854, 194.0, 0.5565)","(1965, 194.0, 1.09908)","(1941, 194.0, 0.65929)","(1965, 194.0, 1.10138)","(4965, 194.0, 0.47117)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.10138)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.09695)","(6178, 194.0, 0.94044)","(1965, 194.0, 1.10062)","(1965, 194.0, 1.09695)","(1965, 194.0, 1.10138)","(7157, 194.0, 0.37197)","(1965, 194.0, 1.10062)","(1941, 194.0, 0.65897)","(1965, 194.0, 1.09908)","(1965, 194.0, 1.09695)","(3148, 194.0, 0.42055)"
"(1941, 193.0, 0.65929)","(1941, 193.0, 0.65929)","(7157, 193.0, 0.37126)","(7157, 193.0, 0.37197)","(7157, 193.0, 0.37265)","(1941, 193.0, 0.65929)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65929)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65623)","(7157, 193.0, 0.37126)","(7157, 193.0, 0.37126)","(7157, 193.0, 0.37265)","(7157, 193.0, 0.37452)","(7157, 193.0, 0.37197)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65623)","(1795, 193.0, 0.21738)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65929)","(7157, 193.0, 0.37126)","(7157, 193.0, 0.37265)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65623)","(7157, 193.0, 0.37126)","(7157, 193.0, 0.37452)","(7157, 193.0, 0.37197)","(1941, 193.0, 0.65929)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65929)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65826)","(7157, 193.0, 0.37452)","(7157, 193.0, 0.37265)","(7157, 193.0, 0.37452)","(7157, 193.0, 0.37126)","(1941, 193.0, 0.65897)","(7121, 193.0, 0.27005)","(7157, 193.0, 0.37265)","(1965, 193.0, 1.10138)","(1941, 193.0, 0.65929)","(6174, 193.0, 0.44933)","(7157, 193.0, 0.37197)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65897)","(7157, 193.0, 0.37126)","(7157, 193.0, 0.37265)","(7157, 193.0, 0.37452)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65897)","(1941, 193.0, 0.65623)","(1941, 193.0, 0.65929)","(2404, 193.0, 0.93339)","(6178, 193.0, 0.94044)","(3732, 193.0, 0.95674)","(1941, 193.0, 0.65826)","(1941, 193.0, 0.65623)","(1900, 193.0, 0.6017)"
"(7157, 192.0, 0.37126)","(7157, 192.0, 0.37126)","(1941, 192.0, 0.65929)","(1941, 192.0, 0.65897)","(1941, 192.0, 0.65826)","(7157, 192.0, 0.37126)","(7157, 192.0, 0.37265)","(7157, 192.0, 0.37452)","(7157, 192.0, 0.37126)","(7157, 192.0, 0.37265)","(7157, 192.0, 0.37452)","(7157, 192.0, 0.37197)","(7157, 192.0, 0.37452)","(1941, 192.0, 0.65929)","(1941, 192.0, 0.65929)","(1941, 192.0, 0.65826)","(1941, 192.0, 0.65623)","(1941, 192.0, 0.65897)","(7157, 192.0, 0.37197)","(7157, 192.0, 0.37265)","(7157, 192.0, 0.37197)","(7157, 192.0, 0.37452)","(3732, 192.0, 0.95148)","(6188, 192.0, 0.8323)","(6188, 192.0, 0.83675)","(7157, 192.0, 0.37265)","(7157, 192.0, 0.37126)","(1941, 192.0, 0.65929)","(815, 192.0, 0.45071)","(7157, 192.0, 0.37197)","(7157, 192.0, 0.37452)","(1941, 192.0, 0.65929)","(1941, 192.0, 0.65623)","(1941, 192.0, 0.65897)","(7157, 192.0, 0.37126)","(7157, 192.0, 0.37452)","(7157, 192.0, 0.37126)","(7157, 192.0, 0.37197)","(7157, 192.0, 0.37452)","(7157, 192.0, 0.37265)","(7157, 192.0, 0.37265)","(7157, 192.0, 0.37265)","(1941, 192.0, 0.65623)","(1941, 192.0, 0.65826)","(1941, 192.0, 0.65623)","(1941, 192.0, 0.65929)","(7157, 192.0, 0.37197)","(4705, 192.0, 0.46838)","(1941, 192.0, 0.65826)","(6178, 192.0, 0.94102)","(7157, 192.0, 0.37126)","(588, 192.0, 0.4438)","(1941, 192.0, 0.65897)","(815, 192.0, 0.45071)","(815, 192.0, 0.44776)","(815, 192.0, 0.45108)","(1941, 192.0, 0.65929)","(1941, 192.0, 0.65826)","(1941, 192.0, 0.65623)","(7157, 192.0, 0.37452)","(1965, 192.0, 1.10062)","(7157, 192.0, 0.37197)","(2902, 192.0, 1.49145)","(7157, 192.0, 0.37126)","(1938, 192.0, 0.74718)","(2902, 192.0, 1.49487)","(1965, 192.0, 1.10062)","(7176, 192.0, 0.63876)","(7157, 192.0, 0.37452)","(5023, 192.0, 0.3733)"
"(2930, 191.0, 1.16705)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16635)","(2404, 191.0, 0.92971)","(6178, 191.0, 0.9397)","(6178, 191.0, 0.94044)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16705)","(1941, 191.0, 0.65826)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16635)","(1938, 191.0, 0.74738)","(1938, 191.0, 0.74584)","(1938, 191.0, 0.74718)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16662)","(2902, 191.0, 1.49145)","(2930, 191.0, 1.16594)","(3732, 191.0, 0.95719)","(2930, 191.0, 1.16705)","(1885, 191.0, 0.30903)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16705)","(2930, 191.0, 1.16594)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16635)","(2930, 191.0, 1.16662)","(2930, 191.0, 1.16662)","(7157, 191.0, 0.37452)","(2930, 191.0, 1.16705)","(1941, 191.0, 0.65897)","(3084, 191.0, 0.44583)","(6178, 191.0, 0.94044)","(6713, 191.0, 1.36532)","(2930, 191.0, 1.16635)","(5156, 191.0, 0.31028)"
