0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
"(7229, 200.0, 0.31907)","(74, 200.0, 1.05215)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32098)","(1316, 200.0, 0.54989)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32025)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.32098)","(7229, 200.0, 0.31907)","(7229, 200.0, 0.32229)","(5178, 200.0, 0.33469)","(7229, 200.0, 0.32229)","(7229, 200.0, 0.32025)","(4717, 200.0, 0.56573)","(7229, 200.0, 0.31907)","(5178, 200.0, 0.33688)","(893, 200.0, 0.38864)"
"(1680, 199.0, 0.42829)","(2206, 199.0, 0.38555)","(1680, 199.0, 0.42648)","(1680, 199.0, 0.42712)","(853, 199.0, 0.37204)","(6210, 199.0, 0.59641)","(6210, 199.0, 0.59696)","(6210, 199.0, 0.59842)","(6210, 199.0, 0.59232)","(1680, 199.0, 0.42712)","(1680, 199.0, 0.42829)","(6210, 199.0, 0.59842)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42648)","(1680, 199.0, 0.42304)","(1680, 199.0, 0.42712)","(6210, 199.0, 0.59641)","(6210, 199.0, 0.59232)","(6210, 199.0, 0.59696)","(1680, 199.0, 0.42304)","(6210, 199.0, 0.59842)","(6210, 199.0, 0.59232)","(1680, 199.0, 0.42712)","(1680, 199.0, 0.42304)","(1680, 199.0, 0.42648)","(1680, 199.0, 0.42304)","(853, 199.0, 0.37592)","(853, 199.0, 0.37204)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42304)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42304)","(1680, 199.0, 0.42712)","(6210, 199.0, 0.59232)","(1680, 199.0, 0.42712)","(1680, 199.0, 0.42829)","(6210, 199.0, 0.59696)","(1680, 199.0, 0.42648)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42304)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42648)","(6657, 199.0, 0.32641)","(1680, 199.0, 0.42648)","(853, 199.0, 0.37229)","(853, 199.0, 0.37204)","(6210, 199.0, 0.59232)","(6210, 199.0, 0.59696)","(1680, 199.0, 0.42648)","(1680, 199.0, 0.42304)","(1680, 199.0, 0.42712)","(1680, 199.0, 0.42304)","(1680, 199.0, 0.42829)","(1680, 199.0, 0.42712)","(1680, 199.0, 0.42648)","(853, 199.0, 0.37229)","(6210, 199.0, 0.59842)","(6210, 199.0, 0.59232)","(5847, 199.0, 0.303)","(6210, 199.0, 0.59232)","(853, 199.0, 0.37204)","(3907, 199.0, 0.41259)","(1680, 199.0, 0.42829)","(1954, 199.0, 0.48225)","(4353, 199.0, 0.3447)"
"(6210, 198.0, 0.59842)","(2532, 198.0, 0.20483)","(6210, 198.0, 0.59641)","(6210, 198.0, 0.59696)","(6210, 198.0, 0.59696)","(1680, 198.0, 0.42648)","(1680, 198.0, 0.42712)","(1680, 198.0, 0.42829)","(1680, 198.0, 0.42304)","(6210, 198.0, 0.59696)","(6210, 198.0, 0.59842)","(1680, 198.0, 0.42829)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59641)","(6210, 198.0, 0.59232)","(6210, 198.0, 0.59696)","(1680, 198.0, 0.42648)","(1680, 198.0, 0.42304)","(1680, 198.0, 0.42712)","(6210, 198.0, 0.59232)","(2752, 198.0, 0.52576)","(2752, 198.0, 0.52506)","(6210, 198.0, 0.59696)","(6210, 198.0, 0.59232)","(6210, 198.0, 0.59641)","(6210, 198.0, 0.59232)","(1680, 198.0, 0.42304)","(1680, 198.0, 0.42712)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59232)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59232)","(6210, 198.0, 0.59696)","(1680, 198.0, 0.42304)","(6210, 198.0, 0.59696)","(6210, 198.0, 0.59842)","(853, 198.0, 0.37204)","(6210, 198.0, 0.59641)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59232)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59641)","(2726, 198.0, 0.31417)","(6210, 198.0, 0.59641)","(1680, 198.0, 0.42648)","(1680, 198.0, 0.42712)","(1680, 198.0, 0.42304)","(1324, 198.0, 0.47997)","(6210, 198.0, 0.59641)","(6210, 198.0, 0.59232)","(6210, 198.0, 0.59696)","(6210, 198.0, 0.59232)","(6210, 198.0, 0.59842)","(6210, 198.0, 0.59696)","(6210, 198.0, 0.59641)","(6210, 198.0, 0.59641)","(1680, 198.0, 0.42829)","(1680, 198.0, 0.42304)","(1266, 198.0, 0.22725)","(2339, 198.0, 0.41569)","(6210, 198.0, 0.59696)","(3908, 198.0, 0.81826)","(6210, 198.0, 0.59842)","(5179, 198.0, 0.3377)","(3086, 198.0, 0.33033)"
"(853, 197.0, 0.37042)","(4509, 197.0, 0.35903)","(853, 197.0, 0.37229)","(853, 197.0, 0.37204)","(1680, 197.0, 0.42712)","(853, 197.0, 0.37229)","(853, 197.0, 0.37204)","(853, 197.0, 0.37042)","(853, 197.0, 0.37592)","(853, 197.0, 0.37204)","(853, 197.0, 0.37042)","(853, 197.0, 0.37042)","(853, 197.0, 0.37042)","(2675, 197.0, 0.19613)","(2675, 197.0, 0.19666)","(2675, 197.0, 0.19806)","(2675, 197.0, 0.1962)","(853, 197.0, 0.37229)","(853, 197.0, 0.37592)","(853, 197.0, 0.37204)","(853, 197.0, 0.37592)","(301, 197.0, 0.29598)","(301, 197.0, 0.29536)","(853, 197.0, 0.37204)","(853, 197.0, 0.37592)","(853, 197.0, 0.37229)","(853, 197.0, 0.37592)","(6210, 197.0, 0.59232)","(6210, 197.0, 0.59696)","(853, 197.0, 0.37042)","(853, 197.0, 0.37592)","(853, 197.0, 0.37042)","(853, 197.0, 0.37042)","(853, 197.0, 0.37592)","(853, 197.0, 0.37204)","(853, 197.0, 0.37592)","(853, 197.0, 0.37204)","(853, 197.0, 0.37042)","(1680, 197.0, 0.42712)","(853, 197.0, 0.37229)","(853, 197.0, 0.37042)","(853, 197.0, 0.37042)","(853, 197.0, 0.37592)","(853, 197.0, 0.37042)","(853, 197.0, 0.37229)","(5544, 197.0, 0.7381)","(853, 197.0, 0.37229)","(6210, 197.0, 0.59641)","(6210, 197.0, 0.59696)","(853, 197.0, 0.37592)","(853, 197.0, 0.37204)","(853, 197.0, 0.37229)","(853, 197.0, 0.37592)","(853, 197.0, 0.37204)","(853, 197.0, 0.37592)","(853, 197.0, 0.37042)","(853, 197.0, 0.37204)","(853, 197.0, 0.37229)","(1680, 197.0, 0.42648)","(853, 197.0, 0.37042)","(853, 197.0, 0.37592)","(3521, 197.0, 0.49695)","(3771, 197.0, 1.11546)","(3116, 197.0, 1.36178)","(5098, 197.0, 0.36263)","(2675, 197.0, 0.19613)","(3992, 197.0, 0.14206)","(3398, 197.0, 0.44631)"
"(2675, 196.0, 0.19613)","(730, 196.0, 0.98213)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.1962)","(765, 196.0, 0.77321)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19613)","(853, 196.0, 0.37042)","(853, 196.0, 0.37229)","(853, 196.0, 0.37592)","(853, 196.0, 0.37204)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19806)","(1552, 196.0, 0.94997)","(1552, 196.0, 0.94775)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.19806)","(765, 196.0, 0.77317)","(765, 196.0, 0.77321)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19613)","(1516, 196.0, 1.03992)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.19666)","(2002, 196.0, 0.26686)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19806)","(3116, 196.0, 1.36178)","(2675, 196.0, 0.19666)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19806)","(2675, 196.0, 0.19613)","(2675, 196.0, 0.1962)","(2675, 196.0, 0.19666)","(2752, 196.0, 0.52475)","(301, 196.0, 0.29598)","(2675, 196.0, 0.19806)","(630, 196.0, 0.80874)","(2532, 196.0, 0.20483)","(1120, 196.0, 0.86046)","(6978, 196.0, 0.35081)","(2339, 196.0, 0.41546)","(6875, 196.0, 0.99021)","(6198, 196.0, 0.4713)"
"(301, 195.0, 0.29598)","(5594, 195.0, 0.39412)","(2339, 195.0, 0.41558)","(301, 195.0, 0.29558)","(2675, 195.0, 0.1962)","(301, 195.0, 0.29577)","(301, 195.0, 0.29558)","(301, 195.0, 0.29598)","(301, 195.0, 0.29536)","(2339, 195.0, 0.41585)","(2339, 195.0, 0.41546)","(301, 195.0, 0.29598)","(2339, 195.0, 0.41546)","(2339, 195.0, 0.41546)","(2339, 195.0, 0.41558)","(2339, 195.0, 0.41569)","(2339, 195.0, 0.41585)","(1120, 195.0, 0.86035)","(1120, 195.0, 0.85819)","(1120, 195.0, 0.86046)","(2339, 195.0, 0.41569)","(1680, 195.0, 0.42829)","(1680, 195.0, 0.42304)","(2339, 195.0, 0.41585)","(301, 195.0, 0.29536)","(301, 195.0, 0.29577)","(2339, 195.0, 0.41569)","(2675, 195.0, 0.19806)","(2675, 195.0, 0.1962)","(301, 195.0, 0.29598)","(2339, 195.0, 0.41569)","(2339, 195.0, 0.41546)","(2339, 195.0, 0.41546)","(2339, 195.0, 0.41569)","(301, 195.0, 0.29558)","(301, 195.0, 0.29536)","(2339, 195.0, 0.41585)","(2339, 195.0, 0.41546)","(1120, 195.0, 0.86046)","(2339, 195.0, 0.41558)","(1120, 195.0, 0.86075)","(301, 195.0, 0.29598)","(301, 195.0, 0.29536)","(765, 195.0, 0.7728)","(2339, 195.0, 0.41558)","(6690, 195.0, 0.41778)","(2339, 195.0, 0.41558)","(2339, 195.0, 0.41558)","(2339, 195.0, 0.41585)","(2339, 195.0, 0.41569)","(1680, 195.0, 0.42712)","(2339, 195.0, 0.41558)","(2339, 195.0, 0.41569)","(2339, 195.0, 0.41585)","(2339, 195.0, 0.41569)","(301, 195.0, 0.29598)","(301, 195.0, 0.29558)","(2339, 195.0, 0.41558)","(765, 195.0, 0.77324)","(1120, 195.0, 0.86075)","(301, 195.0, 0.29536)","(5578, 195.0, 0.50416)","(1886, 195.0, 1.04413)","(1680, 195.0, 0.42712)","(5094, 195.0, 0.3355)","(853, 195.0, 0.37042)","(1266, 195.0, 0.22865)","(5072, 195.0, 0.40134)"
"(2944, 194.0, 0.46145)","(6469, 194.0, 0.53008)","(301, 194.0, 0.29577)","(2339, 194.0, 0.41585)","(2752, 194.0, 0.52545)","(2339, 194.0, 0.41558)","(2339, 194.0, 0.41585)","(1120, 194.0, 0.86075)","(1120, 194.0, 0.85819)","(1120, 194.0, 0.86046)","(1120, 194.0, 0.86075)","(2339, 194.0, 0.41546)","(1120, 194.0, 0.86075)","(2752, 194.0, 0.52576)","(2752, 194.0, 0.52475)","(2752, 194.0, 0.52506)","(2752, 194.0, 0.52545)","(2339, 194.0, 0.41558)","(2339, 194.0, 0.41569)","(2339, 194.0, 0.41585)","(301, 194.0, 0.29536)","(2675, 194.0, 0.19613)","(2675, 194.0, 0.19806)","(301, 194.0, 0.29558)","(2339, 194.0, 0.41569)","(2339, 194.0, 0.41558)","(1120, 194.0, 0.85819)","(7124, 194.0, 0.32061)","(7124, 194.0, 0.31765)","(2339, 194.0, 0.41546)","(301, 194.0, 0.29536)","(301, 194.0, 0.29598)","(765, 194.0, 0.7728)","(765, 194.0, 0.77317)","(2339, 194.0, 0.41585)","(2339, 194.0, 0.41569)","(765, 194.0, 0.77321)","(301, 194.0, 0.29598)","(3116, 194.0, 1.36178)","(301, 194.0, 0.29577)","(2339, 194.0, 0.41546)","(2339, 194.0, 0.41546)","(2339, 194.0, 0.41569)","(1120, 194.0, 0.86075)","(301, 194.0, 0.29577)","(4419, 194.0, 0.17785)","(301, 194.0, 0.29577)","(765, 194.0, 0.77324)","(765, 194.0, 0.77321)","(1120, 194.0, 0.85819)","(1886, 194.0, 1.04434)","(2944, 194.0, 0.46011)","(2944, 194.0, 0.45677)","(301, 194.0, 0.29558)","(2944, 194.0, 0.45677)","(2339, 194.0, 0.41546)","(2339, 194.0, 0.41585)","(1120, 194.0, 0.86035)","(2675, 194.0, 0.19666)","(3116, 194.0, 1.36281)","(1120, 194.0, 0.85819)","(452, 194.0, 0.20963)","(1680, 194.0, 0.42304)","(1516, 194.0, 1.03992)","(2703, 194.0, 0.3756)","(301, 194.0, 0.29598)","(6268, 194.0, 0.50568)","(939, 194.0, 0.69394)"
"(1120, 193.0, 0.86075)","(5803, 193.0, 0.33053)","(1120, 193.0, 0.86035)","(1120, 193.0, 0.86046)","(2944, 193.0, 0.46021)","(1120, 193.0, 0.86035)","(1120, 193.0, 0.86046)","(2339, 193.0, 0.41546)","(2339, 193.0, 0.41569)","(765, 193.0, 0.77321)","(765, 193.0, 0.7728)","(1120, 193.0, 0.86075)","(301, 193.0, 0.29598)","(765, 193.0, 0.7728)","(765, 193.0, 0.77324)","(765, 193.0, 0.77317)","(765, 193.0, 0.77321)","(2944, 193.0, 0.46011)","(2944, 193.0, 0.45677)","(2944, 193.0, 0.46021)","(2944, 193.0, 0.45677)","(853, 193.0, 0.37042)","(853, 193.0, 0.37592)","(1120, 193.0, 0.86046)","(1120, 193.0, 0.85819)","(1120, 193.0, 0.86035)","(301, 193.0, 0.29536)","(2944, 193.0, 0.45677)","(2944, 193.0, 0.46021)","(1120, 193.0, 0.86075)","(1120, 193.0, 0.85819)","(1120, 193.0, 0.86075)","(1120, 193.0, 0.86075)","(1120, 193.0, 0.85819)","(1120, 193.0, 0.86046)","(1120, 193.0, 0.85819)","(1120, 193.0, 0.86046)","(1120, 193.0, 0.86075)","(301, 193.0, 0.29558)","(1120, 193.0, 0.86035)","(301, 193.0, 0.29598)","(1120, 193.0, 0.86075)","(1120, 193.0, 0.85819)","(2339, 193.0, 0.41546)","(1120, 193.0, 0.86035)","(6802, 193.0, 1.00955)","(2944, 193.0, 0.46011)","(1120, 193.0, 0.86035)","(1120, 193.0, 0.86046)","(301, 193.0, 0.29536)","(645, 193.0, 0.96306)","(1120, 193.0, 0.86035)","(301, 193.0, 0.29536)","(1120, 193.0, 0.86046)","(1120, 193.0, 0.85819)","(1120, 193.0, 0.86075)","(1120, 193.0, 0.86046)","(765, 193.0, 0.77324)","(1120, 193.0, 0.86035)","(1516, 193.0, 1.0408)","(765, 193.0, 0.77317)","(2532, 193.0, 0.20188)","(4428, 193.0, 1.12208)","(4428, 193.0, 1.12554)","(3735, 193.0, 0.74886)","(2944, 193.0, 0.46145)","(6932, 193.0, 0.67006)","(6768, 193.0, 0.31907)"
"(2339, 192.0, 0.41546)","(6410, 192.0, 0.94497)","(2944, 192.0, 0.46011)","(2944, 192.0, 0.46021)","(2261, 192.0, 1.40194)","(2944, 192.0, 0.46011)","(2944, 192.0, 0.46021)","(765, 192.0, 0.7728)","(765, 192.0, 0.77317)","(2944, 192.0, 0.46021)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.46145)","(1120, 192.0, 0.86075)","(1120, 192.0, 0.86035)","(1120, 192.0, 0.85819)","(1120, 192.0, 0.86046)","(765, 192.0, 0.77324)","(765, 192.0, 0.77317)","(765, 192.0, 0.77321)","(1120, 192.0, 0.85819)","(1120, 192.0, 0.86075)","(1120, 192.0, 0.85819)","(2944, 192.0, 0.46021)","(2944, 192.0, 0.45677)","(2944, 192.0, 0.46011)","(2944, 192.0, 0.45677)","(2339, 192.0, 0.41569)","(2339, 192.0, 0.41585)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.45677)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.45677)","(2944, 192.0, 0.46021)","(2944, 192.0, 0.45677)","(2944, 192.0, 0.46021)","(2944, 192.0, 0.46145)","(2675, 192.0, 0.1962)","(2944, 192.0, 0.46011)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.45677)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.46011)","(2138, 192.0, 0.87855)","(1120, 192.0, 0.86035)","(2752, 192.0, 0.52475)","(2752, 192.0, 0.52545)","(2944, 192.0, 0.45677)","(7127, 192.0, 0.40509)","(301, 192.0, 0.29577)","(1120, 192.0, 0.85819)","(2944, 192.0, 0.46021)","(301, 192.0, 0.29536)","(2944, 192.0, 0.46145)","(2944, 192.0, 0.46021)","(2944, 192.0, 0.46011)","(4292, 192.0, 0.4774)","(4428, 192.0, 1.12628)","(2752, 192.0, 0.52506)","(2339, 192.0, 0.41546)","(2675, 192.0, 0.19806)","(2339, 192.0, 0.41585)","(3603, 192.0, 0.74904)","(1120, 192.0, 0.86075)","(3521, 192.0, 0.49582)","(7257, 192.0, 0.29629)"
"(765, 191.0, 0.7728)","(5841, 191.0, 0.50858)","(765, 191.0, 0.77324)","(765, 191.0, 0.77321)","(1120, 191.0, 0.86046)","(2752, 191.0, 0.52475)","(2752, 191.0, 0.52545)","(2944, 191.0, 0.46145)","(2944, 191.0, 0.45677)","(301, 191.0, 0.29558)","(301, 191.0, 0.29598)","(765, 191.0, 0.7728)","(765, 191.0, 0.7728)","(2944, 191.0, 0.46145)","(2944, 191.0, 0.46011)","(2944, 191.0, 0.45677)","(2944, 191.0, 0.46021)","(301, 191.0, 0.29577)","(301, 191.0, 0.29536)","(301, 191.0, 0.29558)","(765, 191.0, 0.77317)","(6725, 191.0, 0.65382)","(6725, 191.0, 0.65039)","(765, 191.0, 0.77321)","(765, 191.0, 0.77317)","(765, 191.0, 0.77324)","(765, 191.0, 0.77317)","(4292, 191.0, 0.47395)","(4292, 191.0, 0.47714)","(765, 191.0, 0.7728)","(765, 191.0, 0.77317)","(765, 191.0, 0.7728)","(301, 191.0, 0.29598)","(301, 191.0, 0.29536)","(765, 191.0, 0.77321)","(765, 191.0, 0.77317)","(2752, 191.0, 0.52545)","(765, 191.0, 0.7728)","(4428, 191.0, 1.12554)","(765, 191.0, 0.77324)","(765, 191.0, 0.7728)","(765, 191.0, 0.7728)","(765, 191.0, 0.77317)","(301, 191.0, 0.29598)","(765, 191.0, 0.77324)","(1847, 191.0, 0.27434)","(765, 191.0, 0.77324)","(2944, 191.0, 0.46011)","(2944, 191.0, 0.46021)","(765, 191.0, 0.77317)","(5266, 191.0, 1.36318)","(765, 191.0, 0.77324)","(765, 191.0, 0.77317)","(765, 191.0, 0.77321)","(765, 191.0, 0.77317)","(4428, 191.0, 1.12628)","(4428, 191.0, 1.12554)","(301, 191.0, 0.29577)","(2339, 191.0, 0.41558)","(2675, 191.0, 0.19613)","(2944, 191.0, 0.45677)","(3771, 191.0, 1.1195)","(1120, 191.0, 0.85819)","(301, 191.0, 0.29558)","(7229, 191.0, 0.31907)","(4428, 191.0, 1.12628)","(5578, 191.0, 0.50179)","(6694, 191.0, 0.31193)"
