0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
"(7229, 200.0, 0.2740518234051226)","(74, 200.0, 1.0417158046195338)","(7229, 200.0, 0.3000135295083182)","(7229, 200.0, 0.34453557073998625)","(7229, 200.0, 0.4759452538169945)","(7229, 200.0, 0.31608100991922233)","(7229, 200.0, 0.37160774547127934)","(7229, 200.0, 0.3459256700204891)","(7229, 200.0, 0.3453787595362506)","(7229, 200.0, 0.3441399739285681)","(7229, 200.0, 0.3424203127183877)","(7229, 200.0, 0.25233599127070494)","(7229, 200.0, 0.37356160182236176)","(7229, 200.0, 0.3256676816090936)","(7229, 200.0, 0.3387748096035964)","(7229, 200.0, 0.338951992295316)","(7229, 200.0, 0.3412507604090677)","(7229, 200.0, 0.4226545968949721)","(7229, 200.0, 0.4291539593214348)","(7229, 200.0, 0.420317397118184)","(7229, 200.0, 0.4032134987652903)","(7229, 200.0, 0.8306741874477753)","(7229, 200.0, 0.8306741874477753)","(7229, 200.0, 0.28458383055554304)","(7229, 200.0, 0.29017102622287655)","(7229, 200.0, 0.393161579703505)","(7229, 200.0, 0.3353336228310242)","(7229, 200.0, 0.6918912855906795)","(7229, 200.0, 0.6918912855906795)","(7229, 200.0, 0.4207815308249669)","(7229, 200.0, 0.37908506133196185)","(7229, 200.0, 0.33416564132686194)","(7229, 200.0, 0.3438943003197447)","(7229, 200.0, 0.34466353298556696)","(7229, 200.0, 0.28172890463708666)","(7229, 200.0, 0.3012065560922603)","(7229, 200.0, 0.3204856288672109)","(7229, 200.0, 0.37336434101997473)","(7229, 200.0, 0.3880599636463412)","(7229, 200.0, 0.3202199607996617)","(7229, 200.0, 0.24966833432655935)","(7229, 200.0, 0.3563224020307169)","(7229, 200.0, 0.36611790828029084)","(7229, 200.0, 0.3674823618041513)","(7229, 200.0, 0.3580627707530904)","(1316, 200.0, 0.41952214329283943)","(7229, 200.0, 0.37015014459528617)","(7229, 200.0, 0.43457741023024843)","(7229, 200.0, 0.4262418138222036)","(7229, 200.0, 0.4216935140035237)","(7229, 200.0, 0.6680069288729138)","(7229, 200.0, 0.3006462846697827)","(7229, 200.0, 0.44206837966961515)","(7229, 200.0, 0.2459640600837307)","(7229, 200.0, 0.3473719106996594)","(7229, 200.0, 0.4076618525764593)","(7229, 200.0, 0.4040522583167352)","(7229, 200.0, 0.2862656054210661)","(7229, 200.0, 0.4838437045067511)","(7229, 200.0, 0.3037367918360322)","(7229, 200.0, 0.2891860232698394)","(5178, 200.0, 0.4511748502543563)","(7229, 200.0, 0.7767743740339689)","(7229, 200.0, 0.3798838976350929)","(4717, 200.0, 0.5748744278342686)","(7229, 200.0, 0.8345728530571792)","(5178, 200.0, 1.0159904745807293)","(893, 200.0, 0.710426894159029)"
"(1680, 199.0, 0.3943816938401967)","(2206, 199.0, 0.37253171394815954)","(1680, 199.0, 0.4208159012954994)","(1680, 199.0, 0.5019399916832533)","(853, 199.0, 0.5171947795096391)","(6210, 199.0, 0.5646817339866964)","(6210, 199.0, 0.5238807795120322)","(6210, 199.0, 0.5783079642724396)","(6210, 199.0, 0.5905893914510524)","(1680, 199.0, 0.35895915916974713)","(1680, 199.0, 0.41237269156544415)","(6210, 199.0, 0.5896967752581224)","(1680, 199.0, 0.41399669570829606)","(1680, 199.0, 0.39665483692031)","(1680, 199.0, 0.39170759389785254)","(1680, 199.0, 0.39028047078425127)","(1680, 199.0, 0.38721894555241937)","(6210, 199.0, 0.5483013641746447)","(6210, 199.0, 0.5472580329506501)","(6210, 199.0, 0.5842583659828197)","(1680, 199.0, 0.4604788887906164)","(6210, 199.0, 0.7310957137995318)","(6210, 199.0, 0.7310957137995318)","(1680, 199.0, 0.4186825732587622)","(1680, 199.0, 0.3853432191054092)","(1680, 199.0, 0.4703633097709518)","(1680, 199.0, 0.42141725807206765)","(853, 199.0, 0.8832826141791233)","(853, 199.0, 0.8832826141791233)","(1680, 199.0, 0.40084987484825135)","(1680, 199.0, 0.48340753253686325)","(1680, 199.0, 0.4000714491080342)","(1680, 199.0, 0.49542447090426733)","(1680, 199.0, 0.5009468616050121)","(1680, 199.0, 0.4287120923078698)","(6210, 199.0, 0.5087682808440006)","(1680, 199.0, 0.41458237890980965)","(1680, 199.0, 0.4231743096470768)","(6210, 199.0, 0.47663311052828283)","(1680, 199.0, 0.5447302086955443)","(1680, 199.0, 0.5008446402304931)","(1680, 199.0, 0.4008313825403806)","(1680, 199.0, 0.41834490190205925)","(1680, 199.0, 0.4608845523621824)","(1680, 199.0, 0.4108319725423237)","(6657, 199.0, 0.35459383517453735)","(1680, 199.0, 0.36975714107194535)","(853, 199.0, 0.5025840773672492)","(853, 199.0, 0.509491022961046)","(6210, 199.0, 0.6201759916609477)","(6210, 199.0, 0.7120988782153469)","(1680, 199.0, 0.3986223845364005)","(1680, 199.0, 0.4466988696902051)","(1680, 199.0, 0.43082476893966787)","(1680, 199.0, 0.43876328634003364)","(1680, 199.0, 0.28640760627556217)","(1680, 199.0, 0.2880432252073292)","(1680, 199.0, 0.4325917106065252)","(853, 199.0, 0.5157470973169082)","(6210, 199.0, 0.660932859917419)","(6210, 199.0, 0.6049598914313828)","(5847, 199.0, 0.28870074039053106)","(6210, 199.0, 0.6192795857914957)","(853, 199.0, 0.5071917553182642)","(3907, 199.0, 0.45996412299704903)","(1680, 199.0, 0.7666647271526192)","(1954, 199.0, 1.132384031972964)","(4353, 199.0, 0.5180113305817847)"
"(6210, 198.0, 0.5755937385966533)","(2532, 198.0, 0.19288902843628183)","(6210, 198.0, 0.6000416260501713)","(6210, 198.0, 0.6566656246515806)","(6210, 198.0, 0.5315510890958617)","(1680, 198.0, 0.3787160042805457)","(1680, 198.0, 0.35574780751339175)","(1680, 198.0, 0.41567684495336116)","(1680, 198.0, 0.4261486183456825)","(6210, 198.0, 0.5425492760245973)","(6210, 198.0, 0.585156240881948)","(1680, 198.0, 0.41878541120568835)","(6210, 198.0, 0.569595192977067)","(6210, 198.0, 0.56528553809456)","(6210, 198.0, 0.5562389366237348)","(6210, 198.0, 0.5558235765655763)","(6210, 198.0, 0.5518891888768087)","(1680, 198.0, 0.40558938866851796)","(1680, 198.0, 0.40968192199894177)","(1680, 198.0, 0.4399061763212644)","(6210, 198.0, 0.6063745417678694)","(2752, 198.0, 0.8355087551341747)","(2752, 198.0, 0.8355087551341747)","(6210, 198.0, 0.6045582190362396)","(6210, 198.0, 0.5508943917571621)","(6210, 198.0, 0.6236635688909006)","(6210, 198.0, 0.5884858413889541)","(1680, 198.0, 0.4332971275582569)","(1680, 198.0, 0.4332971275582569)","(6210, 198.0, 0.5438260020440288)","(6210, 198.0, 0.6392943699940421)","(6210, 198.0, 0.5735117030817507)","(6210, 198.0, 0.6719674868060326)","(6210, 198.0, 0.6763959962834454)","(6210, 198.0, 0.6141541829124537)","(1680, 198.0, 0.3379355513599598)","(6210, 198.0, 0.5975732491886981)","(6210, 198.0, 0.5754703168933042)","(853, 198.0, 0.546755773260359)","(6210, 198.0, 0.7220587801039761)","(6210, 198.0, 0.6709489169979593)","(6210, 198.0, 0.5689288480577424)","(6210, 198.0, 0.5825730549465383)","(6210, 198.0, 0.6252440751568227)","(6210, 198.0, 0.5685339242531204)","(2726, 198.0, 0.47918636355880373)","(6210, 198.0, 0.5209865021235915)","(1680, 198.0, 0.4088463252619887)","(1680, 198.0, 0.3900433338512718)","(1680, 198.0, 0.4849166242485816)","(1324, 198.0, 0.8392362093131003)","(6210, 198.0, 0.585248075028405)","(6210, 198.0, 0.5698424172396586)","(6210, 198.0, 0.6087425218633007)","(6210, 198.0, 0.5945809124416174)","(6210, 198.0, 0.4496839398303676)","(6210, 198.0, 0.452609865719633)","(6210, 198.0, 0.6294481308144374)","(6210, 198.0, 0.5318302627632394)","(1680, 198.0, 0.5082728201057395)","(1680, 198.0, 0.4229309586942838)","(1266, 198.0, 0.25693536444413567)","(2339, 198.0, 0.839427471779478)","(6210, 198.0, 0.5079796481526909)","(3908, 198.0, 0.6913690725252646)","(6210, 198.0, 0.8244051520096171)","(5179, 198.0, 0.7520628574671353)","(3086, 198.0, 0.606977024780272)"
"(853, 197.0, 0.41930051627672005)","(4509, 197.0, 0.46009189927224453)","(853, 197.0, 0.36866608300082526)","(853, 197.0, 0.3557535493114152)","(1680, 197.0, 0.41776556740571913)","(853, 197.0, 0.4050509709878774)","(853, 197.0, 0.48459939257388635)","(853, 197.0, 0.4038868200999892)","(853, 197.0, 0.3877358444490345)","(853, 197.0, 0.4957910382969377)","(853, 197.0, 0.3835136679186888)","(853, 197.0, 0.3559014442877759)","(853, 197.0, 0.41222562393841244)","(2675, 197.0, 0.23004344601218019)","(2675, 197.0, 0.21972143351324855)","(2675, 197.0, 0.22836623382408713)","(2675, 197.0, 0.2232335010962746)","(853, 197.0, 0.472422974283514)","(853, 197.0, 0.5037271674451522)","(853, 197.0, 0.4514903921218714)","(853, 197.0, 0.43013944054917647)","(301, 197.0, 1.0498866925237993)","(301, 197.0, 1.0498866925237993)","(853, 197.0, 0.3638471847196721)","(853, 197.0, 0.3924489084470597)","(853, 197.0, 0.38864123662550654)","(853, 197.0, 0.38971478167773227)","(6210, 197.0, 0.49014586880515276)","(6210, 197.0, 0.49014586880515276)","(853, 197.0, 0.4599266087230362)","(853, 197.0, 0.3853779196657914)","(853, 197.0, 0.4038150211711875)","(853, 197.0, 0.32826335563588865)","(853, 197.0, 0.3287143154045944)","(853, 197.0, 0.349802865403048)","(853, 197.0, 0.4311033265389633)","(853, 197.0, 0.3759972848899606)","(853, 197.0, 0.4403411554979616)","(1680, 197.0, 0.34124579907333613)","(853, 197.0, 0.2987478292702846)","(853, 197.0, 0.308686320394345)","(853, 197.0, 0.4215522859109004)","(853, 197.0, 0.41209024001177313)","(853, 197.0, 0.3709037942467988)","(853, 197.0, 0.4099841414663811)","(5544, 197.0, 0.5328562285002205)","(853, 197.0, 0.44648275975302476)","(6210, 197.0, 0.5274910047553553)","(6210, 197.0, 0.511487698783954)","(853, 197.0, 0.43393443420940914)","(853, 197.0, 0.766803924756663)","(853, 197.0, 0.43325716750611465)","(853, 197.0, 0.4784704332406938)","(853, 197.0, 0.3446020635770677)","(853, 197.0, 0.38188988235662646)","(853, 197.0, 0.5552826472823914)","(853, 197.0, 0.5512382328867068)","(853, 197.0, 0.3574086141034163)","(1680, 197.0, 0.4187955325753871)","(853, 197.0, 0.3596725287815685)","(853, 197.0, 0.36011025412280556)","(3521, 197.0, 0.39204410001833173)","(3771, 197.0, 0.4804993766214915)","(3116, 197.0, 1.292196026528695)","(5098, 197.0, 0.45315062371994785)","(2675, 197.0, 0.8000672050896724)","(3992, 197.0, 0.8077867709339627)","(3398, 197.0, 0.6671613262755701)"
"(2675, 196.0, 0.35530796846977775)","(730, 196.0, 1.060818356207532)","(2675, 196.0, 0.23387415162246855)","(2675, 196.0, 0.13913878302469135)","(765, 196.0, 0.8888619840274822)","(2675, 196.0, 0.302818471307298)","(2675, 196.0, 0.33304264458769467)","(2675, 196.0, 0.20163677773139033)","(2675, 196.0, 0.1869383495873246)","(2675, 196.0, 0.4332989761037898)","(2675, 196.0, 0.21712795671998517)","(2675, 196.0, 0.264813877842489)","(2675, 196.0, 0.1761482651918964)","(853, 196.0, 0.40695131213110664)","(853, 196.0, 0.41241313308087546)","(853, 196.0, 0.41633406553479985)","(853, 196.0, 0.4159626316177201)","(2675, 196.0, 0.22713110594788558)","(2675, 196.0, 0.288983347953762)","(2675, 196.0, 0.19398745388160443)","(2675, 196.0, 0.18423946019359985)","(1552, 196.0, 1.1648721517427816)","(1552, 196.0, 1.1648721517427816)","(2675, 196.0, 0.26762646029727694)","(2675, 196.0, 0.28328205451096844)","(2675, 196.0, 0.12671043945476582)","(2675, 196.0, 0.20497210981248054)","(765, 196.0, 0.6047467764982455)","(765, 196.0, 0.6047467764982455)","(2675, 196.0, 0.19609453730432053)","(2675, 196.0, 0.12727307271738938)","(2675, 196.0, 0.23445623119158923)","(2675, 196.0, 0.18369912418157539)","(2675, 196.0, 0.1780960469090722)","(2675, 196.0, 0.25558920723878154)","(2675, 196.0, 0.3311208131074819)","(2675, 196.0, 0.25654370297104506)","(2675, 196.0, 0.22055783265456702)","(1516, 196.0, 0.8581399565155634)","(2675, 196.0, 0.23705242101059645)","(2675, 196.0, 0.22919454370687659)","(2675, 196.0, 0.23419349818445065)","(2675, 196.0, 0.2082703075174676)","(2675, 196.0, 0.15248708468076463)","(2675, 196.0, 0.1801691670456563)","(2002, 196.0, 0.50566514712872)","(2675, 196.0, 0.2137487498315477)","(2675, 196.0, 0.19387497242547602)","(2675, 196.0, 0.21350501194340127)","(2675, 196.0, 0.11798872315878325)","(3116, 196.0, 0.9348828395520419)","(2675, 196.0, 0.40791847371186984)","(2675, 196.0, 0.21516208309246473)","(2675, 196.0, 0.2698619843615181)","(2675, 196.0, 0.16396324181264774)","(2675, 196.0, 0.42566285545838384)","(2675, 196.0, 0.4228425831951916)","(2675, 196.0, 0.3319379972671885)","(2752, 196.0, 0.5532571037224807)","(301, 196.0, 0.26024260023869283)","(2675, 196.0, 0.2386265453541315)","(630, 196.0, 0.8429736322358475)","(2532, 196.0, 0.8032632713848333)","(1120, 196.0, 0.8041377926723744)","(6978, 196.0, 0.26795447581839554)","(2339, 196.0, 0.8501805939093177)","(6875, 196.0, 0.870791046862517)","(6198, 196.0, 0.8537814017325772)"
"(301, 195.0, 0.44187954284127917)","(5594, 195.0, 0.33247535386469834)","(2339, 195.0, 0.408356725205923)","(301, 195.0, 0.23058918685898583)","(2675, 195.0, 0.19626086073542878)","(301, 195.0, 0.39260132199415165)","(301, 195.0, 0.40927476361003506)","(301, 195.0, 0.28959347538950087)","(301, 195.0, 0.27678370530710805)","(2339, 195.0, 0.4688213136943264)","(2339, 195.0, 0.4452100474605484)","(301, 195.0, 0.3352275080004607)","(2339, 195.0, 0.4452065791835253)","(2339, 195.0, 0.4269467485170856)","(2339, 195.0, 0.4239157630746446)","(2339, 195.0, 0.4295182081842073)","(2339, 195.0, 0.4245995209645219)","(1120, 195.0, 0.8573353293597755)","(1120, 195.0, 0.8090295843842297)","(1120, 195.0, 0.8966159593580323)","(2339, 195.0, 0.4700246524054879)","(1680, 195.0, 0.6673581264205665)","(1680, 195.0, 0.6673581264205665)","(2339, 195.0, 0.40214140126784514)","(301, 195.0, 0.3272959373611037)","(301, 195.0, 0.22081066732792354)","(2339, 195.0, 0.42483212889779975)","(2675, 195.0, 0.7991729084485174)","(2675, 195.0, 0.7991729084485174)","(301, 195.0, 0.26081022234210727)","(2339, 195.0, 0.47012419305215564)","(2339, 195.0, 0.4317830646361953)","(2339, 195.0, 0.4736185493856929)","(2339, 195.0, 0.4769934486086235)","(301, 195.0, 0.36583382869637815)","(301, 195.0, 0.37233030077198936)","(2339, 195.0, 0.4439455474491048)","(2339, 195.0, 0.45348158086661033)","(1120, 195.0, 0.7423048528413825)","(2339, 195.0, 0.41901014849207435)","(1120, 195.0, 0.8894614234722271)","(301, 195.0, 0.32622288529812954)","(301, 195.0, 0.3021648135647811)","(765, 195.0, 0.801023849701465)","(2339, 195.0, 0.4405814885717595)","(6690, 195.0, 0.5671082282590966)","(2339, 195.0, 0.43570025218798897)","(2339, 195.0, 0.5003619953209382)","(2339, 195.0, 0.5020518029746034)","(2339, 195.0, 0.4983037088289029)","(1680, 195.0, 0.6217348666075881)","(2339, 195.0, 0.38622108423168566)","(2339, 195.0, 0.4785858827339184)","(2339, 195.0, 0.34915510255948434)","(2339, 195.0, 0.4151813736824059)","(301, 195.0, 0.4844195688140075)","(301, 195.0, 0.48245279814418646)","(2339, 195.0, 0.4219307945161402)","(765, 195.0, 0.8939480661438028)","(1120, 195.0, 0.9159137209292932)","(301, 195.0, 0.3530691957461833)","(5578, 195.0, 0.4154239549655071)","(1886, 195.0, 0.8818873897249375)","(1680, 195.0, 0.3699242866307815)","(5094, 195.0, 0.4556842120494313)","(853, 195.0, 0.9205896909372818)","(1266, 195.0, 0.9128067062692977)","(5072, 195.0, 0.5928376157187658)"
"(2944, 194.0, 0.45314619331156847)","(6469, 194.0, 0.5562988855088293)","(301, 194.0, 0.3404302781065087)","(2339, 194.0, 0.4443033649578437)","(2752, 194.0, 0.5514307896949389)","(2339, 194.0, 0.4073564117144702)","(2339, 194.0, 0.46331062757183517)","(1120, 194.0, 0.8486574507282735)","(1120, 194.0, 0.8664543290078)","(1120, 194.0, 0.6595705367243255)","(1120, 194.0, 0.8498491906601197)","(2339, 194.0, 0.3362501740187004)","(1120, 194.0, 0.8888125412807287)","(2752, 194.0, 0.5127135206986423)","(2752, 194.0, 0.5183800303256374)","(2752, 194.0, 0.5127364243205974)","(2752, 194.0, 0.5149659196661946)","(2339, 194.0, 0.4792852075929108)","(2339, 194.0, 0.49234308732204174)","(2339, 194.0, 0.4913859704751243)","(301, 194.0, 0.26765950813006634)","(2675, 194.0, 0.9945624566081999)","(2675, 194.0, 0.9945624566081999)","(301, 194.0, 0.37526408974202113)","(2339, 194.0, 0.35400349787893254)","(2339, 194.0, 0.4667008402396328)","(1120, 194.0, 0.8489903885882721)","(7124, 194.0, 0.875222138194081)","(7124, 194.0, 0.875222138194081)","(2339, 194.0, 0.46381844514917214)","(301, 194.0, 0.2428015445112079)","(301, 194.0, 0.3320986107296223)","(765, 194.0, 0.7562304094205434)","(765, 194.0, 0.7619535543988243)","(2339, 194.0, 0.3869354370873391)","(2339, 194.0, 0.3541644718389466)","(765, 194.0, 0.686217353758913)","(301, 194.0, 0.3079118230034047)","(3116, 194.0, 1.227188616296832)","(301, 194.0, 0.33945679052073263)","(2339, 194.0, 0.38341160239251115)","(2339, 194.0, 0.4439486209818921)","(2339, 194.0, 0.4444045925617469)","(1120, 194.0, 0.9224348070864065)","(301, 194.0, 0.27145863987542657)","(4419, 194.0, 0.32836158227328865)","(301, 194.0, 0.28761075437694084)","(765, 194.0, 0.8674032273914036)","(765, 194.0, 0.8399845805817794)","(1120, 194.0, 0.9682725909539317)","(1886, 194.0, 0.7809740441838567)","(2944, 194.0, 0.47617338747283733)","(2944, 194.0, 0.47918609882144847)","(301, 194.0, 0.3514824101742386)","(2944, 194.0, 0.4860928027563453)","(2339, 194.0, 0.4735620450728768)","(2339, 194.0, 0.47125662351236874)","(1120, 194.0, 0.771611492401599)","(2675, 194.0, 0.2009823324629428)","(3116, 194.0, 1.4488601404688353)","(1120, 194.0, 0.8420705795468366)","(452, 194.0, 0.17625924677437318)","(1680, 194.0, 0.5623748901264647)","(1516, 194.0, 0.9249299632182431)","(2703, 194.0, 0.47521412834403165)","(301, 194.0, 0.821541340079731)","(6268, 194.0, 1.1843679339673985)","(939, 194.0, 0.9779460356334141)"
"(1120, 193.0, 0.7136322197993279)","(5803, 193.0, 0.26757512230955155)","(1120, 193.0, 0.8312851117690475)","(1120, 193.0, 0.9405166213470074)","(2944, 193.0, 0.419594574797781)","(1120, 193.0, 0.7652793173072315)","(1120, 193.0, 0.7255244632511969)","(2339, 193.0, 0.4381131034794907)","(2339, 193.0, 0.4354065979095584)","(765, 193.0, 0.5684855273801969)","(765, 193.0, 0.7324248917137149)","(1120, 193.0, 0.8447182880666625)","(301, 193.0, 0.2594833695198739)","(765, 193.0, 0.7454972738222185)","(765, 193.0, 0.7662407569987275)","(765, 193.0, 0.755835733817413)","(765, 193.0, 0.763224924857811)","(2944, 193.0, 0.4197605268745753)","(2944, 193.0, 0.41944490184247857)","(2944, 193.0, 0.4448829613333649)","(2944, 193.0, 0.48357585551142385)","(853, 193.0, 1.024560553796809)","(853, 193.0, 1.024560553796809)","(1120, 193.0, 0.801932929987015)","(1120, 193.0, 0.8150999284956395)","(1120, 193.0, 0.950675228077591)","(301, 193.0, 0.3008827427532092)","(2944, 193.0, 0.43976833302148666)","(2944, 193.0, 0.43976833302148666)","(1120, 193.0, 0.9020726421565297)","(1120, 193.0, 0.9407638204673051)","(1120, 193.0, 0.8255501460492802)","(1120, 193.0, 0.913481148259272)","(1120, 193.0, 0.9189418316080644)","(1120, 193.0, 0.8207620414250302)","(1120, 193.0, 0.7627607661075391)","(1120, 193.0, 0.8174869919421485)","(1120, 193.0, 0.8482269463447151)","(301, 193.0, 0.3977782144426711)","(1120, 193.0, 0.8970686453423522)","(301, 193.0, 0.3069744076111956)","(1120, 193.0, 0.8299199773939561)","(1120, 193.0, 0.8602151324237979)","(2339, 193.0, 0.45978505385856144)","(1120, 193.0, 0.8779737315025269)","(6802, 193.0, 0.8085916951603253)","(2944, 193.0, 0.4043855834173941)","(1120, 193.0, 0.9259118477307351)","(1120, 193.0, 0.8966148649265776)","(301, 193.0, 0.19606014911919248)","(645, 193.0, 0.9211716501403103)","(1120, 193.0, 0.6718140816417856)","(301, 193.0, 0.22709926917824894)","(1120, 193.0, 0.8226852888253746)","(1120, 193.0, 0.908110769224681)","(1120, 193.0, 0.6420236544615597)","(1120, 193.0, 0.6443147124107411)","(765, 193.0, 0.6282263761045592)","(1120, 193.0, 0.9580471119295392)","(1516, 193.0, 1.0941902762324465)","(765, 193.0, 0.7263462981882909)","(2532, 193.0, 0.28994207365173724)","(4428, 193.0, 0.4551538187375997)","(4428, 193.0, 1.0228407898440033)","(3735, 193.0, 0.7593487545990386)","(2944, 193.0, 0.7736619565805211)","(6932, 193.0, 0.7198659578671006)","(6768, 193.0, 0.7584998518640447)"
"(2339, 192.0, 0.3828197536303423)","(6410, 192.0, 1.0229516009553694)","(2944, 192.0, 0.4542348231161887)","(2944, 192.0, 0.5282503035557913)","(2261, 192.0, 1.4420160961983552)","(2944, 192.0, 0.42253352549222517)","(2944, 192.0, 0.3592411617129851)","(765, 192.0, 0.775065587066347)","(765, 192.0, 0.7800663203402195)","(2944, 192.0, 0.3713048605032439)","(2944, 192.0, 0.4277767278032972)","(2944, 192.0, 0.5028510801289638)","(2944, 192.0, 0.44155347711041354)","(1120, 192.0, 0.8202463526141404)","(1120, 192.0, 0.8346606657733338)","(1120, 192.0, 0.8235152372257097)","(1120, 192.0, 0.8321057800574705)","(765, 192.0, 0.8171065077364836)","(765, 192.0, 0.8078838036667779)","(765, 192.0, 0.8324635530928706)","(1120, 192.0, 0.9059362457561692)","(1120, 192.0, 0.26495385898328583)","(1120, 192.0, 0.26495385898328583)","(2944, 192.0, 0.45588483872292185)","(2944, 192.0, 0.4689982571699688)","(2944, 192.0, 0.4914168900980099)","(2944, 192.0, 0.4515713844861008)","(2339, 192.0, 0.7229001086281452)","(2339, 192.0, 0.7229001086281452)","(2944, 192.0, 0.43189300460764185)","(2944, 192.0, 0.49457166478506326)","(2944, 192.0, 0.42032172445578164)","(2944, 192.0, 0.4977249416280805)","(2944, 192.0, 0.500875577107549)","(2944, 192.0, 0.4783618372817664)","(2944, 192.0, 0.4306045151562627)","(2944, 192.0, 0.4258287208428081)","(2944, 192.0, 0.4421543080252413)","(2675, 192.0, 0.3411874923975569)","(2944, 192.0, 0.5912942556278729)","(2944, 192.0, 0.5486771674513116)","(2944, 192.0, 0.4170845417835582)","(2944, 192.0, 0.44106322131902703)","(2944, 192.0, 0.47550479321777556)","(2944, 192.0, 0.43436005229147506)","(2138, 192.0, 0.6721290131005202)","(1120, 192.0, 0.8594730818821971)","(2752, 192.0, 0.5618559417934311)","(2752, 192.0, 0.5467197232689035)","(2944, 192.0, 0.4891555651862094)","(7127, 192.0, 0.7138811448849326)","(301, 192.0, 0.4949543289800248)","(1120, 192.0, 0.9048101837774348)","(2944, 192.0, 0.5009339658709698)","(301, 192.0, 0.24495258755437505)","(2944, 192.0, 0.3134313156772612)","(2944, 192.0, 0.315263614675917)","(2944, 192.0, 0.4651779903751278)","(4292, 192.0, 0.37778021912514803)","(4428, 192.0, 1.1730831703523419)","(2752, 192.0, 0.497470898303886)","(2339, 192.0, 0.4607119407603668)","(2675, 192.0, 0.9262080485868038)","(2339, 192.0, 0.4982347985698703)","(3603, 192.0, 0.7816133663419813)","(1120, 192.0, 0.765691547204225)","(3521, 192.0, 0.8324900712467925)","(7257, 192.0, 0.6326135618298987)"
"(765, 191.0, 0.681751031867687)","(5841, 191.0, 0.5227149944978726)","(765, 191.0, 0.7366047252391759)","(765, 191.0, 0.8503396020012519)","(1120, 191.0, 0.9511495700147167)","(2752, 191.0, 0.4875684891700402)","(2752, 191.0, 0.48455995996791396)","(2944, 191.0, 0.4352814750201382)","(2944, 191.0, 0.4494582031100005)","(301, 191.0, 0.5217920327422922)","(301, 191.0, 0.3093739095219532)","(765, 191.0, 0.7809083644075534)","(765, 191.0, 0.8082195017156486)","(2944, 191.0, 0.41800726416834594)","(2944, 191.0, 0.42175200460957846)","(2944, 191.0, 0.4147005282507716)","(2944, 191.0, 0.41685003231530604)","(301, 191.0, 0.2879342191601603)","(301, 191.0, 0.3467983214742255)","(301, 191.0, 0.27037437374828943)","(765, 191.0, 0.8538264492813684)","(6725, 191.0, 0.901404057637852)","(6725, 191.0, 0.901404057637852)","(765, 191.0, 0.7033312827238394)","(765, 191.0, 0.7673334262387764)","(765, 191.0, 0.844507362639051)","(765, 191.0, 0.7750948328160384)","(4292, 191.0, 0.754293752452827)","(4292, 191.0, 0.754293752452827)","(765, 191.0, 0.8395826395377808)","(765, 191.0, 0.8395917881868251)","(765, 191.0, 0.73712196675732)","(301, 191.0, 0.3087430894596598)","(301, 191.0, 0.3061624159243561)","(765, 191.0, 0.7266366948215622)","(765, 191.0, 0.7282821101695138)","(2752, 191.0, 0.4713149952608977)","(765, 191.0, 0.8073722705823378)","(4428, 191.0, 0.9604621708506794)","(765, 191.0, 0.8118807602442017)","(765, 191.0, 0.7980383486155603)","(765, 191.0, 0.7519415953607225)","(765, 191.0, 0.7821417045995439)","(301, 191.0, 0.2564225887166484)","(765, 191.0, 0.7944766407569647)","(1847, 191.0, 0.4959192011786125)","(765, 191.0, 0.7986340059760528)","(2944, 191.0, 0.4060806383257998)","(2944, 191.0, 0.3752016567956581)","(765, 191.0, 0.8846386939268709)","(5266, 191.0, 0.9047626714718555)","(765, 191.0, 0.6529225180297124)","(765, 191.0, 0.8891292757357535)","(765, 191.0, 0.7519578708208843)","(765, 191.0, 0.8314348655387592)","(4428, 191.0, 0.8782573219309335)","(4428, 191.0, 0.8808258742444645)","(301, 191.0, 0.43842076546409564)","(2339, 191.0, 0.5192742627574035)","(2675, 191.0, 0.29283326964193246)","(2944, 191.0, 0.45282819192654217)","(3771, 191.0, 1.1385834234141428)","(1120, 191.0, 0.4501092760409259)","(301, 191.0, 0.33032816629396855)","(7229, 191.0, 0.4459996873441854)","(4428, 191.0, 1.1565156126313212)","(5578, 191.0, 0.6547520426053808)","(6694, 191.0, 0.7158254782262069)"
