200
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200
52,4862;1649;1201;6545;1042;426;3990;4488;457,daytime:morning,184;200,3417;199,6141;198,2831;197,923;196,1164;195,6037;194,1095;193,2505;192,148;191,83;190,27;189,905;188,1158;187,181;186,5054;185,3040;184,6666;183,2347;182,100;181,1030;180,1136;179,2591;178,2940;177,2078;176,104;175,2036;174,942;173,166;172,140;171,399;170,713;169,1196;168,1522;167,3591;166,291;165,763;164,420;163,1877;162,366;161,516;160,209;159,726;158,1147;157,270;156,2366;155,3580;154,1082;153,3370;152,2558;151,3804;150,3191;149,2544;148,506;147,256;146,6838;145,189;144,4071;143,3273;142,3595;141,2020;140,1977;139,5914;138,227;137,542;136,974;135,932;134,3719;133,2422;132,2355;131,4467;130,2986;129,841;128,60;127,956;126,999;125,457;124,2915;123,6059;122,61;121,2595;120,141;119,725;118,4271;117,1591;116,1786;115,2946;114,1139;113,1395;112,3073;111,7036;110,127;109,1179;108,6127;107,4083;106,5280;105,641;104,86;103,802;102,6801;101,2888;100,7143;99,4920;98,2430;97,646;96,144;95,3299;94,4065;93,585;92,3230;91,1996;90,5973;89,3169;88,3776;87,5062;86,2372;85,1765;84,1775;83,520;82,1086;81,2710;80,5405;79,277;78,1125;77,5267;76,1316;75,3462;74,6312;73,1550;72,2840;71,919;70,1583;69,5521;68,852;67,284;66,5070;65,2992;64,2384;63,5100;62,380;61,1057;60,3720;59,740;58,3360;57,3666;56,4687;55,63;54,2855;53,1035;52,1789;51,742;50,349;49,2193;48,450;47,496;46,1240;45,2796;44,1633;43,2602;42,1377;41,1407;40,736;39,4499;38,51;37,1450;36,784;35,2976;34,3704;33,6347;32,2688;31,1403;30,2630;29,4159;28,7140;27,1022;26,1412;25,85;24,4675;23,430;22,4218;21,2107;20,3601;19,4211;18,178;17,204;16,3295;15,2826;14,2166;13,486;12,703;11,398;10,2221;9,1117;8,2724;7,3407;6,3071;5,4045;4,1739;3,5587;2,3352;1
52,2193;2996;2101;3569;420;4006;3419;5158;5032;61;939,daytime:evening,184;200,3417;199,6141;198,2831;197,923;196,1164;195,6037;194,1095;193,148;192,83;191,905;190,1158;189,181;188,5054;187,3040;186,3088;185,6666;184,2347;183,100;182,1030;181,1136;180,2591;179,2940;178,2078;177,104;176,2036;175,6134;174,942;173,2528;172,166;171,140;170,713;169,1196;168,1522;167,3591;166,291;165,763;164,420;163,366;162,516;161,1533;160,209;159,726;158,1147;157,270;156,222;155,2366;154,3580;153,1082;152,3370;151,2558;150,3804;149,3191;148,2544;147,506;146,256;145,6838;144,189;143,4071;142,3273;141,2020;140,1977;139,5914;138,227;137,542;136,974;135,932;134,3719;133,2422;132,2355;131,4467;130,2986;129,841;128,60;127,956;126,3433;125,457;124,6059;123,61;122,2595;121,141;120,725;119,4271;118,1591;117,1786;116,2946;115,1395;114,3073;113,7036;112,127;111,1179;110,6127;109,4083;108,5280;107,641;106,86;105,802;104,6801;103,2888;102,7143;101,4920;100,646;99,144;98,3299;97,4065;96,585;95,168;94,3230;93,1996;92,5973;91,3169;90,3776;89,5062;88,1765;87,1775;86,520;85,1086;84,2710;83,5405;82,277;81,1125;80,5267;79,1316;78,3462;77,6312;76,1550;75,2840;74,919;73,1583;72,5521;71,852;70,284;69,5070;68,2992;67,2384;66,5100;65,380;64,1057;63,3720;62,740;61,3360;60,3666;59,4687;58,63;57,2855;56,1035;55,1789;54,742;53,349;52,2193;51,450;50,496;49,1240;48,293;47,2796;46,1633;45,2602;44,1377;43,1407;42,736;41,4499;40,51;39,1450;38,784;37,2976;36,3704;35,6347;34,2688;33,1403;32,2630;31,4159;30,7140;29,1022;28,1412;27,85;26,4675;25,430;24,4218;23,2107;22,3601;21,4211;20,178;19,204;18,3295;17,2826;16,2166;15,486;14,398;13,2221;12,1117;11,2724;10,3407;9,3071;8,4045;7,1739;6,5587;5,3352;4,4712;3,179;2,3455;1
52,3539;2837;6922;2120;1131;5996;989;813;1403,daytime:night,184;200,6141;199,2831;198,923;197,1164;196,6037;195,1095;194,2505;193,148;192,27;191,905;190,1158;189,181;188,5054;187,3040;186,3088;185,6666;184,2347;183,100;182,1030;181,1136;180,2591;179,2940;178,2078;177,104;176,2036;175,6134;174,942;173,2528;172,166;171,140;170,399;169,713;168,1196;167,1522;166,3591;165,291;164,763;163,420;162,1877;161,366;160,516;159,1533;158,209;157,726;156,1147;155,270;154,222;153,2366;152,3580;151,1082;150,3370;149,2558;148,3804;147,3191;146,2544;145,506;144,256;143,6838;142,189;141,4071;140,3273;139,3595;138,2020;137,1977;136,5914;135,227;134,542;133,974;132,932;131,3719;130,2422;129,2355;128,4467;127,2986;126,841;125,60;124,956;123,999;122,3433;121,457;120,2915;119,6059;118,61;117,2595;116,141;115,725;114,4271;113,1591;112,1786;111,2946;110,1139;109,1395;108,3073;107,7036;106,127;105,1179;104,6127;103,4083;102,5280;101,641;100,86;99,802;98,6801;97,2888;96,7143;95,4920;94,2430;93,646;92,144;91,3299;90,4065;89,585;88,168;87,3230;86,1996;85,5973;84,3169;83,5062;82,2372;81,1765;80,1775;79,520;78,1086;77,2710;76,5405;75,277;74,1125;73,5267;72,1316;71,3462;70,6312;69,1550;68,2840;67,919;66,1583;65,5521;64,852;63,284;62,5070;61,2992;60,5100;59,380;58,1057;57,740;56,3360;55,3666;54,4687;53,63;52,2855;51,1035;50,1789;49,742;48,349;47,2193;46,450;45,496;44,1240;43,293;42,2796;41,1633;40,2602;39,1377;38,1407;37,736;36,4499;35,1450;34,784;33,2976;32,3704;31,6347;30,2688;29,1403;28,2630;27,4159;26,7140;25,1022;24,1412;23,85;22,4675;21,430;20,4218;19,2107;18,3601;17,4211;16,178;15,204;14,3295;13,2826;12,486;11,703;10,398;9,2221;8,1117;7,2724;6,3407;5,3071;4,4045;3,1739;2,5587;1
52,3998;4063;2655;3763;5694;327;3126;2678;1067;6189;1412,daytime:afternoon,184;200,3417;199,6141;198,2831;197,923;196,1164;195,6037;194,1095;193,2505;192,148;191,83;190,27;189,905;188,1158;187,181;186,5054;185,3040;184,3088;183,6666;182,2347;181,100;180,1030;179,1136;178,2591;177,2940;176,2078;175,104;174,2036;173,6134;172,942;171,2528;170,166;169,140;168,399;167,713;166,1196;165,1522;164,3591;163,291;162,763;161,420;160,1877;159,366;158,516;157,1533;156,209;155,726;154,1147;153,270;152,222;151,2366;150,3580;149,1082;148,3370;147,2558;146,3804;145,3191;144,2544;143,506;142,256;141,6838;140,189;139,4071;138,3273;137,3595;136,2020;135,1977;134,5914;133,227;132,542;131,974;130,932;129,3719;128,2422;127,2355;126,2986;125,841;124,60;123,956;122,999;121,3433;120,457;119,2915;118,6059;117,61;116,2595;115,141;114,725;113,4271;112,1591;111,1786;110,2946;109,1139;108,1395;107,3073;106,7036;105,127;104,1179;103,6127;102,4083;101,5280;100,641;99,86;98,802;97,6801;96,2888;95,7143;94,4920;93,2430;92,646;91,144;90,3299;89,4065;88,585;87,168;86,3230;85,1996;84,5973;83,3169;82,3776;81,5062;80,2372;79,1765;78,1775;77,520;76,1086;75,2710;74,5405;73,277;72,1125;71,5267;70,1316;69,3462;68,6312;67,1550;66,2840;65,919;64,1583;63,5521;62,852;61,284;60,5070;59,2992;58,2384;57,5100;56,380;55,1057;54,3720;53,740;52,3360;51,3666;50,4687;49,63;48,2855;47,1035;46,1789;45,742;44,349;43,2193;42,450;41,496;40,1240;39,293;38,2796;37,1633;36,2602;35,1407;34,736;33,4499;32,51;31,1450;30,784;29,2976;28,6347;27,2688;26,1403;25,2630;24,4159;23,7140;22,1022;21,1412;20,85;19,4675;18,430;17,4218;16,2107;15,3601;14,4211;13,178;12,204;11,3295;10,2826;9,2166;8,486;7,703;6,398;5,2221;4,1117;3,2724;2,3407;1
20,4709;6305;6236;4962;4762;6784;2346;701;1983;112;1547;1080;6095;2400;86;5515;1656;3515;1979;3762;1287;1498;1945;1856;5270;5082;5746;5004;4470;2861;851;3601;5110;5193;2855;2195;2973;310;5373;4655;2448;3806;5203;1032;5651;182;3460;3883;5893;2645;2905;4913;3479;1102;2966;1294;6360;876,daytime:morning,1645;200,95;199,1131;198,54;197,1006;196,386;195,104;194,621;193,189;192,3444;191,2338;190,799;189,344;188,5973;187,3;186,2347;185,7023;184,981;183,51;182,63;181,2853;180,207;179,3770;178,284;177,27;176,420;175,974;174,270;173,5100;172,222;171,333;170,657;169,6675;168,603;167,975;166,533;165,1752;164,5946;163,996;162,832;161,280;160,518;159,321;158,2501;157,235;156,3717;155,60;154,1057;153,4903;152,2885;151,1417;150,7036;149,3317;148,3179;147,2355;146,5971;145,2630;144,1148;143,168;142,1883;141,441;140,788;139,742;138,1786;137,33;136,3388;135,277;134,1304;133,229;132,6801;131,1321;130,797;129,1947;128,4671;127,4404;126,3894;125,184;124,679;123,458;122,3484;121,2401;120,848;119,1099;118,4063;117,2979;116,4772;115,4789;114,2446;113,4636;112,905;111,1750;110,785;109,406;108,366;107,1514;106,5184;105,2078;104,4965;103,69;102,7013;101,291;100,1275;99,6666;98,632;97,4919;96,3620;95,545;94,1305;93,1977;92,3891;91,3719;90,2074;89,56;88,6073;87,4451;86,720;85,1862;84,1102;83,960;82,457;81,4977;80,697;79,3503;78,1567;77,1037;76,2495;75,923;74,1196;73,4583;72,75;71,4830;70,4100;69,2089;68,1334;67,456;66,3648;65,3488;64,432;63,1407;62,166;61,8;60,7;59,1923;58,1401;57,1849;56,3028;55,2713;54,717;53,3191;52,4080;51,1536;50,3045;49,3538;48,1854;47,3405;46,4517;45,232;44,725;43,1166;42,85;41,1097;40,3357;39,4415;38,1012;37,1231;36,2384;35,5517;34,5427;33,3419;32,6312;31,6037;30,1126;29,1539;28,5481;27,542;26,808;25,3975;24,4369;23,2477;22,5010;21,1734;20,128;19,5095;18,5338;17,137;16,2859;15,2652;14,469;13,3517;12,2848;11,2870;10,594;9,1749;8,670;7,257;6,4474;5,2703;4,3338;3,3955;2,6693;1
20,396;6527;1970;4406;1030;1262;3488;7041;1275;51;4713;113;2894;6385;4886;2108;3615;6273;3612;2433;5641;1817;3132;1936;5601;512;4800;6663;3778;5705;7024;4619;2336;6840;2143;3592;5693;2621;4191;4805;536;326;1715;3695;5303;2922;2854;3829;2405;1725;867;3770;6261;6154;2142;4427;2846;3766;5170;5237;6901;493;6776;6583;306;4860;6917;335;4120;6100;3990,daytime:evening,2649;200,1645;199,353;198,3575;197,54;196,3415;195,1006;194,386;193,104;192,621;191,189;190,3444;189,2338;188,799;187,344;186,3;185,2347;184,7023;183,981;182,51;181,63;180,2853;179,207;178,3770;177,284;176,420;175,604;174,974;173,270;172,5100;171,333;170,657;169,6675;168,603;167,533;166,1752;165,5946;164,996;163,832;162,280;161,518;160,321;159,2501;158,235;157,3717;156,60;155,1057;154,4903;153,2885;152,1417;151,7036;150,3317;149,3179;148,2355;147,5971;146,1148;145,168;144,1883;143,441;142,788;141,742;140,1786;139,33;138,3388;137,277;136,423;135,1304;134,229;133,6801;132,1321;131,797;130,1947;129,4671;128,4404;127,3894;126,184;125,679;124,458;123,3484;122,2401;121,848;120,4063;119,2979;118,4772;117,2446;116,4636;115,269;114,905;113,1750;112,785;111,366;110,1514;109,5184;108,2078;107,4965;106,69;105,7013;104,2836;103,291;102,1275;101,6666;100,632;99,4919;98,1977;97,3891;96,2074;95,56;94,6073;93,4451;92,720;91,1862;90,1102;89,960;88,457;87,4977;86,697;85,1037;84,2495;83,923;82,1196;81,4583;80,75;79,1935;78,4830;77,4100;76,2089;75,1334;74,456;73,3648;72,3488;71,432;70,1407;69,166;68,8;67,7;66,1923;65,1401;64,1849;63,3028;62,717;61,3191;60,1536;59,3045;58,3538;57,1854;56,3405;55,4517;54,524;53,232;52,725;51,1166;50,85;49,1097;48,3357;47,4415;46,1012;45,1231;44,681;43,2384;42,5517;41,5427;40,3419;39,6312;38,6037;37,1126;36,1539;35,5481;34,4206;33,542;32,808;31,3975;30,4369;29,2477;28,5010;27,1734;26,3321;25,128;24,5095;23,5338;22,137;21,2859;20,2652;19,469;18,3517;17,2848;16,2870;15,594;14,1749;13,670;12,257;11,4474;10,2703;9,3338;8,3955;7,6693;6,2303;5,448;4,173;3,629;2,3551;1
20,6599;5402;4558;2332;4413;4967;5745;2583;4025;1063;626;5487;771;855;1401;6201;785;2705;5387;2724;7136;5900;5915;1277;3674;5718;813;6621,daytime:night,2649;200,1645;199,95;198,353;197,1131;196,3575;195,54;194,3415;193,386;192,104;191,621;190,189;189,3444;188,799;187,344;186,5973;185,3;184,2347;183,7023;182,981;181,51;180,63;179,2853;178,207;177,3770;176,284;175,27;174,604;173,974;172,5100;171,222;170,333;169,657;168,6675;167,603;166,975;165,533;164,1752;163,5946;162,996;161,832;160,280;159,518;158,321;157,2501;156,235;155,3717;154,60;153,1057;152,4903;151,2885;150,1417;149,7036;148,3317;147,3179;146,2355;145,5971;144,2630;143,1883;142,441;141,788;140,1786;139,33;138,3388;137,277;136,423;135,1304;134,229;133,6801;132,1321;131,797;130,1947;129,4671;128,4404;127,3894;126,184;125,458;124,2401;123,848;122,1099;121,4063;120,2979;119,4772;118,4789;117,2446;116,4636;115,269;114,905;113,1750;112,785;111,406;110,366;109,1514;108,5184;107,2078;106,4965;105,69;104,7013;103,2836;102,291;101,1275;100,6666;99,632;98,4919;97,3620;96,545;95,1305;94,1977;93,3891;92,3719;91,2074;90,56;89,6073;88,4451;87,720;86,1102;85,960;84,457;83,4977;82,697;81,3503;80,1567;79,1037;78,2495;77,923;76,1196;75,4583;74,75;73,1935;72,4830;71,4100;70,2089;69,1334;68,456;67,3648;66,3488;65,432;64,1407;63,166;62,8;61,7;60,1923;59,1401;58,1849;57,3028;56,2713;55,717;54,3191;53,4080;52,1536;51,3045;50,3538;49,1854;48,3405;47,4517;46,524;45,232;44,725;43,1166;42,85;41,1097;40,4415;39,1012;38,1231;37,681;36,2384;35,5517;34,5427;33,3419;32,6037;31,1126;30,1539;29,5481;28,4206;27,542;26,808;25,4369;24,2477;23,5010;22,1734;21,3321;20,128;19,5095;18,5338;17,137;16,2859;15,469;14,3517;13,2848;12,2870;11,594;10,1749;9,670;8,257;7,4474;6,2703;5,3338;4,3955;3,6693;2,2303;1
20,3005;5962;5560;4651;5121;4439;6159;6655;445;1946;3753;2677;821;1813;3138;2872;551;3788;4567;4399;4919;2303;5443;1475;2057;2431;5457;3088;348;3192;5578;3932;3605;2412;6345;2948;5699;3424;506;4111;6216;6700;3600;2708;4374;241;1694;4708;300;4850;826;2596;4981;4670;100;5557;4798;4688;788;2840;4878;5759;6205;2147;3610;1673;5658;2307;1948;1811;76;2979;1533;5994,daytime:afternoon,2649;200,1645;199,95;198,353;197,1131;196,3575;195,54;194,3415;193,1006;192,386;191,104;190,621;189,189;188,3444;187,2338;186,799;185,344;184,5973;183,3;182,2347;181,7023;180,981;179,51;178,2853;177,207;176,3770;175,284;174,27;173,420;172,604;171,270;170,222;169,333;168,657;167,6675;166,603;165,975;164,533;163,1752;162,5946;161,996;160,832;159,280;158,518;157,321;156,2501;155,235;154,60;153,1057;152,4903;151,2885;150,1417;149,7036;148,3179;147,2355;146,5971;145,2630;144,1148;143,168;142,1883;141,441;140,788;139,742;138,1786;137,33;136,277;135,423;134,1304;133,229;132,6801;131,1321;130,797;129,1947;128,4671;127,4404;126,3894;125,184;124,679;123,3484;122,2401;121,848;120,1099;119,4063;118,2979;117,4772;116,4789;115,2446;114,4636;113,269;112,905;111,1750;110,785;109,406;108,366;107,1514;106,5184;105,2078;104,4965;103,7013;102,2836;101,291;100,1275;99,6666;98,632;97,4919;96,3620;95,545;94,1305;93,1977;92,3719;91,2074;90,56;89,4451;88,1862;87,1102;86,960;85,457;84,4977;83,697;82,3503;81,1567;80,1037;79,2495;78,923;77,1196;76,4583;75,75;74,1935;73,4830;72,4100;71,2089;70,1334;69,3488;68,432;67,1407;66,166;65,8;64,7;63,1923;62,1401;61,1849;60,2713;59,717;58,3191;57,4080;56,1536;55,3045;54,3538;53,1854;52,4517;51,524;50,232;49,725;48,1166;47,85;46,1097;45,3357;44,4415;43,1231;42,681;41,5517;40,5427;39,3419;38,6312;37,6037;36,1126;35,5481;34,4206;33,542;32,808;31,3975;30,4369;29,2477;28,5010;27,3321;26,128;25,5095;24,5338;23,2859;22,2652;21,469;20,2848;19,2870;18,594;17,1749;16,670;15,257;14,4474;13,2703;12,3338;11,3955;10,6693;9,2303;8,448;7,173;6,3551;5,2690;4,2894;3,3565;2,5127;1
323,2041;84;4522;1196;3553;862;2848;4876;3951;320;1617;4403;5552;1571;5147;5427;657;1614;55;280;5576;2355;2387;3018;5296;1335;7024;6292;6778;4997;2604;1206;5360;3588;2556;1378;603;173;974;2693;1146;1999,daytime:morning,184;200,604;199,140;198,291;197,54;196,3;195,2649;194,270;193,232;192,95;191,2338;190,63;189,2347;188,56;187,458;186,542;185,742;184,447;183,3575;182,420;181,1477;180,189;179,104;178,2859;177,2101;176,3770;175,3774;174,6801;173,788;172,109;171,256;170,2595;169,1407;168,1977;167,6141;166,2078;165,2401;164,657;163,222;162,4206;161,3894;160,2870;159,2713;158,533;157,500;156,725;155,1147;154,1131;153,48;152,4740;151,280;150,3388;149,386;148,2512;147,168;146,679;145,1135;144,629;143,3975;142,294;141,5971;140,5946;139,2104;138,799;137,1750;136,2422;135,520;134,399;133,4840;132,600;131,1188;130,2355;129,8;128,1550;127,166;126,333;125,960;124,7;123,1006;122,3891;121,1849;120,60;119,646;118,552;117,975;116,3217;115,7036;114,5496;113,86;112,6666;111,603;110,3179;109,2348;108,75;107,3498;106,207;105,51;104,750;103,5973;102,173;101,1976;100,2724;99,574;98,2558;97,2449;96,71;95,1749;94,1164;93,811;92,3451;91,923;90,1786;89,4080;88,4271;87,3580;86,4565;85,717;84,2031;83,4842;82,1607;81,1883;80,6675;79,785;78,6679;77,518;76,110;75,516;74,33;73,1562;72,2221;71,2795;70,1321;69,842;68,584;67,287;66,7140;65,344;64,569;63,1734;62,3588;61,3900;60,374;59,28;58,2836;57,277;56,1035;55,981;54,4585;53,2888;52,2123;51,1265;50,6134;49,2495;48,1319;47,1356;46,3277;45,269;44,3119;43,797;42,4763;41,1862;40,5553;39,1023;38,3831;37,6693;36,6112;35,955;34,1408;33,2486;32,2693;31,162;30,1240;29,2596;28,423;27,3539;26,4784;25,2053;24,726;23,4211;22,594;21,2792;20,2471;19,2303;18,7013;17,1097;16,974;15,6029;14,1236;13,3182;12,181;11,1148;10,4100;9,3189;8,1082;7,2934;6,3073;5,96;4,4965;3,3484;2,4133;1
323,4984;6157;33;7078;5470;1786;5323;502;4587;4898;706;3856;4923;2997;3943;6693;3579;1763;4932;4200;3810;1936;86;1739;629;6634;6591;1005;2955;604;5765;407;3172;908;4640;363;1231;696,daytime:evening,27;200,184;199,604;198,140;197,291;196,353;195,54;194,3;193,2649;192,270;191,232;190,95;189,2338;188,63;187,2347;186,56;185,458;184,542;183,742;182,447;181,3575;180,420;179,2501;178,1477;177,2817;176,189;175,104;174,2859;173,2101;172,3770;171,3774;170,6801;169,109;168,256;167,2595;166,1407;165,1977;164,1401;163,2078;162,2401;161,657;160,4206;159,2870;158,2713;157,500;156,5100;155,1147;154,48;153,4740;152,280;151,3388;150,386;149,2512;148,168;147,679;146,1135;145,629;144,3975;143,284;142,294;141,5971;140,5946;139,1057;138,1514;137,2104;136,799;135,1750;134,2422;133,520;132,399;131,4840;130,102;129,600;128,2355;127,8;126,166;125,333;124,960;123,7;122,1006;121,3891;120,1849;119,552;118,975;117,3217;116,1305;115,7036;114,5496;113,86;112,6666;111,603;110,3179;109,2348;108,75;107,3498;106,1417;105,207;104,366;103,51;102,750;101,5973;100,173;99,1976;98,2724;97,2662;96,574;95,2558;94,2449;93,71;92,1749;91,3069;90,1164;89,811;88,3451;87,923;86,1786;85,4080;84,4271;83,3580;82,4565;81,717;80,2031;79,4842;78,1607;77,1883;76,785;75,6679;74,518;73,110;72,516;71,33;70,1562;69,2221;68,2795;67,842;66,660;65,3719;64,584;63,287;62,7140;61,344;60,569;59,3588;58,374;57,28;56,2836;55,277;54,1035;53,981;52,4585;51,2123;50,1265;49,6134;48,3415;47,2495;46,1319;45,1356;44,269;43,3119;42,4763;41,1862;40,5553;39,1405;38,3831;37,6693;36,955;35,1408;34,2486;33,2693;32,162;31,1240;30,2596;29,423;28,3539;27,4784;26,2053;25,726;24,4211;23,594;22,2792;21,2471;20,7013;19,974;18,6029;17,191;16,1236;15,3182;14,181;13,1148;12,4100;11,3189;10,3897;9,1854;8,1082;7,2934;6,3073;5,96;4,4965;3,3484;2,4133;1
