25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
52,4862;1649;1201;6545;1042;426;3990;4488;457,daytime:morning,1714;25,420;24,994;23,923;22,3859;21,3417;20,999;19,3636;18,821;17,2979;16,3972;15,673;14,3166;13,3591;12,4071;11,134;10,4288;9,5054;8,558;7,4830;6,3040;5,1373;4,4467;3,4531;2,2946;1
52,2193;2996;2101;3569;420;4006;3419;5158;5032;61;939,daytime:evening,1714;25,420;24,994;23,923;22,3859;21,3417;20,3636;19,821;18,2979;17,3433;16,3972;15,673;14,3166;13,3591;12,4071;11,134;10,5054;9,558;8,4830;7,3040;6,1373;5,4467;4,4531;3,2946;2,300;1
52,3539;2837;6922;2120;1131;5996;989;813;1403,daytime:night,1714;25,420;24,994;23,923;22,3859;21,999;20,3636;19,821;18,2979;17,3433;16,3972;15,673;14,3166;13,3591;12,4071;11,134;10,4288;9,5054;8,558;7,4830;6,3040;5,1373;4,4467;3,4531;2,2946;1
52,3998;4063;2655;3763;5694;327;3126;2678;1067;6189;1412,daytime:afternoon,1714;25,420;24,994;23,923;22,3859;21,3417;20,999;19,3636;18,821;17,2979;16,3433;15,3972;14,673;13,3166;12,3591;11,4071;10,134;9,4288;8,5054;7,558;6,4830;5,3040;4,1373;3,4531;2,2946;1
20,4709;6305;6236;4962;4762;6784;2346;701;1983;112;1547;1080;6095;2400;86;5515;1656;3515;1979;3762;1287;1498;1945;1856;5270;5082;5746;5004;4470;2861;851;3601;5110;5193;2855;2195;2973;310;5373;4655;2448;3806;5203;1032;5651;182;3460;3883;5893;2645;2905;4913;3479;1102;2966;1294;6360;876,daytime:morning,1750;25,4080;24,207;23,6250;22,270;21,2501;20,27;19,86;18,6037;17,63;16,725;15,2817;14,1057;13,1131;12,603;11,1148;10,679;9,2859;8,3131;7,1305;6,189;5,2078;4,222;3,5973;2,974;1
20,396;6527;1970;4406;1030;1262;3488;7041;1275;51;4713;113;2894;6385;4886;2108;3615;6273;3612;2433;5641;1817;3132;1936;5601;512;4800;6663;3778;5705;7024;4619;2336;6840;2143;3592;5693;2621;4191;4805;536;326;1715;3695;5303;2922;2854;3829;2405;1725;867;3770;6261;6154;2142;4427;2846;3766;5170;5237;6901;493;6776;6583;306;4860;6917;335;4120;6100;3990,daytime:evening,353;25,1750;24,604;23,207;22,6250;21,270;20,2501;19,86;18,6037;17,63;16,423;15,725;14,1057;13,603;12,1148;11,679;10,2859;9,3131;8,189;7,2078;6,974;5,4247;4,439;3,1385;2,2662;1
20,6599;5402;4558;2332;4413;4967;5745;2583;4025;1063;626;5487;771;855;1401;6201;785;2705;5387;2724;7136;5900;5915;1277;3674;5718;813;6621,daytime:night,353;25,1750;24,4080;23,604;22,207;21,6250;20,2501;19,27;18,86;17,6037;16,63;15,423;14,725;13,2817;12,1057;11,1131;10,603;9,2859;8,3131;7,1305;6,189;5,2078;4,222;3,5973;2,974;1
20,3005;5962;5560;4651;5121;4439;6159;6655;445;1946;3753;2677;821;1813;3138;2872;551;3788;4567;4399;4919;2303;5443;1475;2057;2431;5457;3088;348;3192;5578;3932;3605;2412;6345;2948;5699;3424;506;4111;6216;6700;3600;2708;4374;241;1694;4708;300;4850;826;2596;4981;4670;100;5557;4798;4688;788;2840;4878;5759;6205;2147;3610;1673;5658;2307;1948;1811;76;2979;1533;5994,daytime:afternoon,353;25,1750;24,4080;23,604;22,207;21,270;20,2501;19,27;18,86;17,6037;16,423;15,725;14,2817;13,1057;12,1131;11,603;10,1148;9,679;8,2859;7,3131;6,1305;5,189;4,2078;3,222;2,5973;1
323,2041;84;4522;1196;3553;862;2848;4876;3951;320;1617;4403;5552;1571;5147;5427;657;1614;55;280;5576;2355;2387;3018;5296;1335;7024;6292;6778;4997;2604;1206;5360;3588;2556;1378;603;173;974;2693;1146;1999,daytime:morning,54;25,63;24,291;23,1477;22,184;21,2355;20,3028;19,280;18,333;17,60;16,189;15,270;14,95;13,646;12,742;11,104;10,6141;9,7036;8,769;7,56;6,6549;5,4080;4,86;3,3131;2,447;1
323,4984;6157;33;7078;5470;1786;5323;502;4587;4898;706;3856;4923;2997;3943;6693;3579;1763;4932;4200;3810;1936;86;1739;629;6634;6591;1005;2955;604;5765;407;3172;908;4640;363;1231;696,daytime:evening,54;25,63;24,291;23,353;22,1477;21,184;20,2355;19,3028;18,280;17,333;16,189;15,270;14,95;13,742;12,104;11,7036;10,769;9,27;8,2501;7,56;6,6549;5,4080;4,86;3,3415;2,3131;1
