25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
52,4862;1649;1201;6545;1042;426;3990;4488;457,daytime:morning,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,7122;17,7196;16,1328;15,6210;14,3700;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,4428;5,6874;4,1358;3,7151;2,1394;1
20,6599;5402;4558;2332;4413;4967;5745;2583;4025;1063;626;5487;771;855;1401;6201;785;2705;5387;2724;7136;5900;5915;1277;3674;5718;813;6621,daytime:night,7155;25,6089;24,2886;23,3098;22,2532;21,1795;20,7199;19,7196;18,1781;17,1328;16,7122;15,6210;14,3700;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,4428;5,6874;4,1358;3,7151;2,3563;1
182,5546;403;4188;5973;270;456,daytime:night,7155;25,6089;24,1795;23,2532;22,3098;21,2886;20,1328;19,7199;18,1781;17,7196;16,7122;15,3700;14,6936;13,6210;12,6811;11,1651;10,7179;9,1886;8,7228;7,6950;6,1358;5,4428;4,1957;3,2106;2,5532;1
154,5362;5424;1077;1734;42;1188;180;502;1346;6835;2960;2684;5086;2523;4041;4321;2136,daytime:night,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,7196;18,1781;17,1328;16,7122;15,6210;14,3700;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,4428;5,1358;4,6874;3,7151;2,3563;1
154,3741;3735;4613;5271;358;2662;1427;942;3521;7261;4545;127;1109;2814;2401;26;128;5821;5153;2882;5625;243;4270;2162;3342;3583;1540;1923;1912;3031;23;173;5457;6921;4904;6376;3058,daytime:afternoon,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,7196;18,1781;17,1328;16,7122;15,6210;14,3700;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,4428;5,1358;4,6874;3,7151;2,3563;1
128,3164;882;1874;327;1099;6524;4703;1149;5755;2423;5139;4435;4043;2977;6333;6011;300;4807;453;3487;2369;6604;3508;4005;3280;3692;5550;1923;1525;6547;6140;2166;1425;1761;854;2443;3221;761;2214;2103;6207;261;4251,daytime:evening,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,7196;17,7122;16,1328;15,6210;14,3700;13,6936;12,1886;11,1651;10,6811;9,7179;8,6950;7,7228;6,4428;5,7151;4,6874;3,1358;2,1394;1
185,3734;340;6014;4353;1269;1109;4024;4707;1159;4937;1432;3503;6541;4920;1066;2059;4560;4891;2442;3790;811;1729;2865;1131;937;5059;6143,daytime:evening,7155;25,6089;24,2886;23,2532;22,3098;21,1795;20,7199;19,7196;18,7122;17,1781;16,1328;15,3700;14,6210;13,6936;12,6811;11,1886;10,7179;9,1651;8,6950;7,4428;6,7228;5,3563;4,1358;3,6874;2,7151;1
316,4763;6519;4406;2386;3553;5762;5406;6807;4947;410;2284;403;4856;3262;2025;6273;1556;421;2251;5452;5224;1972;2527;2584;1348;5987;294;3931;4865;380;646;5459;5065;3268;3324;208;6092;4984;3453;2195;5914;4174;5630;4603;893;797;6874;137;7144;5096;320;5539;3835;6187;1180;1176;3008;7;5973;3586;5357;3172;4282;1697;1508;2445;6484;539;450;3075;5790;638;6773,daytime:morning,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,7196;17,1328;16,7122;15,3700;14,6210;13,6936;12,1886;11,6811;10,1651;9,7179;8,6950;7,7228;6,4428;5,7151;4,1358;3,6874;2,1957;1
316,4226;43;4934;503;4717;1851;7062;3321;4024;5341;6638;5298;1858;3045;4095;3966;527;5868;2830;2084;6649;3717;1788;1416;6018;1264;6368;4276;1734;133;679;5988;4942;2543;104;5902;4017;2116;423;4263;5608;45;6895;3347;6042;2421;383;3527;6398;1479;3139;407;425;5706;6037;6207;4488;6049;5336,daytime:evening,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,7196;17,1328;16,7122;15,3700;14,6210;13,6936;12,1886;11,6811;10,1651;9,7179;8,6950;7,7228;6,4428;5,7151;4,1358;3,6874;2,3563;1
316,975;7273;7043;4363;6517;2598;1993;1084;4598;3191;1733;2499;809;291;2406;1936;2986;785;3311;3120;1019;1410;3230;2781;3234;371;6047;5512;3803;3790;2253;4482;2214;4077;4470;848;2847;6721;2915;2946;148;4080;932;5343;121;1350;5454;3396;560;4731;4347;5777;100;7221;7219;5553;4103;6029;6570;5018;5093;4091;2680;5338;1223;1349;811;5214;3105;1361;5801;3113;742;6973,daytime:afternoon,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,7196;17,1328;16,7122;15,3700;14,6210;13,6936;12,1886;11,6811;10,1651;9,7179;8,6950;7,7228;6,4428;5,7151;4,1358;3,6874;2,3563;1
270,3741;5097;389;1171;2245;1095;2440;3214;6498;6382;689;6273;3760;112;510;3138;6001;2406;342;4842;6753;920;7034;3438;2071;4557;1999;400;6551;6368;1962;3480;3494;3299;2973;3561;3387;1203;985;2897;203;2846;4981;5557;6613;4463;5825;4510;6137;2325;811;5706;1515;1699;5801;2144;1623;5118,daytime:afternoon,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,7196;17,1328;16,7122;15,6210;14,3700;13,6936;12,1886;11,6811;10,1651;9,7179;8,6950;7,7228;6,4428;5,1358;4,6874;3,7151;2,3563;1
130,408;5704;3554;268;3203;6174;3316;2492;4883;1124;1538;578;2646;597;6117;1691;1576;5125;4761,daytime:afternoon,7155;25,6089;24,2886;23,2532;22,3098;21,1795;20,7199;19,7196;18,1781;17,1328;16,7122;15,6210;14,3700;13,6936;12,1886;11,6811;10,1651;9,7179;8,6950;7,7228;6,4428;5,1358;4,3563;3,1957;2,6874;1
263,2436;56;5598;5912;5710;1234;4745;1433;2848;4703;3177;2894;5668;4043;919;263;7029;2976;1997;2124;5332;1259;859;6192;5928;3275;672;7211;1922;6694;3209;3744;7082;2218;1775;2430;3042;5059;6102;339,daytime:morning,7155;25,6089;24,2886;23,3098;22,2532;21,1795;20,7199;19,7196;18,1781;17,1328;16,7122;15,6210;14,3700;13,6936;12,6811;11,1886;10,7179;9,1651;8,6950;7,7228;6,4428;5,1358;4,6874;3,3563;2,7151;1
284,4165;4142;6077;608;2974;779;37;2284;6073;155;3541;886;6859;1633;2251;2369;5026;3508;73;6328;6405;6232;3699;3930;4833;6532;3755;6900;6202;6275;4276;5867;6732;420;7023;1722;469;2313;204;2361;448;1268;3777;392;1153;5686;3110;6111;267;782;129;4;727;4082;1543;260;5084;1013;4907;7043;1592;5629;1011;1773;3553;885;263;2483;7290;2338;3996;3134;3607;2615;748;4342;5827;5150;2655;1381;7110;4341;5980;3594;1511;2947;5159;4011;4102;2882;1801;2736;2388;240;2697;3730;905;6750;1250;1025;60;3847;4692;5295;5474;6254;1244;5138;3993;6476;2197;2031;2907;5646;1548;6716;3270;2153;2265;3419;647;6403;2088;1373;5914;1754;1555;5988;571;5202;271;4533;4801;4540;739;4172;4391;5036;5078;4382;1271;3791;3858;6142;2226;340;3845;1433;2005;5762;3102;750;2870;6086;5125;760;2102;2663;2464;4132;6246;3805;6443;1640;2580;1199;3790;2641;5447;1990;5533;4868;6706;1073;6567;2715;4735;2993;417;5007;6449;2477;407;475;2444;3027;1515;6484;4183,daytime:morning,7155;25,6089;24,3098;23,2532;22,2886;21,1795;20,7122;19,7196;18,1781;17,7199;16,1328;15,3700;14,6210;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,6874;5,4428;4,822;3,7151;2,1358;1
284,50;4912;3947;6519;6568;3863;2703;5956;1668;6784;2732;51;1435;1588;3214;424;2771;3906;1109;2926;7160;4072;3975;1370;1067;1935;444;4859;61;3040;5911;702;6604;2063;2027;726;6814;6463;2830;5508;1766;585;838;48;6545;6549;1743;2192;3445;4468;3302;2414;867;3127;2616;5105;2768;3705;4268;2295;1164;3720;4782;426;4033;1372;2652;4050;1201;6401;6811;3525;3562;1759;2600;1195;4903;6824;745;7233;4917;2103;3813;1606;3925;2334;2389;3321;3517;1943;3444;2151;958;710;7095;7190;1390;3111;1976;1376;1059;4100;6421;32;6306;2336;4339;2266;5488;3578;6411;6416;1209;3282;3063;5769;1338;555;3609;5770;1273;3;7055;6126;107;2512;178;5539;189;1454;7197;2178;4062;1700;3388;412;5613;7136;2140;798;3315;164;6207;10;7194,daytime:evening,7155;25,6089;24,3098;23,2532;22,2886;21,1795;20,7122;19,7196;18,1781;17,7199;16,1328;15,3700;14,6210;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,6874;5,4428;4,822;3,7151;2,1358;1
284,354;1107;5311;3290;764;5164;6159;3286;6718;4317;3490;5702;454;5423;4889;3439;5199;4318;449;6365;1187;859;827;1771;5194;3295;3614;3881;2032;1018;982;1385;5569;6473;2912;5182;4057;1394;2500;5799;851;2259;3238;1933;1915;6106;4178;2195;2349;6765;845;3227;5959;2511;7261;2848;1755;4158;531;2205;3970;2805;3936;1832;3297;2842;3008;4238;3278;644;14;1462;2263;6422;5665;2113;1125;1923;166;4541;4928;6248;456;1300;738;4240;6143;487;4566;3114;5176;7273;1279;1225;1174;4416;1200;4653;6987;6104;460;5589;4948;5011;6665;1400;1188;6499;785;1710;865;1019;5184;3459;2057;2437;3540;5024;4470;4361;3992;1882;3866;774;2503;1510;781;3917;5714;3328;489;5373;3437;4857;5715;2043;569;314;6011;5163;4155;3775;2326;5845;595;4652;5455;1450;6139;6432;1139;6626;4654;91;6378;2362;6978;2682;2310;3009;2950;1223;1574;4585;1459;11;117;2877;7272;2323,daytime:night,7155;25,6089;24,3098;23,2532;22,2886;21,1795;20,7122;19,7196;18,1781;17,7199;16,1328;15,3700;14,6210;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,6874;5,4428;4,822;3,7151;2,1358;1
284,6366;4227;406;1874;5146;3761;6444;5137;818;4594;4046;4054;984;6737;3767;4764;4783;2872;1484;2074;5840;2425;1097;514;6024;7216;5451;1989;3595;1788;1708;2623;3776;4628;4432;7076;816;5745;5946;4937;1866;7188;751;3017;2124;1797;820;792;1812;3371;179;4648;7183;6337;1540;6572;1349;3929;4683;2865;5748;696;4479;1221;4027;545;5351;1001;1851;5735;94;2299;2482;2504;3068;2196;1997;6440;5147;527;2671;332;3357;2876;3225;3119;500;683;2106;4896;6862;2023;6007;588;1455;4805;543;4484;5682;1006;4110;6090;1354;2661;2935;1463;3704;4677;333;7295;3436;857;319;1255;2317;222;5205;4824;3718;3420;558;6875;4288;6583;1657;6239;720;1925;4260;3610;5764;1083;435;3528;2070;6065;1828,daytime:afternoon,7155;25,6089;24,3098;23,2532;22,2886;21,1795;20,7122;19,7196;18,1781;17,7199;16,1328;15,3700;14,6210;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,6874;6,4428;5,822;4,7151;3,1358;2,1394;1
243,5394;5466;4228;1879;2858;440;2362;250;5885;1162;4300;3975;6981;7073;4092;1102;5464;4470;2432;6102;1935;6927;598,daytime:morning,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,1328;17,7122;16,7196;15,6210;14,3700;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,1358;5,4428;4,7151;3,3563;2,6874;1
243,1025;5424;2991;4418;6519;5315;6520;1341;3418;5252;4954;136;2883;3708;3380;3612;7092;6685;5199;6977;3604,daytime:night,7155;25,6089;24,3098;23,2886;22,2532;21,1795;20,7199;19,1781;18,1328;17,7122;16,7196;15,6210;14,3700;13,6936;12,1886;11,6811;10,7179;9,1651;8,6950;7,7228;6,1358;5,4428;4,7151;3,3563;2,6874;1
299,5810;6744;5193;3420;296;6517;5823;5515;6694;5316;1458;5544;3484;4241;5915;5407;2150;2316;2093;5994;6045;4557,daytime:afternoon,7155;25,6089;24,2886;23,3098;22,2532;21,1795;20,7199;19,7196;18,1328;17,1781;16,7122;15,6210;14,3700;13,6936;12,6811;11,1886;10,7179;9,1651;8,6950;7,7228;6,4428;5,1358;4,3563;3,6874;2,7151;1
