25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
52,222;3687;2052;344;6246;2584;74;3433;1755;1365;621;4117;3088;168;6134;1533,daytime:morning,7143;25,75;24,3433;23,923;22,1131;21,95;20,1175;19,2003;18,1440;17,6391;16,2595;15,3488;14,854;13,4467;12,932;11,2430;10,2101;9,85;8,129;7,785;6,4711;5,2445;4,100;3,496;2,2591;1
52,4167;3523;5466;3103;1169;2894;872;75;900;4585;2430;5584;2505,daytime:evening,7143;25,75;24,3433;23,923;22,1131;21,95;20,1175;19,2003;18,1440;17,6391;16,2595;15,3488;14,854;13,4467;12,457;11,932;10,2430;9,85;8,293;7,129;6,785;5,4711;4,2445;3,100;2,496;1
52,3224;924;2063;4323;5395;5004;382;1920,daytime:afternoon,7143;25,75;24,3433;23,923;22,1131;21,95;20,1175;19,2003;18,1440;17,6391;16,2595;15,3488;14,854;13,457;12,932;11,2430;10,2101;9,85;8,293;7,129;6,785;5,4711;4,2445;3,100;2,496;1
20,4165;4763;1647;4206;5504;6098;2010;5733;7027;5192;3575;3731;2233;2770;5640;467;5011;3831;1597;1771;4918;3206;4957;3803;6140;3790;3042;269;588;211;6313;2019;3302;4852;2614;6259;183;6289;1052;239;2574;4631;293;423;1180;5119;4207;1135;2178;6894;5408;1760;1982;4931;6334;6219;5131;4929;2166;4683;6323;2270;3113;2281;4491;1013,daytime:morning,232;25,3255;24,1148;23,3620;22,189;21,725;20,3975;19,975;18,942;17,95;16,2124;15,270;14,1936;13,1131;12,7;11,3353;10,545;9,6141;8,4404;7,2859;6,406;5,1250;4,679;3,6118;2,222;1
20,2665;6517;6199;6797;4462;1099;642;311;3625;5139;2895;3337;4820;3708;5961;4098;1474;1341;5115;2630;6571;3724;1567;6203;1155;4452;6020;95;5268;3417;6321;4187;691;1463;616;5407;2512;4801;2124;4085;5686;1759;5973;6190;3586;5665;4457;4740;1610;5189;3105;4632;6207;6102;5729;4612,daytime:evening,1102;25,232;24,2858;23,3774;22,1148;21,353;20,189;19,725;18,2836;17,86;16,604;15,250;14,3975;13,942;12,95;11,2124;10,270;9,1955;8,7;7,3353;6,6141;5,4404;4,2859;3,1250;2,679;1
20,6125;5315;5910;5416;420;1136;2543;2746;2808;3634;3458;5243;3177;1496;2814;7145;1709;3975;2993;2860;168;6685;5412;5935;2797;1172;4062;4565;2015;4560;2163;2688;451;3484;6027;7073;3291;955;290;6542;4284,daytime:night,1102;25,232;24,2858;23,3255;22,3774;21,3620;20,353;19,189;18,725;17,2836;16,86;15,604;14,250;13,3975;12,975;11,942;10,95;9,2124;8,1936;7,1131;6,1955;5,7;4,3353;3,545;2,6141;1
20,3180;5254;4138;504;1953;3165;5316;4007;4469;478;4049;1207;2126;3643;2550;2102;3579;61;4168;5472;2464;6384;3897;5061;6051;4425;635;4309;4237;4694;5807;5086;4300;6250;5488;974;365;4137;471;1917;2349;6233;2916;352;3405;3409;63;174;5621;6520;6613;629;4998;810;6173;4854;4556;4976;3891;3152,daytime:afternoon,1102;25,232;24,2858;23,3255;22,3774;21,1148;20,3620;19,353;18,189;17,725;16,2836;15,86;14,604;13,250;12,3975;11,975;10,95;9,2124;8,270;7,1936;6,1131;5,1955;4,7;3,545;2,6141;1
323,1917;5325;4432;223;5319;1514;2154;1405;4104;241;4314;5281;191;2149;1015;486;2085;1563;4527;4005;1126;3415;3897;2059;3341;2781;2501;1923;381;1634;1789;284;670;23;3540;2623;4751;213;3920;6310;3238;6049;593;5966,daytime:morning,406;25,2894;24,742;23,420;22,1131;21,604;20,60;19,2124;18,277;17,6141;16,3521;15,184;14,2558;13,600;12,95;11,1477;10,3620;9,189;8,432;7,456;6,2372;5,785;4,3575;3,981;2,2946;1
323,3601;1734;565;1971;1233;2927;942;797;6675;931;2124;2803;1797;222;6095;740;2778;1097;3111;2263;6043;1847;5501;235;1540;2112;1711;4302;5442,daytime:evening,406;25,2894;24,742;23,420;22,353;21,250;20,2124;19,277;18,3521;17,184;16,2558;15,320;14,600;13,95;12,1477;11,3620;10,189;9,432;8,456;7,173;6,2372;5,785;4,3575;3,981;2,2946;1
323,5057;2256;1851;1203;3;2209;352;3334;2295;2008;1899;423;270;4442;2842;5849;4228;2986;2425;4218;3401;2173;4685;388;6411;2168,daytime:night,406;25,2894;24,420;23,1131;22,353;21,250;20,604;19,60;18,2124;17,6141;16,3521;15,184;14,2558;13,320;12,600;11,95;10,1477;9,3620;8,189;7,456;6,173;5,2372;4,3575;3,2946;2,1645;1
323,50;1962;6841;679;5714;607;3328;5516;4620;5238;2821;2116;524;2199;5400;2450;500;6184;3881;6879;5106;4077;1226;2136;543;905,daytime:afternoon,2894;25,742;24,420;23,1131;22,353;21,250;20,604;19,60;18,2124;17,277;16,6141;15,3521;14,2558;13,320;12,600;11,95;10,1477;9,189;8,432;7,173;6,2372;5,785;4,981;3,2946;2,1645;1
182,996;84;89,daytime:morning,7143;25,386;24,3417;23,184;22,291;21,1131;20,1960;19,5973;18,974;17,148;16,960;15,399;14,1136;13,2355;12,2792;11,420;10,270;9,3943;8,168;7,95;6,750;5,344;4,516;3,657;2,2031;1
182,184,daytime:evening,7143;25,386;24,3417;23,184;22,291;21,1131;20,1960;19,5973;18,974;17,148;16,960;15,399;14,1136;13,2355;12,2792;11,420;10,270;9,3943;8,168;7,95;6,750;5,344;4,516;3,657;2,2031;1
182,657;1193;256;284;6141,daytime:night,386;25,3417;24,184;23,291;22,1131;21,1960;20,960;19,399;18,1136;17,2355;16,2792;15,420;14,3943;13,168;12,95;11,344;10,516;9,657;8,2031;7,3488;6,75;5,2946;4,1365;3,54;2,280;1
182,102;5496;1170;533;1057,daytime:afternoon,7143;25,386;24,3417;23,184;22,1131;21,1960;20,5973;19,974;18,148;17,960;16,399;15,1136;14,2355;13,2792;12,420;11,270;10,3943;9,168;8,95;7,750;6,344;5,657;4,2031;3,3488;2,75;1
183,6305;1007;3648;4468;2896;6643;4219;970;1750;6547;2631;4470;426;5691;4391;3557,daytime:morning,3774;25,2858;24,2124;23,1936;22,942;21,2836;20,241;19,2450;18,95;17,3194;16,920;15,860;14,2816;13,2490;12,3143;11,250;10,4696;9,2164;8,4266;7,788;6,2748;5,1102;4,3762;3,2620;2,4641;1
183,5026;5071;309;4146;1023;1275;428;4274;6231;4660;1880;6140;798;2295;1164;5989;4981,daytime:evening,3774;25,1126;24,2858;23,2124;22,1936;21,942;20,2836;19,241;18,2450;17,95;16,3194;15,6118;14,920;13,2816;12,2490;11,3143;10,250;9,4696;8,2336;7,2539;6,2164;5,4266;4,2827;3,788;2,2748;1
183,6258;4070;396;6095;4804;249;4249;255;2746;2579;5689;5770;5025;2080;2847;2861;3940;4411;3579;1258;681,daytime:night,3774;25,1126;24,2858;23,942;22,2836;21,241;20,2450;19,95;18,3194;17,6118;16,920;15,860;14,2816;13,2490;12,3143;11,4696;10,2336;9,2539;8,2164;7,4266;6,2827;5,788;4,2748;3,1102;2,3762;1
183,1842;859;545;1917;4301;3829;5728;3897;608;5948;1473;3484;3031;3269;5488;2700;2093;5578;3058,daytime:afternoon,3774;25,1126;24,2858;23,2124;22,1936;21,942;20,2836;19,241;18,2450;17,95;16,3194;15,6118;14,920;13,860;12,2816;11,2490;10,3143;9,250;8,4696;7,2336;6,2539;5,2164;4,4266;3,2827;2,788;1
154,930;56;303;3807;679;6797;3052;607;1514;6141;5105;2583;3068;1506;5170;4547;6612;1791;1004;5246;5100;5528;3654;727;5077;646;4917;3730;6007;3258;4549;806,daytime:morning,742;25,386;24,420;23,1131;22,646;21,3620;20,6141;19,4404;18,2894;17,60;16,1148;15,54;14,604;13,86;12,1477;11,181;10,7;9,960;8,173;7,974;6,95;5,277;4,3353;3,516;2,919;1
154,817;5736;5176;5110;4816;3630;3565;2932;4104;104;4427;6696;3885;3004;1135;4352;6470;3457;3788;5866;1759;3460;1385;2253;670;2172;140,daytime:evening,270;25,406;24,386;23,420;22,1131;21,189;20,232;19,646;18,3620;17,6141;16,4404;15,2894;14,184;13,60;12,1148;11,604;10,86;9,1477;8,181;7,7;6,960;5,173;4,5757;3,95;2,277;1
154,6306;2335;1846;5270;3666;4507;2397;721;745;6272;452;4696,daytime:night,270;25,406;24,742;23,386;22,420;21,1131;20,189;19,232;18,646;17,3620;16,6141;15,4404;14,2894;13,184;12,60;11,1148;10,54;9,604;8,86;7,1477;6,181;5,7;4,960;3,173;2,974;1
154,1834;5985;1725;2901;7041;4672;554;5927;530;5294;1937;1180;446;5478;6923;3132;2784;5099;3364;124;2983;6111;427;5973;407;3172;3891;5024;1336;2877,daytime:afternoon,270;25,406;24,742;23,386;22,420;21,1131;20,189;19,232;18,646;17,3620;16,6141;15,4404;14,2894;13,184;12,1148;11,54;10,604;9,1477;8,181;7,7;6,960;5,974;4,5757;3,95;2,3353;1
210,1157;340;1973;3516;5429;7261;3937;4515;1407;4041;933;2348;63;2506;3078;830;5194;3814;3033;2355;6890;1979;284;605;794;955;2794;1226,daytime:morning,95;25,7143;24,1131;23,2894;22,742;21,2355;20,785;19,516;18,167;17,184;16,905;15,1365;14,420;13,2430;12,2937;11,406;10,6141;9,179;8,5973;7,141;6,104;5,6675;4,27;3,2792;2,3521;1
210,1909;207;258;4529;1688;4729;1452;2851;119;5114;4031;4020;3387;5238;869;2870;7066;4795;4722;383;1708;3399;2344;2080;2867;5320,daytime:evening,95;25,7143;24,1131;23,2894;22,742;21,2355;20,785;19,516;18,167;17,184;16,905;15,1365;14,420;13,2430;12,2937;11,406;10,6141;9,1417;8,179;7,5973;6,141;5,4048;4,104;3,1196;2,6675;1
210,205;327;3314;697;147;1641;377;5468;3304;4499;1;3643;2359;144;5212;1022;527;8;1980;2486;3069;4486;2888;1034;7034;1061;1321;1499;3149;6865;2093;2968;945;6041;660;148;2213;184;506;1598;1880;6675;3602;3885;189;2085;98;1812;740;3037;3280;280;3632;1195;366;603;1789;3846;3379;5801;2521;2731;905;2417;1959,daytime:night,95;25,7143;24,1131;23,2894;22,742;21,2355;20,785;19,516;18,167;17,184;16,905;15,1365;14,420;13,2430;12,2937;11,406;10,1417;9,179;8,5973;7,141;6,4048;5,1196;4,6675;3,27;2,2792;1
210,808;4516;882;3170;5592;2927;864;4778;403;6907;5019;4600;1914;1955;931;739;4540;1148;716;575;1057;2827;1929;1563;5332;759;4233;1420;5904;3901;786;547;5255;427;1892;2036;2430;6248;5663;761;6439;3246;2693;935,daytime:afternoon,95;25,1131;24,2894;23,2355;22,167;21,184;20,905;19,1365;18,420;17,2430;16,2937;15,406;14,6141;13,1417;12,179;11,5973;10,4048;9,104;8,1196;7,6675;6,27;5,2792;4,3521;3,1157;2,6545;1
2,400;386;3289;1784;6112;1973;1117;797;2123;1236;5055;2043;7026;6838;200;1436;3620;1937;1740;2471;45;222;1929;924;4826;657;1478;622;5576;2387;441;3805;4424;2960;4902;4564;2307;605;3891;1419;1685,daytime:morning,184;25,1131;24,420;23,168;22,2558;21,2372;20,267;19,974;18,250;17,7143;16,270;15,457;14,1365;13,3770;12,2894;11,95;10,923;9,1250;8,6141;7,1477;6,406;5,189;4,222;3,84;2,2063;1
2,2475;3144;3180;2047;3041;51;2771;2819;5407;2947;4836;86;5553;427;1181;4571;1677;3654;1601;1378;1775;6203;48;456;5968;937;945;4452;5612,daytime:evening,184;25,1131;24,420;23,168;22,2558;21,742;20,2372;19,974;18,250;17,7143;16,270;15,457;14,1365;13,3770;12,2894;11,923;10,1250;9,6141;8,1477;7,406;6,2406;5,189;4,222;3,2063;2,2630;1
2,680;1136;53;3359;2579;3488;850;691;2372;929;3464;4504;1797;3455;3008;512;54;332;3778;1653;5451;491;2501;2602;3964;5793;5220;4191;1493;1821,daytime:night,184;25,2558;24,742;23,2372;22,267;21,974;20,250;19,7143;18,270;17,457;16,1365;15,3770;14,2894;13,95;12,923;11,1250;10,6141;9,1477;8,406;7,2406;6,189;5,222;4,84;3,2063;2,2630;1
2,2948;764;5020;368;3398;795;294;533;1024;2563;3484;3172;1223;2667;3685;4092;3436;2903;543;4607;5011;876,daytime:afternoon,184;25,1131;24,420;23,168;22,742;21,2372;20,267;19,974;18,250;17,7143;16,270;15,1365;14,3770;13,2894;12,95;11,923;10,1250;9,1477;8,406;7,2406;6,189;5,222;4,84;3,2063;2,2630;1
109,1962;6151;4932;6367;2229;389;6321;3253;2940;604;6864;1473;4865;1562;6924;4877;3789;2201,daytime:evening,600;25,2425;24,904;23,191;22,4407;21,5640;20,3710;19,1622;18,2512;17,1413;16,406;15,4631;14,263;13,4270;12,4997;11,460;10,1854;9,2015;8,3930;7,2660;6,1724;5,4620;4,1948;3,1165;2,1701;1
109,6612;2109;7037;3651;2400;5194;6159;7183;4538;6252;5585;929;1729;210;1031;1955;5059;1743;3163,daytime:night,600;25,2425;24,904;23,191;22,4407;21,5640;20,3710;19,1622;18,2512;17,406;16,4631;15,263;14,4270;13,4997;12,460;11,3394;10,1854;9,3930;8,2660;7,3508;6,1724;5,4620;4,1948;3,1165;2,1701;1
109,2660;6514;472;3388;481;6369;5806;3384;3;4655;298;4454;71;4782;5359;2827,daytime:afternoon,600;25,2425;24,904;23,191;22,4407;21,5640;20,3710;19,1622;18,2512;17,1413;16,406;15,4631;14,263;13,4270;12,4997;11,460;10,3394;9,1854;8,2015;7,3930;6,2660;5,3508;4,1724;3,4620;2,1948;1
127,2958;2772;7040;7195,daytime:night,994;25,1244;24,1650;23,3322;22,3402;21,3859;20,1405;19,3039;18,4580;17,5337;16,4663;15,1363;14,1531;13,5127;12,2885;11,853;10,7201;9,2204;8,7229;7,3103;6,5389;5,4091;4,775;3,5003;2,750;1
128,3734;358;764;3722;53;368;2938;1562;3334;1161;6813;2407;5471;809;6341;3370;657;4826;2690;3415;2303;3364;4842;2630;361;250;1775;2253;946;6588;574;1411;1962;889;5242;6198;797;3266;1043;3;1305;3916;2453;2;2287;2347;2840;6821;383;3857;4966;1195;2254;2362;6213;393;1789;1699;638,daytime:morning,742;25,1131;24,420;23,184;22,406;21,7143;20,95;19,6141;18,60;17,3620;16,250;15,2894;14,1365;13,84;12,168;11,2946;10,189;9,456;8,222;7,725;6,646;5,3943;4,2124;3,267;2,3900;1
128,1210;2665;3424;389;4249;3244;3630;4653;4660;2490;3774;4265;3852;2870;4378;5159;786;3955;347;1478;5541;2722;6526;4840;4425;2880;1403;1969;5746;670;748;2865;3091,daytime:evening,742;25,420;24,184;23,406;22,7143;21,95;20,6141;19,60;18,3620;17,353;16,250;15,2894;14,1365;13,84;12,168;11,2946;10,189;9,222;8,725;7,457;6,3943;5,2124;4,267;3,3900;2,6675;1
128,4387;1805;1555;2414;1851;5795;3299;2932;1078;2246;3678;5821;5632;4041;938;4213;1806;3767;5170;2078;5153;8;2760;1801;3006;5850;54;1139;2983;1966;3346;6013;5921;366;4389;1878;5879;3930;2345;536;3920;717;2871;2608,daytime:night,742;25,1131;24,420;23,184;22,406;21,7143;20,95;19,6141;18,60;17,3620;16,353;15,250;14,2894;13,1365;12,84;11,168;10,2946;9,189;8,456;7,725;6,457;5,646;4,3943;3,2124;2,3900;1
128,2649;2691;4572;3369;4965;4846;4462;4858;3328;4967;310;6141;4029;4109;251;113;5734;4384;3360;3327;2403;4659;2709;4910;826;69;3993;5069;1430;5823;4930;2338;4784;1677;6319;860;2336;4120;585;3015;2657;4779;6816,daytime:afternoon,742;25,1131;24,406;23,7143;22,6141;21,60;20,353;19,250;18,2894;17,1365;16,84;15,168;14,2946;13,189;12,456;11,222;10,725;9,457;8,646;7,3943;6,2124;5,267;4,3900;3,6675;2,974;1
42,3369;1885;2545;1895;256;1117;5884;2284;2267;1014;5055;5902;2759;1143;936;1813;1772;1436;3040;4818;610;3886;2363;2355;5631;1601;802;2268;48;3352;36;1218;540;6563;10,daytime:morning,1131;25,184;24,270;23,974;22,7143;21,1365;20,284;19,95;18,6141;17,785;16,2946;15,2894;14,168;13,267;12,457;11,1477;10,2372;9,54;8,657;7,923;6,516;5,386;4,222;3,178;2,2558;1
42,1563;1801;2031;55;245;2970;5661;366;2604;4317;1540;127;3517;2444;6185;456;141;1015;5390;6116;1255,daytime:evening,1131;25,184;24,270;23,420;22,742;21,7143;20,1365;19,284;18,95;17,406;16,785;15,2946;14,2894;13,168;12,267;11,457;10,1477;9,2372;8,54;7,657;6,923;5,516;4,386;3,222;2,84;1
42,102;3008;2051;2686;3037;2927;607;5714;867;427;3359;5100;3478;5516;3112;6036;1459;3268;1868;2290;1987,daytime:night,1131;25,184;24,420;23,742;22,974;21,7143;20,1365;19,95;18,6141;17,406;16,2946;15,2894;14,168;13,267;12,457;11,1477;10,2372;9,54;8,657;7,923;6,386;5,222;4,178;3,84;2,2063;1
42,1494;680;3498;565;1095;1122;2909;5978;762;5537;128;5283;4889;4836;1477;6182;3300;657;2495;7219;602;3054;500;6034;2379;173;761;1419;6177;660;2136;6531,daytime:afternoon,1131;25,270;24,420;23,742;22,974;21,1365;20,284;19,95;18,6141;17,406;16,785;15,2946;14,2894;13,168;12,267;11,1477;10,2372;9,54;8,657;7,923;6,516;5,386;4,222;3,178;2,84;1
25,1250;2760;1962;5372;3939;3392;1557;4618;5134;4805;1736;1480;2348,daytime:morning,1622;25,233;24,2709;23,2894;22,460;21,600;20,7100;19,2913;18,2991;17,4997;16,754;15,1750;14,3710;13,3508;12,5499;11,1254;10,1989;9,3337;8,4292;7,56;6,4206;5,4640;4,545;3,1936;2,353;1
25,3815;4153;5325;1114;3357;552;1750;7101;3762;4347;3050;508;1431;935,daytime:evening,1701;25,2512;24,2709;23,2894;22,460;21,600;20,7100;19,2913;18,2991;17,4997;16,754;15,1750;14,3135;13,3710;12,3508;11,5499;10,1254;9,1989;8,3337;7,4292;6,56;5,4206;4,4640;3,3770;2,588;1
25,4579;2581;59;1936;4062;5193;3721;1696;4930;4691;3214;2449;1473;1856;5295;2799;71;3749;4629;1571,daytime:night,1701;25,1622;24,2512;23,233;22,2709;21,2894;20,460;19,600;18,2913;17,2991;16,4997;15,754;14,1750;13,3135;12,3710;11,5499;10,1254;9,1989;8,4292;7,56;6,4206;5,4640;4,3770;3,588;2,545;1
25,4074;4546;3533;3761;3163;4360;6375,daytime:afternoon,1701;25,1622;24,2512;23,233;22,2709;21,600;20,7100;19,2991;18,754;17,1750;16,3135;15,3710;14,3508;13,5499;12,1989;11,3337;10,4292;9,56;8,4206;7,3770;6,588;5,1936;4,353;3,4799;2,3761;1
99,5849;5295;2853;663;1851;1617;3736;2843;3082,daytime:morning,75;25,1440;24,2003;23,932;22,2595;21,726;20,1131;19,2591;18,2385;17,2445;16,4467;15,3433;14,5328;13,4807;12,2946;11,1151;10,940;9,5517;8,496;7,134;6,2101;5,4970;4,129;3,2430;2,457;1
99,596;3389;3417;1095;4807;3088;368;2975;6134;87;3796,daytime:evening,75;25,1440;24,2003;23,932;22,726;21,1131;20,2591;19,2385;18,4467;17,5328;16,4807;15,1151;14,940;13,496;12,134;11,2101;10,4970;9,129;8,2430;7,457;6,2063;5,1175;4,854;3,293;2,3283;1
99,3347;591;5149;2063;1131;3148;3670;1882,daytime:night,75;25,1440;24,2003;23,932;22,2595;21,726;20,1131;19,2591;18,2385;17,2445;16,4467;15,3433;14,5328;13,4807;12,2946;11,1151;10,940;9,5517;8,496;7,134;6,2101;5,4970;4,2430;3,457;2,2063;1
99,3570;711;2516;4843;4286;1428;3643;4381;2536;3832,daytime:afternoon,1440;25,2003;24,932;23,2595;22,726;21,1131;20,2385;19,2445;18,4467;17,3433;16,5328;15,4807;14,2946;13,1151;12,940;11,5517;10,496;9,134;8,2101;7,4970;6,129;5,2430;4,457;3,2063;2,1175;1
249,1022;2831;2051;1887;6111;5688;2556;4896;3002;3;447;6813;578;388;2180;456;5622;6714;524;1568;4105;404,daytime:morning,1131;25,184;24,1365;23,7143;22,742;21,420;20,923;19,270;18,95;17,2708;16,3359;15,291;14,974;13,1196;12,713;11,3444;10,457;9,6141;8,2894;7,1765;6,399;5,2650;4,932;3,2505;2,168;1
249,4613;5160;4522;6288;6272;1874;3807;1647;1166;6069;4661;17;3304;4012;7083;931;270;1726;6523;6269;2250;4722;5477;2461;2820;2591;585;3350;811;6185;974;3238,daytime:evening,1131;25,184;24,1365;23,7143;22,742;21,420;20,923;19,270;18,95;17,2708;16,291;15,974;14,284;13,1196;12,713;11,3444;10,457;9,6141;8,2894;7,1765;6,399;5,2650;4,932;3,2505;2,168;1
249,390;3681;477;5014;5156;209;4881;1023;1160;797;429;3191;3330;4236;1826;3709;3776;319;4081;1822;2626;4676,daytime:night,1131;25,1365;24,7143;23,742;22,420;21,923;20,270;19,95;18,2708;17,3359;16,291;15,974;14,284;13,1196;12,713;11,3444;10,457;9,6141;8,2894;7,1765;6,399;5,2650;4,2505;3,168;2,2355;1
249,1734;119;4637;5267;6989;5021;143;263;4421;5757;496;5589;4095;4725;100;4783;2031;1972;6857;383;4875;180;2740;4963;2457;4123;4;3703;4294;1277;6037;173;1231;3584;2693;457,daytime:afternoon,1131;25,184;24,1365;23,7143;22,742;21,420;20,923;19,270;18,95;17,2708;16,3359;15,974;14,284;13,713;12,3444;11,457;10,2894;9,399;8,2650;7,932;6,2505;5,168;4,2355;3,591;2,3943;1
298,2159;1331;3763;3463;1667;5710;2874;7076;769;4952;6064,daytime:morning,695;25,6064;24,318;23,2462;22,6534;21,6872;20,1737;19,7258;18,4493;17,3827;16,2669;15,6998;14,4544;13,528;12,3541;11,254;10,437;9,2148;8,7249;7,7190;6,4748;5,3986;4,6995;3,2674;2,65;1
298,1893;6083;6076;4605;2100;14;6889;1702;4279,daytime:evening,2824;25,6064;24,2462;23,4344;22,1737;21,3677;20,4493;19,6998;18,528;17,254;16,2148;15,3999;14,7249;13,7190;12,4748;11,6995;10,65;9,5093;8,5688;7,6264;6,349;5,2756;4,108;3,3853;2,2886;1
298,1986;678;6868,daytime:night,695;25,2824;24,6064;23,318;22,2462;21,4344;20,6534;19,6872;18,7258;17,3677;16,4493;15,3827;14,2669;13,6998;12,4544;11,528;10,3541;9,254;8,437;7,2148;6,3999;5,7249;4,3986;3,6995;2,2674;1
