50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
52,4960;3276;4813;1567;5814;6328;5800;4870,daytime:morning,923;50,80;49,101;48,1131;47,162;46,51;45,1645;44,180;43,141;42,5946;41,3595;40,1421;39,1250;38,75;37,3321;36,100;35,1138;34,3348;33,4809;32,974;31,2796;30,5531;29,4718;28,1765;27,3643;26,956;25,300;24,2771;23,1139;22,361;21,2505;20,1960;19,1786;18,4404;17,2063;16,5694;15,2772;14,842;13,2630;12,3352;11,209;10,3455;9,2385;8,225;7,1030;6,2090;5,1205;4,3736;3,2522;2,1227;1
52,5461;6779;2649;1771;5443;1006;5241;3776;4307;6704,daytime:night,923;50,80;49,101;48,222;47,162;46,621;45,1645;44,180;43,141;42,5946;41,3595;40,1250;39,3433;38,75;37,3321;36,100;35,1365;34,1138;33,3348;32,4809;31,974;30,2796;29,5531;28,4718;27,3088;26,1765;25,3643;24,956;23,300;22,2771;21,1139;20,361;19,2505;18,1960;17,1786;16,4404;15,2063;14,5694;13,2772;12,842;11,2630;10,3352;9,209;8,3455;7,2385;6,225;5,1030;4,2090;3,1205;2,3736;1
52,6110;6195;1457;799;3010;2511;2521,daytime:afternoon,923;50,80;49,101;48,1131;47,222;46,162;45,621;44,51;43,1645;42,180;41,141;40,5946;39,3595;38,1421;37,1250;36,3433;35,75;34,3321;33,100;32,1365;31,1138;30,3348;29,4809;28,974;27,2796;26,5531;25,4718;24,3088;23,1765;22,3643;21,956;20,300;19,2771;18,1139;17,361;16,2505;15,1960;14,1786;13,4404;12,2772;11,842;10,2630;9,3352;8,209;7,3455;6,2385;5,225;4,1030;3,2090;2,1205;1
20,4487;4182;5698;7100;1605;4573;2970;7088;4923;1485;3892;5976;3044;5618;345;6577;2685;347;1173;2858;1831;3225;214;2105;860;6252;1296;5286;2013;2393;4267;946;6513;1534;3289;4537;5743;5673;1990;912;2040;893;1613;5503;5105;5256;2650;2099;754;4527;6789;1388;1891;226;604;2591;5577;4593;1425;1521;2515;6065;5398;4621;1221,daytime:morning,3444;50,942;49,420;48,2338;47,604;46,1936;45,2512;44,5770;43,3770;42,4920;41,1550;40,173;39,545;38,3588;37,6067;36,1917;35,2378;34,4854;33,4451;32,63;31,2143;30,3799;29,2946;28,54;27,270;26,4741;25,1645;24,4782;23,95;22,3829;21,51;20,1831;19,996;18,2894;17,60;16,4365;15,3131;14,1157;13,4013;12,2888;11,3615;10,1499;9,832;8,5034;7,4418;6,2785;5,2657;4,222;3,2345;2,474;1
20,975;4679;406;3430;2473;3862;5956;2094;713;5563;428;3906;1911;591;4508;3934;1445;5896;4770;5989;453;5026;6890;2817;2059;2378;6138;3273;2611;5168;1766;27;2037;4316;646;21;5663;4641;5913;715;5856;5810;5771;1879;5483;6352;2676;4417;1305;6079;4659;2700;165;1087;3503;222;4418;1757;4630;2387;5071;5811;3939;2604;2536;6615;6319;5742;5926;1070;5084;4711;2030,daytime:evening,3444;50,942;49,420;48,2338;47,604;46,250;45,5770;44,4920;43,1550;42,173;41,6067;40,1102;39,1917;38,2649;37,2378;36,4854;35,4451;34,63;33,1856;32,3799;31,2946;30,1013;29,54;28,270;27,4741;26,3575;25,1645;24,4782;23,4852;22,1831;21,996;20,4655;19,60;18,4365;17,3131;16,1157;15,2888;14,1499;13,832;12,5034;11,4418;10,1976;9,2785;8,423;7,2657;6,222;5,2345;4,474;3,2993;2,3970;1
20,5890;2809;1510;679;3797;1895;247;3450;17;317;1352;4263;2652;6330;390;6042;2664;5223;4930;2338;382;6277;3182;2327;3069;5032;4823;2366;2729;3929;4505;4342;999;6312;6143;244;1862;6550;6376,daytime:night,3444;50,942;49,2338;48,604;47,1936;46,250;45,2512;44,5770;43,3770;42,4920;41,1550;40,173;39,545;38,3588;37,6067;36,1102;35,1917;34,2649;33,2378;32,4854;31,4451;30,63;29,1856;28,2143;27,3799;26,2946;25,1013;24,54;23,4741;22,3575;21,1645;20,4782;19,95;18,3829;17,4852;16,51;15,1831;14,996;13,4655;12,2894;11,60;10,4365;9,3131;8,1157;7,4013;6,2888;5,3615;4,1499;3,832;2,5034;1
20,6999;1069;1095;1093;1550;3340;5048;6200;2024;6073;2811;3658;5497;1687;791;1630;2483;5523;444;3363;5034;2760;3455;1129;4956;4681;6697;2671;3134;2028;874;6383;5349;3208;1012;2408;2968;3967;3992;1106;5549;6075;4628;5853;5566;3977;1023;5679;4353;1269;137;3028;530;3622;2086;3783;5823;5211;3537;6661;1426;129;5642;5891;4107;3344;456;2379;5864;1821,daytime:afternoon,3444;50,420;49,2338;48,604;47,1936;46,250;45,2512;44,3770;43,4920;42,1550;41,173;40,545;39,3588;38,6067;37,1102;36,2649;35,2378;34,4451;33,1856;32,2143;31,3799;30,2946;29,1013;28,54;27,270;26,4741;25,3575;24,1645;23,4782;22,95;21,3829;20,4852;19,51;18,1831;17,996;16,4655;15,2894;14,60;13,4365;12,3131;11,1157;10,4013;9,2888;8,3615;7,1499;6,832;5,5034;4,4418;3,1976;2,423;1
323,4516;4070;4613;666;4572;4691;5720;2790;5951;6624;4029;5537;1854;4008;2499;3470;6407;783;1211;1086;1401;5078;714;4486;6205;366;3619;2880;825;250;475;1525;793;195;2912;5852;1699;1736;660,daytime:morning,54;50,60;49,389;48,250;47,71;46,1550;45,3770;44,63;43,6141;42,270;41,832;40,6250;39,420;38,291;37,460;36,2243;35,3587;34,95;33,6007;32,6639;31,2888;30,1421;29,142;28,3575;27,1044;26,8;25,6112;24,51;23,207;22,6067;21,604;20,545;19,4741;18,227;17,222;16,2703;15,229;14,128;13,1883;12,563;11,3444;10,1607;9,141;8,5946;7,1365;6,3891;5,198;4,1588;3,771;2,7013;1
323,913;2834;60;3894;5351;2260;3937;5481;985;2205;2210;6975;3646;5441;2453;4095;924;6628;1450;2303;243;1848;622;4616;2999;5509;4935;3900;6185;1131;6116;450;339,daytime:evening,173;50,54;49,60;48,389;47,250;46,71;45,3770;44,63;43,270;42,832;41,1057;40,603;39,6250;38,420;37,3588;36,291;35,460;34,1514;33,353;32,2243;31,3587;30,95;29,6007;28,6639;27,5100;26,1421;25,142;24,3575;23,1044;22,8;21,51;20,207;19,6067;18,545;17,4741;16,2703;15,229;14,974;13,128;12,1883;11,563;10,3444;9,1607;8,141;7,5946;6,1365;5,3891;4,198;3,1588;2,3415;1
323,1606;207;3368;6877;277;368;5042;3191;1588;3159;1014;263;6101;421;110;2359;667;710;6919;2109;8;859;169;1220;180;2934;4425;1758;214;2164;2639;4815;945;6177;3467;2213;3903;1194;232;867;287;5531;4520;3774;3028;2458;6760;1931;981;4394;6139;1424;638,daytime:night,173;50,60;49,389;48,250;47,71;46,1550;45,3770;44,63;43,6141;42,832;41,1057;40,603;39,6250;38,420;37,3588;36,291;35,1514;34,353;33,2243;32,95;31,6007;30,6639;29,2888;28,5100;27,1421;26,142;25,3575;24,1044;23,8;22,6112;21,51;20,207;19,6067;18,604;17,545;16,4741;15,227;14,222;13,2703;12,229;11,974;10,1883;9,563;8,3444;7,141;6,5946;5,1365;4,3891;3,198;2,1588;1
