50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
20,2280;5977;5629;2749;3719;5354;1461;795;3580;2982;3972;6878;5473;5903;4438;5974;4590;3854;5199;1187;2690;2425;2435;4789;1664;6002;4693;2020;2266;6984;5724;4080;6410;6092;2104;223;2128;1731;2699;151;3396;4639;554;2395;5163;5485;3434;3224;4817;6347;5850;14;343;6910;3707;2183;5894;3240;3372;3255;3531;4530;5860;5830;88;5103;3058;5612,daytime:evening,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,7048;38,2532;37,1680;36,6735;35,4075;34,7251;33,6965;32,1941;31,2152;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,752;22,1869;21,4489;20,7186;19,1871;18,2969;17,6559;16,3771;15,282;14,645;13,7084;12,7230;11,4079;10,2134;9,6316;8,2798;7,7304;6,2131;5,1957;4,1952;3,6528;2,1916;1
109,1909;3627;6794;5325;1530;4314;1682;3766;1833;2078;7051;4258;5768;1413;549;2378;3619;2639;4737;4805;1431;4360;995;6633;7253,daytime:night,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,2532;38,7048;37,1680;36,6735;35,4075;34,7251;33,6965;32,1941;31,2152;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,4489;21,752;20,7186;19,1871;18,2969;17,3771;16,6559;15,7084;14,282;13,645;12,7230;11,4079;10,6316;9,7304;8,2134;7,2798;6,2131;5,1952;4,1957;3,6528;2,322;1
127,853;1363,daytime:evening,2472;50,6715;49,2261;48,7148;47,5692;46,1493;45,6982;44,5815;43,3999;42,1274;41,4893;40,4594;39,4075;38,714;37,7291;36,45;35,1978;34,5851;33,1801;32,4368;31,5108;30,4173;29,64;28,3311;27,1566;26,5190;25,4004;24,2822;23,5431;22,3378;21,2111;20,3874;19,955;18,1718;17,5498;16,1802;15,801;14,1464;13,7084;12,3480;11,6039;10,957;9,3035;8,1126;7,4942;6,4836;5,7163;4,536;3,5466;2,4362;1
128,6311;5176;5056;2157;5042;5762;478;4889;5033;1097;209;2781;5508;5004;1499;80;4191;4009;4006;4052;4465;4445;2177;5874;5185;3591;232;3481;5371;4173;4286;1822;2509;222;5557;2717;1835;1700;3783;4288;1637;3022;2302;335;5106;6504;799;290,daytime:night,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,2532;38,7048;37,1680;36,6735;35,4075;34,7251;33,1941;32,6965;31,2152;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,7186;21,4489;20,752;19,1871;18,6559;17,2969;16,3771;15,645;14,282;13,7084;12,7230;11,4079;10,6316;9,2134;8,7304;7,2131;6,2798;5,1952;4,1957;3,322;2,1916;1
128,354;2834;3926;5960;399;795;1463;4508;2196;3470;1422;1765;2590;575;771;3539;891;1676;2527;4998;2066;3296;2540;5264;884;2310;1385;1008;6406;166;211,daytime:afternoon,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,2532;38,7048;37,1680;36,6735;35,4075;34,7251;33,1941;32,6965;31,2152;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,7186;21,4489;20,752;19,1871;18,6559;17,2969;16,3771;15,645;14,282;13,7084;12,7230;11,4079;10,6316;9,2134;8,7304;7,2131;6,2798;5,1952;4,1957;3,322;2,1916;1
185,3424;5912;2612;247;713;136;7145;6104;5473;317;1248;5318;6273;2533;2889;2197;2121;5094;4823;1566;1604;6921;2399;6542;2098,daytime:night,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,7048;38,2532;37,1680;36,6735;35,4075;34,7251;33,6965;32,2152;31,1941;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,752;21,7186;20,4489;19,1871;18,6559;17,7230;16,282;15,3771;14,645;13,2969;12,7084;11,4079;10,2134;9,7304;8,6316;7,2798;6,2131;5,1957;4,1952;3,322;2,1916;1
316,5736;3549;5252;1200;7242;5903;2189;6722;5584;4895;2455;4607;4476;3539;3831;6665;1094;5194;830;2338;4290;1660;2457;2864;3930;2729;1162;5182;1231;2861;647;2470;6959;6485;6551;102;4134;1712;5185;1876;5548;5428;5456;256;2918;555;333;6715;2570;5886;2290;7141;3513;4869;4418;724;5333;4840;7291;7136;5900;2758;1325;1425;2430;5907;4583;4129;199;4235,daytime:morning,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,2532;38,1680;37,7048;36,4075;35,6735;34,7251;33,2152;32,6965;31,1941;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,752;21,1871;20,3771;19,6559;18,7230;17,4489;16,4079;15,7186;14,645;13,7084;12,282;11,2969;10,7304;9,6316;8,2131;7,2134;6,2798;5,1916;4,463;3,1957;2,5462;1
316,4344;50;3971;2985;443;5806;642;3715;1177;2424;6870;1607;1405;12;4074;5318;3442;4056;2170;2269;467;86;427;5451;491;3869;230;5986;3189;5856;3657;1671;5867;5377;2748;4523;249;6765;183;1845;4013;5791;1785;204;2049;3936;5757;731;1740;6659;2840;3278;4810;2879;2263;91;972;1412;1000;240;5220;937;2711;2472;3736;5398,daytime:night,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,2532;38,1680;37,7048;36,4075;35,6735;34,7251;33,2152;32,6965;31,1941;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,752;21,1871;20,3771;19,6559;18,7230;17,4489;16,4079;15,7186;14,645;13,7084;12,282;11,2969;10,7304;9,6316;8,2131;7,2134;6,2798;5,1916;4,463;3,1957;2,5462;1
165,5725;3719;308;2932;3565;4508;1044;5589;624;4399;4804;2859;2713;6252;4693;3932;3735;7054;2088;236;2893;2349;223;2313;3126;951;942;44;4265;107;2296;1833;2539;1740;1652;1057;4102;4798;5344;1478;267;1412;1121;3588;2905;1574;7233;2171;4961;3990,daytime:afternoon,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,2532;38,7048;37,1680;36,6735;35,4075;34,7251;33,1941;32,6965;31,2152;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,7186;21,4489;20,752;19,1871;18,6559;17,3771;16,2969;15,7084;14,282;13,7230;12,645;11,4079;10,6316;9,7304;8,2134;7,2131;6,2798;5,1952;4,1957;3,322;2,1916;1
194,1860;5289;5174;3582;2050;3648;1773;6259;2899;1320;730;6687;118;1043;4236;2976;4921;4163;5990;1477;4841;1148;453;1887;4437;547;7032;3952;1710;2420;5131;682;972;6361;2164;6529;5082;1212;605;6867;2204;3088;117;6177;1375;2470,daytime:evening,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,2261;41,1664;40,4362;39,2532;38,7048;37,1680;36,6735;35,4075;34,7251;33,6965;32,1941;31,2152;30,822;29,3176;28,922;27,2752;26,7146;25,2618;24,3968;23,1869;22,752;21,7186;20,4489;19,1871;18,6559;17,3771;16,2969;15,7084;14,7230;13,282;12,645;11,4079;10,6316;9,7304;8,2134;7,2798;6,2131;5,1952;4,1957;3,322;2,6528;1
284,4409;1939;2795;1204;637;732;3359;625;533;4968;5473;3257;6253;6101;274;415;708;6656;3612;2942;7143;6577;4185;3596;3085;1315;2566;3693;5132;371;2864;4388;860;4273;6116;1226;6959;6621;2748;4887;7207;183;6186;6916;3770;5481;2873;3551;2276;919;6560;554;4638;5886;1326;422;4407;7142;1908;4542;891;7181;3681;402;6173;1239;5330;4971;3338;722;470;6040;6863;381;1325;603;3131;4372;4336;7112;897;1276;2082;4235;681;3164;84;3913;4576;2648;2381;4893;6877;5354;2157;6209;2424;4515;5916;3429;6229;4697;5029;3844;4672;4438;4160;5593;446;146;356;4826;3887;3628;6072;5329;3156;6383;3391;6252;4693;4640;6175;6646;1583;141;152;1800;2306;6721;149;7052;4537;258;6118;4572;6420;994;216;6594;2785;4246;1023;2579;5536;6435;6374;4631;3806;5313;3464;1148;4790;1532;2495;5992;2784;4228;4696;5142;6205;3593;3799;1610;6380;4272;2719;3151;2559;351;4791;1465;1643,daytime:morning,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,1664;41,2261;40,4362;39,2532;38,7048;37,1680;36,7251;35,6735;34,4075;33,6965;32,3176;31,1941;30,822;29,2152;28,922;27,2752;26,3968;25,7146;24,752;23,1871;22,7186;21,4489;20,7084;19,2618;18,2969;17,3771;16,1869;15,6559;14,2134;13,6316;12,7230;11,645;10,282;9,463;8,1952;7,4079;6,2798;5,6528;4,2131;3,1916;2,322;1
284,5116;2620;6481;5139;128;2792;3304;1497;4162;4581;783;4710;5405;2257;3489;830;3055;6412;1005;3296;2666;1382;1055;711;3377;3709;2150;2393;3171;3289;1103;2104;3645;6781;1678;5933;246;2548;3526;1350;2128;5568;5831;4863;5364;6675;4283;6990;4802;2127;4723;7099;993;6294;2905;4120;2080;990;3545;6309;6323;1460;1056;6299;6102;2979;1890;2350;659;6390;3637;5814;6841;7159;1884;3719;5413;552;3165;4996;911;3051;2542;5341;1360;1713;1281;5591;6722;1367;2957;6914;1216;4356;6362;3692;6357;6791;1060;1920;1206;1849;1017;1416;2969;3957;2639;6185;5779;4772;5986;1950;5102;1961;6363;3851;1885;498;1142;1160;3505;1903;241;2846;1698;350;2828;3763;6789;2422;5360;3426;5577;2227;7129;6535;5649;3038;605;2794;1488,daytime:evening,6715;50,6982;49,7156;48,2472;47,7262;46,4368;45,3377;44,1402;43,1351;42,1664;41,2261;40,4362;39,2532;38,7048;37,1680;36,7251;35,6735;34,4075;33,6965;32,3176;31,1941;30,822;29,2152;28,922;27,2752;26,3968;25,7146;24,752;23,1871;22,7186;21,4489;20,7084;19,2618;18,2969;17,3771;16,1869;15,6559;14,2134;13,6316;12,7230;11,645;10,282;9,463;8,1952;7,4079;6,2798;5,7304;4,6528;3,2131;2,1916;1
