50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
52,222;3687;2052;344;6246;2584;74;3433;1755;1365;621;4117;3088;168;6134;1533,daytime:morning,7143;50,75;49,3433;48,923;47,1131;46,95;45,1175;44,2003;43,1440;42,6391;41,2595;40,3488;39,854;38,4467;37,932;36,2430;35,2101;34,85;33,129;32,785;31,4711;30,2445;29,100;28,496;27,2591;26,1993;25,2064;24,726;23,1196;22,399;21,2110;20,1139;19,6036;18,4807;17,5517;16,3359;15,3438;14,3736;13,119;12,4784;11,1365;10,184;9,5554;8,4364;7,3083;6,1157;5,167;4,940;3,5138;2,4796;1
52,4167;3523;5466;3103;1169;2894;872;75;900;4585;2430;5584;2505,daytime:evening,7143;50,75;49,3433;48,923;47,1131;46,95;45,1175;44,2003;43,1440;42,6391;41,2595;40,3488;39,854;38,4467;37,457;36,932;35,2430;34,85;33,293;32,129;31,785;30,4711;29,2445;28,100;27,496;26,2591;25,1993;24,2064;23,726;22,1196;21,2110;20,6036;19,4807;18,5517;17,3359;16,3438;15,3736;14,119;13,1365;12,184;11,5554;10,4364;9,3083;8,1157;7,167;6,940;5,5138;4,4796;3,742;2,1765;1
52,3224;924;2063;4323;5395;5004;382;1920,daytime:afternoon,7143;50,75;49,3433;48,923;47,1131;46,95;45,1175;44,2003;43,1440;42,6391;41,2595;40,3488;39,854;38,457;37,932;36,2430;35,2101;34,85;33,293;32,129;31,785;30,4711;29,2445;28,100;27,496;26,2591;25,1993;24,2064;23,726;22,1196;21,399;20,2110;19,1139;18,6036;17,5517;16,3359;15,3438;14,3736;13,119;12,4784;11,1365;10,184;9,4364;8,1157;7,167;6,940;5,5138;4,4796;3,742;2,1765;1
20,4165;4763;1647;4206;5504;6098;2010;5733;7027;5192;3575;3731;2233;2770;5640;467;5011;3831;1597;1771;4918;3206;4957;3803;6140;3790;3042;269;588;211;6313;2019;3302;4852;2614;6259;183;6289;1052;239;2574;4631;293;423;1180;5119;4207;1135;2178;6894;5408;1760;1982;4931;6334;6219;5131;4929;2166;4683;6323;2270;3113;2281;4491;1013,daytime:morning,232;50,3255;49,1148;48,3620;47,189;46,725;45,3975;44,975;43,942;42,95;41,2124;40,270;39,1936;38,1131;37,7;36,3353;35,545;34,6141;33,4404;32,2859;31,406;30,1250;29,679;28,6118;27,222;26,603;25,2164;24,241;23,3028;22,3701;21,1846;20,742;19,269;18,2338;17,60;16,1126;15,4418;14,1914;13,320;12,629;11,1879;10,646;9,168;8,2103;7,1789;6,267;5,421;4,458;3,2196;2,1883;1
20,2665;6517;6199;6797;4462;1099;642;311;3625;5139;2895;3337;4820;3708;5961;4098;1474;1341;5115;2630;6571;3724;1567;6203;1155;4452;6020;95;5268;3417;6321;4187;691;1463;616;5407;2512;4801;2124;4085;5686;1759;5973;6190;3586;5665;4457;4740;1610;5189;3105;4632;6207;6102;5729;4612,daytime:evening,1102;50,232;49,2858;48,3774;47,1148;46,353;45,189;44,725;43,2836;42,86;41,604;40,250;39,3975;38,942;37,95;36,2124;35,270;34,1955;33,7;32,3353;31,6141;30,4404;29,2859;28,1250;27,679;26,6118;25,603;24,2164;23,241;22,3028;21,1846;20,742;19,269;18,2338;17,60;16,1126;15,1914;14,320;13,629;12,2013;11,168;10,2103;9,1789;8,267;7,421;6,458;5,860;4,2196;3,1883;2,811;1
20,6125;5315;5910;5416;420;1136;2543;2746;2808;3634;3458;5243;3177;1496;2814;7145;1709;3975;2993;2860;168;6685;5412;5935;2797;1172;4062;4565;2015;4560;2163;2688;451;3484;6027;7073;3291;955;290;6542;4284,daytime:night,1102;50,232;49,2858;48,3255;47,3774;46,3620;45,353;44,189;43,725;42,2836;41,86;40,604;39,250;38,3975;37,975;36,942;35,95;34,2124;33,1936;32,1131;31,1955;30,7;29,3353;28,545;27,6141;26,4404;25,2859;24,406;23,1250;22,6118;21,222;20,603;19,2164;18,241;17,3028;16,3701;15,1846;14,269;13,60;12,1126;11,4418;10,1914;9,320;8,629;7,1879;6,2013;5,646;4,168;3,2103;2,1789;1
20,3180;5254;4138;504;1953;3165;5316;4007;4469;478;4049;1207;2126;3643;2550;2102;3579;61;4168;5472;2464;6384;3897;5061;6051;4425;635;4309;4237;4694;5807;5086;4300;6250;5488;974;365;4137;471;1917;2349;6233;2916;352;3405;3409;63;174;5621;6520;6613;629;4998;810;6173;4854;4556;4976;3891;3152,daytime:afternoon,1102;50,232;49,2858;48,3255;47,3774;46,1148;45,3620;44,353;43,189;42,725;41,2836;40,86;39,604;38,250;37,3975;36,975;35,95;34,2124;33,270;32,1936;31,1131;30,1955;29,7;28,545;27,6141;26,4404;25,2859;24,406;23,679;22,6118;21,222;20,603;19,2164;18,3701;17,1846;16,742;15,269;14,2338;13,60;12,1126;11,4418;10,1914;9,320;8,629;7,1879;6,2013;5,646;4,168;3,2103;2,1789;1
323,1917;5325;4432;223;5319;1514;2154;1405;4104;241;4314;5281;191;2149;1015;486;2085;1563;4527;4005;1126;3415;3897;2059;3341;2781;2501;1923;381;1634;1789;284;670;23;3540;2623;4751;213;3920;6310;3238;6049;593;5966,daytime:morning,406;50,2894;49,742;48,420;47,1131;46,604;45,60;44,2124;43,277;42,6141;41,3521;40,184;39,2558;38,600;37,95;36,1477;35,3620;34,189;33,432;32,456;31,2372;30,785;29,3575;28,981;27,2946;26,1645;25,2991;24,54;23,6675;22,545;21,3770;20,1883;19,5757;18,235;17,942;16,270;15,56;14,267;13,222;12,1148;11,3;10,1276;9,339;8,1158;7,646;6,960;5,3353;4,181;3,131;2,141;1
323,3601;1734;565;1971;1233;2927;942;797;6675;931;2124;2803;1797;222;6095;740;2778;1097;3111;2263;6043;1847;5501;235;1540;2112;1711;4302;5442,daytime:evening,406;50,2894;49,742;48,420;47,353;46,250;45,2124;44,277;43,3521;42,184;41,2558;40,320;39,600;38,95;37,1477;36,3620;35,189;34,432;33,456;32,173;31,2372;30,785;29,3575;28,981;27,2946;26,1645;25,2991;24,54;23,974;22,6675;21,545;20,3770;19,1883;18,5757;17,27;16,235;15,942;14,270;13,56;12,267;11,222;10,1148;9,3;8,1276;7,1158;6,960;5,1725;4,3353;3,181;2,131;1
323,5057;2256;1851;1203;3;2209;352;3334;2295;2008;1899;423;270;4442;2842;5849;4228;2986;2425;4218;3401;2173;4685;388;6411;2168,daytime:night,406;50,2894;49,420;48,1131;47,353;46,250;45,604;44,60;43,2124;42,6141;41,3521;40,184;39,2558;38,320;37,600;36,95;35,1477;34,3620;33,189;32,456;31,173;30,2372;29,3575;28,2946;27,1645;26,2991;25,974;24,6675;23,545;22,3770;21,1883;20,5757;19,27;18,235;17,942;16,270;15,56;14,267;13,222;12,1148;11,3;10,339;9,1158;8,646;7,960;6,1725;5,3353;4,181;3,131;2,178;1
