lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05769,0.05769,0.06400,0.06400,0.06924,0.06924
0.10000,0.05769,0.05751,0.06400,0.06379,0.06924,0.06899
0.20000,0.05769,0.05765,0.06400,0.06403,0.06924,0.06910
0.30000,0.05769,0.05795,0.06400,0.06446,0.06924,0.06952
0.40000,0.05769,0.05709,0.06400,0.06400,0.06924,0.06904
0.50000,0.05769,0.05702,0.06400,0.06389,0.06924,0.06879
0.60000,0.05769,0.05631,0.06400,0.06286,0.06924,0.06788
0.70000,0.05769,0.05601,0.06400,0.06223,0.06924,0.06759
0.80000,0.05769,0.05587,0.06400,0.06204,0.06924,0.06734
0.90000,0.05769,0.05362,0.06400,0.06012,0.06924,0.06523
1.00000,0.05769,0.05342,0.06400,0.06046,0.06924,0.06547
