lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05769,0.05769,0.06400,0.06400,0.06924,0.06924
0.10000,0.05769,0.05729,0.06400,0.06386,0.06924,0.06907
0.20000,0.05769,0.05752,0.06400,0.06408,0.06924,0.06925
0.30000,0.05769,0.05770,0.06400,0.06400,0.06924,0.06935
0.40000,0.05769,0.05694,0.06400,0.06353,0.06924,0.06878
0.50000,0.05769,0.05612,0.06400,0.06269,0.06924,0.06793
0.60000,0.05769,0.05406,0.06400,0.06076,0.06924,0.06629
0.70000,0.05769,0.05298,0.06400,0.05927,0.06924,0.06469
0.80000,0.05769,0.04912,0.06400,0.05508,0.06924,0.06077
0.90000,0.05769,0.04667,0.06400,0.05296,0.06924,0.05878
1.00000,0.05769,0.04688,0.06400,0.05307,0.06924,0.05886
