lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05769,0.05769,0.06400,0.06400,0.06924,0.06924
0.10000,0.05769,0.05586,0.06400,0.06206,0.06924,0.06740
0.20000,0.05769,0.05435,0.06400,0.06066,0.06924,0.06595
0.30000,0.05769,0.05374,0.06400,0.06014,0.06924,0.06538
0.40000,0.05769,0.05385,0.06400,0.06007,0.06924,0.06549
0.50000,0.05769,0.05241,0.06400,0.05915,0.06924,0.06453
0.60000,0.05769,0.05081,0.06400,0.05764,0.06924,0.06304
0.70000,0.05769,0.04977,0.06400,0.05666,0.06924,0.06217
0.80000,0.05769,0.04836,0.06400,0.05494,0.06924,0.06067
0.90000,0.05769,0.04705,0.06400,0.05363,0.06924,0.05945
1.00000,0.05769,0.04598,0.06400,0.05235,0.06924,0.05833
