lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01813,0.01813,0.01179,0.01179
0.10000,0.01813,0.01827,0.01179,0.01185
0.20000,0.01813,0.01841,0.01179,0.01201
0.30000,0.01813,0.01841,0.01179,0.01206
0.40000,0.01813,0.01815,0.01179,0.01210
0.50000,0.01813,0.01828,0.01179,0.01227
0.60000,0.01813,0.01840,0.01179,0.01217
0.70000,0.01813,0.01839,0.01179,0.01180
0.80000,0.01813,0.01852,0.01179,0.01185
0.90000,0.01813,0.01825,0.01179,0.01206
1.00000,0.01813,0.01758,0.01179,0.01216
