lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01813,0.01813,0.01179,0.01179
0.10000,0.01813,0.01761,0.01179,0.01179
0.20000,0.01813,0.01735,0.01179,0.01174
0.30000,0.01813,0.01735,0.01179,0.01152
0.40000,0.01813,0.01709,0.01179,0.01158
0.50000,0.01813,0.01681,0.01179,0.01158
0.60000,0.01813,0.01614,0.01179,0.01121
0.70000,0.01813,0.01651,0.01179,0.01131
0.80000,0.01813,0.01627,0.01179,0.01093
0.90000,0.01813,0.01547,0.01179,0.01078
1.00000,0.01813,0.01547,0.01179,0.01078
