lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01813,0.01813,0.01179,0.01179
0.10000,0.01813,0.01800,0.01179,0.01158
0.20000,0.01813,0.01774,0.01179,0.01158
0.30000,0.01813,0.01761,0.01179,0.01163
0.40000,0.01813,0.01761,0.01179,0.01142
0.50000,0.01813,0.01668,0.01179,0.01142
0.60000,0.01813,0.01640,0.01179,0.01136
0.70000,0.01813,0.01559,0.01179,0.01126
0.80000,0.01813,0.01546,0.01179,0.01098
0.90000,0.01813,0.01519,0.01179,0.01082
1.00000,0.01813,0.01519,0.01179,0.01066
