lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05991,0.05991,0.06748,0.06748,0.07371,0.07371
0.10000,0.05991,0.06075,0.06748,0.06830,0.07371,0.07444
0.20000,0.05991,0.05969,0.06748,0.06798,0.07371,0.07376
0.30000,0.05991,0.06131,0.06748,0.06970,0.07371,0.07555
0.40000,0.05991,0.06064,0.06748,0.06890,0.07371,0.07469
0.50000,0.05991,0.05915,0.06748,0.06679,0.07371,0.07272
0.60000,0.05991,0.05701,0.06748,0.06513,0.07371,0.07111
0.70000,0.05991,0.05660,0.06748,0.06492,0.07371,0.07087
0.80000,0.05991,0.05597,0.06748,0.06425,0.07371,0.07016
0.90000,0.05991,0.05602,0.06748,0.06420,0.07371,0.07021
1.00000,0.05991,0.05515,0.06748,0.06324,0.07371,0.06936
