lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05991,0.05991,0.06748,0.06748,0.07371,0.07371
0.10000,0.05991,0.05862,0.06748,0.06603,0.07371,0.07234
0.20000,0.05991,0.05923,0.06748,0.06647,0.07371,0.07272
0.30000,0.05991,0.05863,0.06748,0.06573,0.07371,0.07208
0.40000,0.05991,0.05715,0.06748,0.06423,0.07371,0.07054
0.50000,0.05991,0.05486,0.06748,0.06199,0.07371,0.06834
0.60000,0.05991,0.05385,0.06748,0.06072,0.07371,0.06715
0.70000,0.05991,0.05321,0.06748,0.06023,0.07371,0.06674
0.80000,0.05991,0.05184,0.06748,0.05897,0.07371,0.06547
0.90000,0.05991,0.05116,0.06748,0.05804,0.07371,0.06456
1.00000,0.05991,0.05080,0.06748,0.05786,0.07371,0.06431
