lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05991,0.05991,0.06748,0.06748,0.07371,0.07371
0.10000,0.05991,0.06106,0.06748,0.06838,0.07371,0.07465
0.20000,0.05991,0.05834,0.06748,0.06572,0.07371,0.07209
0.30000,0.05991,0.05737,0.06748,0.06510,0.07371,0.07142
0.40000,0.05991,0.05625,0.06748,0.06407,0.07371,0.07050
0.50000,0.05991,0.05422,0.06748,0.06189,0.07371,0.06848
0.60000,0.05991,0.05245,0.06748,0.06006,0.07371,0.06667
0.70000,0.05991,0.05132,0.06748,0.05896,0.07371,0.06567
0.80000,0.05991,0.05107,0.06748,0.05894,0.07371,0.06559
0.90000,0.05991,0.05056,0.06748,0.05869,0.07371,0.06531
1.00000,0.05991,0.05049,0.06748,0.05857,0.07371,0.06519
