lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01547,0.01547,0.01158,0.01158
0.10000,0.01547,0.01574,0.01158,0.01175
0.20000,0.01547,0.01548,0.01158,0.01217
0.30000,0.01547,0.01534,0.01158,0.01211
0.40000,0.01547,0.01549,0.01158,0.01222
0.50000,0.01547,0.01603,0.01158,0.01206
0.60000,0.01547,0.01523,0.01158,0.01201
0.70000,0.01547,0.01495,0.01158,0.01200
0.80000,0.01547,0.01494,0.01158,0.01206
0.90000,0.01547,0.01493,0.01158,0.01195
1.00000,0.01547,0.01480,0.01158,0.01179
