lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01547,0.01547,0.01158,0.01158
0.10000,0.01547,0.01548,0.01158,0.01141
0.20000,0.01547,0.01548,0.01158,0.01141
0.30000,0.01547,0.01533,0.01158,0.01124
0.40000,0.01547,0.01533,0.01158,0.01130
0.50000,0.01547,0.01521,0.01158,0.01124
0.60000,0.01547,0.01548,0.01158,0.01114
0.70000,0.01547,0.01496,0.01158,0.01103
0.80000,0.01547,0.01482,0.01158,0.01108
0.90000,0.01547,0.01496,0.01158,0.01104
1.00000,0.01547,0.01482,0.01158,0.01109
