lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01547,0.01547,0.01158,0.01158
0.10000,0.01547,0.01548,0.01158,0.01152
0.20000,0.01547,0.01506,0.01158,0.01135
0.30000,0.01547,0.01439,0.01158,0.01135
0.40000,0.01547,0.01386,0.01158,0.01129
0.50000,0.01547,0.01348,0.01158,0.01107
0.60000,0.01547,0.01335,0.01158,0.01102
0.70000,0.01547,0.01307,0.01158,0.01086
0.80000,0.01547,0.01279,0.01158,0.01091
0.90000,0.01547,0.01253,0.01158,0.01091
1.00000,0.01547,0.01252,0.01158,0.01091
