lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.03350,0.03350,0.04159,0.04159,0.04758,0.04758
0.10000,0.03350,0.03358,0.04159,0.04191,0.04758,0.04777
0.20000,0.03350,0.03391,0.04159,0.04216,0.04758,0.04798
0.30000,0.03350,0.03366,0.04159,0.04204,0.04758,0.04793
0.40000,0.03350,0.03403,0.04159,0.04218,0.04758,0.04811
0.50000,0.03350,0.03403,0.04159,0.04214,0.04758,0.04807
0.60000,0.03350,0.03317,0.04159,0.04141,0.04758,0.04724
0.70000,0.03350,0.03331,0.04159,0.04152,0.04758,0.04737
0.80000,0.03350,0.03247,0.04159,0.04087,0.04758,0.04677
0.90000,0.03350,0.03266,0.04159,0.04102,0.04758,0.04684
1.00000,0.03350,0.03243,0.04159,0.04093,0.04758,0.04675
