lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.03350,0.03350,0.04159,0.04159,0.04758,0.04758
0.10000,0.03350,0.03232,0.04159,0.04040,0.04758,0.04636
0.20000,0.03350,0.03190,0.04159,0.03985,0.04758,0.04579
0.30000,0.03350,0.03190,0.04159,0.03969,0.04758,0.04583
0.40000,0.03350,0.03221,0.04159,0.03998,0.04758,0.04603
0.50000,0.03350,0.03223,0.04159,0.03980,0.04758,0.04598
0.60000,0.03350,0.03136,0.04159,0.03903,0.04758,0.04523
0.70000,0.03350,0.03128,0.04159,0.03899,0.04758,0.04524
0.80000,0.03350,0.03008,0.04159,0.03764,0.04758,0.04388
0.90000,0.03350,0.02977,0.04159,0.03746,0.04758,0.04367
1.00000,0.03350,0.02957,0.04159,0.03713,0.04758,0.04343
