lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.03350,0.03350,0.04159,0.04159,0.04758,0.04758
0.10000,0.03350,0.03301,0.04159,0.04115,0.04758,0.04722
0.20000,0.03350,0.03298,0.04159,0.04117,0.04758,0.04716
0.30000,0.03350,0.03291,0.04159,0.04103,0.04758,0.04709
0.40000,0.03350,0.03245,0.04159,0.04047,0.04758,0.04665
0.50000,0.03350,0.03333,0.04159,0.04091,0.04758,0.04721
0.60000,0.03350,0.03362,0.04159,0.04115,0.04758,0.04752
0.70000,0.03350,0.03360,0.04159,0.04089,0.04758,0.04741
0.80000,0.03350,0.03314,0.04159,0.04029,0.04758,0.04683
0.90000,0.03350,0.03249,0.04159,0.03997,0.04758,0.04636
1.00000,0.03350,0.03251,0.04159,0.03998,0.04758,0.04640
