lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01238,0.01238,0.01082,0.01082
0.10000,0.01238,0.01238,0.01082,0.01098
0.20000,0.01238,0.01264,0.01082,0.01109
0.30000,0.01238,0.01251,0.01082,0.01103
0.40000,0.01238,0.01264,0.01082,0.01103
0.50000,0.01238,0.01264,0.01082,0.01103
0.60000,0.01238,0.01264,0.01082,0.01113
0.70000,0.01238,0.01264,0.01082,0.01113
0.80000,0.01238,0.01238,0.01082,0.01108
0.90000,0.01238,0.01250,0.01082,0.01118
1.00000,0.01238,0.01222,0.01082,0.01118
