lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01238,0.01251,0.01082,0.01082
0.10000,0.01238,0.01238,0.01082,0.01071
0.20000,0.01238,0.01251,0.01082,0.01066
0.30000,0.01238,0.01225,0.01082,0.01034
0.40000,0.01238,0.01199,0.01082,0.01045
0.50000,0.01238,0.01199,0.01082,0.01029
0.60000,0.01238,0.01171,0.01082,0.01035
0.70000,0.01238,0.01145,0.01082,0.01029
0.80000,0.01238,0.01159,0.01082,0.01029
0.90000,0.01238,0.01145,0.01082,0.01029
1.00000,0.01238,0.01146,0.01082,0.01019
