lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01238,0.01238,0.01082,0.01082
0.10000,0.01238,0.01197,0.01082,0.01060
0.20000,0.01238,0.01197,0.01082,0.01061
0.30000,0.01238,0.01197,0.01082,0.01050
0.40000,0.01238,0.01156,0.01082,0.01034
0.50000,0.01238,0.01169,0.01082,0.01017
0.60000,0.01238,0.01155,0.01082,0.01007
0.70000,0.01238,0.01155,0.01082,0.00990
0.80000,0.01238,0.01168,0.01082,0.00985
0.90000,0.01238,0.01142,0.01082,0.01001
1.00000,0.01238,0.01129,0.01082,0.01001
