lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05769,0.05769,0.06400,0.06400,0.06924,0.06924
0.10000,0.05769,0.05762,0.06400,0.06394,0.06924,0.06920
0.20000,0.05769,0.05742,0.06400,0.06382,0.06924,0.06903
0.30000,0.05769,0.05736,0.06400,0.06382,0.06924,0.06894
0.40000,0.05769,0.05671,0.06400,0.06321,0.06924,0.06844
0.50000,0.05769,0.05635,0.06400,0.06283,0.06924,0.06809
0.60000,0.05769,0.05526,0.06400,0.06167,0.06924,0.06690
0.70000,0.05769,0.05515,0.06400,0.06146,0.06924,0.06668
0.80000,0.05769,0.05468,0.06400,0.06119,0.06924,0.06639
0.90000,0.05769,0.05453,0.06400,0.06117,0.06924,0.06633
1.00000,0.05769,0.05448,0.06400,0.06130,0.06924,0.06647
