lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05769,0.05769,0.06400,0.06400,0.06924,0.06924
0.10000,0.05769,0.05720,0.06400,0.06372,0.06924,0.06899
0.20000,0.05769,0.05748,0.06400,0.06382,0.06924,0.06907
0.30000,0.05769,0.05703,0.06400,0.06364,0.06924,0.06883
0.40000,0.05769,0.05670,0.06400,0.06328,0.06924,0.06845
0.50000,0.05769,0.05653,0.06400,0.06296,0.06924,0.06824
0.60000,0.05769,0.05681,0.06400,0.06334,0.06924,0.06860
0.70000,0.05769,0.05705,0.06400,0.06339,0.06924,0.06878
0.80000,0.05769,0.05440,0.06400,0.06072,0.06924,0.06609
0.90000,0.05769,0.05225,0.06400,0.05859,0.06924,0.06406
1.00000,0.05769,0.05160,0.06400,0.05803,0.06924,0.06353
