lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05769,0.05769,0.06400,0.06400,0.06924,0.06924
0.10000,0.05769,0.05744,0.06400,0.06379,0.06924,0.06909
0.20000,0.05769,0.05700,0.06400,0.06330,0.06924,0.06858
0.30000,0.05769,0.05658,0.06400,0.06299,0.06924,0.06822
0.40000,0.05769,0.05639,0.06400,0.06293,0.06924,0.06817
0.50000,0.05769,0.05701,0.06400,0.06348,0.06924,0.06880
0.60000,0.05769,0.05596,0.06400,0.06244,0.06924,0.06790
0.70000,0.05769,0.05520,0.06400,0.06182,0.06924,0.06729
0.80000,0.05769,0.05479,0.06400,0.06137,0.06924,0.06685
0.90000,0.05769,0.05392,0.06400,0.06040,0.06924,0.06597
1.00000,0.05769,0.05297,0.06400,0.05935,0.06924,0.06499
