lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01813,0.01813,0.01179,0.01179
0.10000,0.01813,0.01814,0.01179,0.01179
0.20000,0.01813,0.01814,0.01179,0.01184
0.30000,0.01813,0.01828,0.01179,0.01195
0.40000,0.01813,0.01814,0.01179,0.01185
0.50000,0.01813,0.01801,0.01179,0.01179
0.60000,0.01813,0.01800,0.01179,0.01185
0.70000,0.01813,0.01800,0.01179,0.01185
0.80000,0.01813,0.01774,0.01179,0.01185
0.90000,0.01813,0.01746,0.01179,0.01190
1.00000,0.01813,0.01720,0.01179,0.01185
