lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01813,0.01813,0.01179,0.01179
0.10000,0.01813,0.01773,0.01179,0.01174
0.20000,0.01813,0.01786,0.01179,0.01168
0.30000,0.01813,0.01747,0.01179,0.01174
0.40000,0.01813,0.01747,0.01179,0.01174
0.50000,0.01813,0.01733,0.01179,0.01158
0.60000,0.01813,0.01706,0.01179,0.01158
0.70000,0.01813,0.01693,0.01179,0.01137
0.80000,0.01813,0.01680,0.01179,0.01136
0.90000,0.01813,0.01654,0.01179,0.01126
1.00000,0.01813,0.01613,0.01179,0.01120
