lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01813,0.01813,0.01179,0.01179
0.10000,0.01813,0.01800,0.01179,0.01168
0.20000,0.01813,0.01800,0.01179,0.01168
0.30000,0.01813,0.01787,0.01179,0.01173
0.40000,0.01813,0.01759,0.01179,0.01173
0.50000,0.01813,0.01746,0.01179,0.01163
0.60000,0.01813,0.01719,0.01179,0.01147
0.70000,0.01813,0.01691,0.01179,0.01142
0.80000,0.01813,0.01665,0.01179,0.01142
0.90000,0.01813,0.01651,0.01179,0.01125
1.00000,0.01813,0.01651,0.01179,0.01115
