lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05991,0.05991,0.06748,0.06748,0.07371,0.07371
0.10000,0.05991,0.05939,0.06748,0.06705,0.07371,0.07321
0.20000,0.05991,0.06014,0.06748,0.06803,0.07371,0.07404
0.30000,0.05991,0.05874,0.06748,0.06678,0.07371,0.07279
0.40000,0.05991,0.05779,0.06748,0.06609,0.07371,0.07208
0.50000,0.05991,0.05728,0.06748,0.06547,0.07371,0.07151
0.60000,0.05991,0.05677,0.06748,0.06500,0.07371,0.07110
0.70000,0.05991,0.05556,0.06748,0.06373,0.07371,0.06981
0.80000,0.05991,0.05577,0.06748,0.06399,0.07371,0.07006
0.90000,0.05991,0.05571,0.06748,0.06371,0.07371,0.06979
1.00000,0.05991,0.05549,0.06748,0.06360,0.07371,0.06972
