lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05991,0.05991,0.06748,0.06748,0.07371,0.07371
0.10000,0.05991,0.05933,0.06748,0.06688,0.07371,0.07315
0.20000,0.05991,0.05942,0.06748,0.06696,0.07371,0.07321
0.30000,0.05991,0.05968,0.06748,0.06730,0.07371,0.07343
0.40000,0.05991,0.05933,0.06748,0.06676,0.07371,0.07298
0.50000,0.05991,0.05866,0.06748,0.06614,0.07371,0.07234
0.60000,0.05991,0.05831,0.06748,0.06565,0.07371,0.07184
0.70000,0.05991,0.05785,0.06748,0.06517,0.07371,0.07144
0.80000,0.05991,0.05711,0.06748,0.06442,0.07371,0.07063
0.90000,0.05991,0.05752,0.06748,0.06494,0.07371,0.07120
1.00000,0.05991,0.05728,0.06748,0.06493,0.07371,0.07118
