lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.05991,0.05991,0.06748,0.06748,0.07371,0.07371
0.10000,0.05991,0.05974,0.06748,0.06723,0.07371,0.07340
0.20000,0.05991,0.05916,0.06748,0.06674,0.07371,0.07295
0.30000,0.05991,0.05838,0.06748,0.06600,0.07371,0.07230
0.40000,0.05991,0.05798,0.06748,0.06572,0.07371,0.07202
0.50000,0.05991,0.05784,0.06748,0.06560,0.07371,0.07198
0.60000,0.05991,0.05768,0.06748,0.06524,0.07371,0.07162
0.70000,0.05991,0.05716,0.06748,0.06449,0.07371,0.07110
0.80000,0.05991,0.05694,0.06748,0.06436,0.07371,0.07097
0.90000,0.05991,0.05700,0.06748,0.06445,0.07371,0.07099
1.00000,0.05991,0.05700,0.06748,0.06443,0.07371,0.07097
