lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01547,0.01547,0.01158,0.01158
0.10000,0.01547,0.01548,0.01158,0.01169
0.20000,0.01547,0.01547,0.01158,0.01190
0.30000,0.01547,0.01521,0.01158,0.01196
0.40000,0.01547,0.01493,0.01158,0.01196
0.50000,0.01547,0.01493,0.01158,0.01191
0.60000,0.01547,0.01478,0.01158,0.01180
0.70000,0.01547,0.01479,0.01158,0.01180
0.80000,0.01547,0.01465,0.01158,0.01180
0.90000,0.01547,0.01478,0.01158,0.01180
1.00000,0.01547,0.01451,0.01158,0.01175
