lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01547,0.01547,0.01158,0.01158
0.10000,0.01547,0.01547,0.01158,0.01152
0.20000,0.01547,0.01548,0.01158,0.01152
0.30000,0.01547,0.01548,0.01158,0.01162
0.40000,0.01547,0.01547,0.01158,0.01152
0.50000,0.01547,0.01549,0.01158,0.01152
0.60000,0.01547,0.01563,0.01158,0.01152
0.70000,0.01547,0.01563,0.01158,0.01147
0.80000,0.01547,0.01563,0.01158,0.01152
0.90000,0.01547,0.01536,0.01158,0.01147
1.00000,0.01547,0.01509,0.01158,0.01147
