lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01547,0.01547,0.01158,0.01158
0.10000,0.01547,0.01561,0.01158,0.01163
0.20000,0.01547,0.01547,0.01158,0.01157
0.30000,0.01547,0.01507,0.01158,0.01147
0.40000,0.01547,0.01465,0.01158,0.01147
0.50000,0.01547,0.01440,0.01158,0.01136
0.60000,0.01547,0.01453,0.01158,0.01136
0.70000,0.01547,0.01441,0.01158,0.01109
0.80000,0.01547,0.01428,0.01158,0.01104
0.90000,0.01547,0.01427,0.01158,0.01109
1.00000,0.01547,0.01427,0.01158,0.01109
