lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.03350,0.03350,0.04159,0.04159,0.04758,0.04758
0.10000,0.03350,0.03360,0.04159,0.04180,0.04758,0.04774
0.20000,0.03350,0.03357,0.04159,0.04174,0.04758,0.04772
0.30000,0.03350,0.03346,0.04159,0.04163,0.04758,0.04761
0.40000,0.03350,0.03339,0.04159,0.04170,0.04758,0.04768
0.50000,0.03350,0.03320,0.04159,0.04128,0.04758,0.04730
0.60000,0.03350,0.03217,0.04159,0.04033,0.04758,0.04634
0.70000,0.03350,0.03169,0.04159,0.03992,0.04758,0.04589
0.80000,0.03350,0.03205,0.04159,0.04020,0.04758,0.04619
0.90000,0.03350,0.03197,0.04159,0.04033,0.04758,0.04625
1.00000,0.03350,0.03195,0.04159,0.04036,0.04758,0.04627
