lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.03350,0.03350,0.04159,0.04159,0.04758,0.04758
0.10000,0.03350,0.03399,0.04159,0.04211,0.04758,0.04807
0.20000,0.03350,0.03308,0.04159,0.04124,0.04758,0.04715
0.30000,0.03350,0.03294,0.04159,0.04120,0.04758,0.04710
0.40000,0.03350,0.03327,0.04159,0.04128,0.04758,0.04727
0.50000,0.03350,0.03332,0.04159,0.04119,0.04758,0.04720
0.60000,0.03350,0.03351,0.04159,0.04141,0.04758,0.04751
0.70000,0.03350,0.03431,0.04159,0.04215,0.04758,0.04818
0.80000,0.03350,0.03482,0.04159,0.04267,0.04758,0.04869
0.90000,0.03350,0.03454,0.04159,0.04236,0.04758,0.04841
1.00000,0.03350,0.03446,0.04159,0.04235,0.04758,0.04834
