lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.03350,0.03350,0.04159,0.04159,0.04758,0.04758
0.10000,0.03350,0.03342,0.04159,0.04159,0.04758,0.04761
0.20000,0.03350,0.03341,0.04159,0.04160,0.04758,0.04761
0.30000,0.03350,0.03326,0.04159,0.04150,0.04758,0.04743
0.40000,0.03350,0.03341,0.04159,0.04126,0.04758,0.04729
0.50000,0.03350,0.03306,0.04159,0.04122,0.04758,0.04725
0.60000,0.03350,0.03356,0.04159,0.04166,0.04758,0.04768
0.70000,0.03350,0.03387,0.04159,0.04176,0.04758,0.04790
0.80000,0.03350,0.03358,0.04159,0.04140,0.04758,0.04761
0.90000,0.03350,0.03354,0.04159,0.04139,0.04758,0.04759
1.00000,0.03350,0.03326,0.04159,0.04117,0.04758,0.04733
