lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01238,0.01238,0.01082,0.01082
0.10000,0.01238,0.01238,0.01082,0.01093
0.20000,0.01238,0.01238,0.01082,0.01092
0.30000,0.01238,0.01238,0.01082,0.01092
0.40000,0.01238,0.01238,0.01082,0.01092
0.50000,0.01238,0.01250,0.01082,0.01087
0.60000,0.01238,0.01236,0.01082,0.01092
0.70000,0.01238,0.01236,0.01082,0.01097
0.80000,0.01238,0.01237,0.01082,0.01097
0.90000,0.01238,0.01210,0.01082,0.01102
1.00000,0.01238,0.01196,0.01082,0.01102
