lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01238,0.01238,0.01082,0.01082
0.10000,0.01238,0.01239,0.01082,0.01077
0.20000,0.01238,0.01238,0.01082,0.01077
0.30000,0.01238,0.01225,0.01082,0.01077
0.40000,0.01238,0.01240,0.01082,0.01066
0.50000,0.01238,0.01240,0.01082,0.01067
0.60000,0.01238,0.01213,0.01082,0.01056
0.70000,0.01238,0.01226,0.01082,0.01067
0.80000,0.01238,0.01240,0.01082,0.01066
0.90000,0.01238,0.01240,0.01082,0.01061
1.00000,0.01238,0.01240,0.01082,0.01066
