lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.01238,0.01238,0.01082,0.01082
0.10000,0.01238,0.01211,0.01082,0.01077
0.20000,0.01238,0.01211,0.01082,0.01077
0.30000,0.01238,0.01211,0.01082,0.01087
0.40000,0.01238,0.01237,0.01082,0.01076
0.50000,0.01238,0.01183,0.01082,0.01076
0.60000,0.01238,0.01170,0.01082,0.01076
0.70000,0.01238,0.01183,0.01082,0.01060
0.80000,0.01238,0.01183,0.01082,0.01050
0.90000,0.01238,0.01183,0.01082,0.01050
1.00000,0.01238,0.01183,0.01082,0.01055
