lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01276,0.01277
0.10000,0.01160,0.01116,0.01036,0.01011,0.01276,0.01256
0.20000,0.01160,0.01058,0.01036,0.00962,0.01276,0.01214
0.30000,0.01160,0.00958,0.01036,0.00910,0.01276,0.01167
0.40000,0.01160,0.00912,0.01036,0.00874,0.01276,0.01136
0.50000,0.01160,0.00853,0.01036,0.00828,0.01276,0.01098
0.60000,0.01160,0.00779,0.01036,0.00767,0.01276,0.01048
0.70000,0.01160,0.00752,0.01036,0.00735,0.01276,0.01015
0.80000,0.01160,0.00707,0.01036,0.00693,0.01276,0.00978
0.90000,0.01160,0.00675,0.01036,0.00655,0.01276,0.00941
1.00000,0.01160,0.00646,0.01036,0.00630,0.01276,0.00920
