lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02576,0.02420,0.02417
0.20000,0.02684,0.02495,0.02420,0.02396
0.30000,0.02684,0.02327,0.02420,0.02367
0.40000,0.02684,0.02183,0.02420,0.02330
0.50000,0.02684,0.02027,0.02420,0.02210
0.60000,0.02684,0.01912,0.02420,0.02111
0.70000,0.02684,0.01886,0.02420,0.02066
0.80000,0.02684,0.01805,0.02420,0.01986
0.90000,0.02684,0.01793,0.02420,0.01924
1.00000,0.02684,0.01753,0.02420,0.01872
