lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01234,0.01231
0.10000,0.01125,0.01113,0.01000,0.00990,0.01234,0.01226
0.20000,0.01125,0.01077,0.01000,0.00937,0.01234,0.01180
0.30000,0.01125,0.01050,0.01000,0.00906,0.01234,0.01152
0.40000,0.01125,0.01003,0.01000,0.00861,0.01234,0.01107
0.50000,0.01125,0.00981,0.01000,0.00853,0.01234,0.01089
0.60000,0.01125,0.00974,0.01000,0.00846,0.01234,0.01083
0.70000,0.01125,0.00959,0.01000,0.00834,0.01234,0.01070
0.80000,0.01125,0.00939,0.01000,0.00807,0.01234,0.01053
0.90000,0.01125,0.00893,0.01000,0.00766,0.01234,0.01013
1.00000,0.01125,0.00841,0.01000,0.00721,0.01234,0.00974
