lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01470,0.01470
0.10000,0.01160,0.01143,0.01036,0.01013,0.01470,0.01448
0.20000,0.01160,0.01116,0.01036,0.01001,0.01470,0.01437
0.30000,0.01160,0.01079,0.01036,0.00969,0.01470,0.01410
0.40000,0.01160,0.01067,0.01036,0.00955,0.01470,0.01395
0.50000,0.01160,0.01036,0.01036,0.00921,0.01470,0.01360
0.60000,0.01160,0.01036,0.01036,0.00923,0.01470,0.01359
0.70000,0.01160,0.01008,0.01036,0.00882,0.01470,0.01318
0.80000,0.01160,0.00994,0.01036,0.00865,0.01470,0.01298
0.90000,0.01160,0.00962,0.01036,0.00829,0.01470,0.01252
1.00000,0.01160,0.00729,0.01036,0.00619,0.01470,0.01045
