lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02700,0.02420,0.02443
0.20000,0.02684,0.02614,0.02420,0.02439
0.30000,0.02684,0.02517,0.02420,0.02413
0.40000,0.02684,0.02491,0.02420,0.02409
0.50000,0.02684,0.02484,0.02420,0.02382
0.60000,0.02684,0.02470,0.02420,0.02387
0.70000,0.02684,0.02463,0.02420,0.02310
0.80000,0.02684,0.02352,0.02420,0.02240
0.90000,0.02684,0.02194,0.02420,0.02149
1.00000,0.02684,0.01896,0.02420,0.01910
