lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00318,0.00318
0.10000,0.00121,0.00216,0.00192,0.00259,0.00318,0.00377
0.20000,0.00121,0.00277,0.00192,0.00307,0.00318,0.00424
0.30000,0.00121,0.00350,0.00192,0.00375,0.00318,0.00494
0.40000,0.00121,0.00389,0.00192,0.00406,0.00318,0.00514
0.50000,0.00121,0.00400,0.00192,0.00396,0.00318,0.00519
0.60000,0.00121,0.00324,0.00192,0.00331,0.00318,0.00452
0.70000,0.00121,0.00318,0.00192,0.00342,0.00318,0.00456
0.80000,0.00121,0.00305,0.00192,0.00332,0.00318,0.00454
0.90000,0.00121,0.00380,0.00192,0.00399,0.00318,0.00515
1.00000,0.00121,0.00532,0.00192,0.00590,0.00318,0.00706
