lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02552,0.02420,0.02400
0.20000,0.02684,0.02355,0.02420,0.02365
0.30000,0.02684,0.02238,0.02420,0.02304
0.40000,0.02684,0.02024,0.02420,0.02238
0.50000,0.02684,0.01845,0.02420,0.02089
0.60000,0.02684,0.01714,0.02420,0.01909
0.70000,0.02684,0.01656,0.02420,0.01733
0.80000,0.02684,0.01591,0.02420,0.01557
0.90000,0.02684,0.01479,0.02420,0.01479
1.00000,0.02684,0.01373,0.02420,0.01413
